,APP_Libelle_etablissement,Adresse_2_UA,Code_postal,Libelle_commune,Numero_inspection,Date_inspection,APP_Libelle_activite_etablissement,Synthese_eval_sanit,Agrement,filtre,lat,lon
4393,CRECHE COLLECTIVE LES DAUPHINS,4 PL MONTGOLFIER,94410,Saint-Maurice,21-045020-1,2021-06-08T02:00:00+02:00,Restauration collective,Satisfaisant,,Restauration collective,48.815078,2.458977
4396,A.S,33 RUE HENRI BARBUSSE,94260,Fresnes,22-008598-1,2022-02-03T01:00:00+01:00,Restaurant,Satisfaisant,,Restaurant,48.758053,2.323315
4432,EMEK MARKET,2 RUE DE LA SABLONNIERE,94460,Valenton,21-045102-1,2021-06-08T02:00:00+02:00,Boucherie-Charcuterie,Très satisfaisant,,Boucherie-Charcuterie,48.751662,2.454152
4520,THAI BASILIC,101 AV DU GENERAL DE GAULLE,94000,Créteil,22-005934-1,2022-01-26T01:00:00+01:00,Restaurant,A améliorer,,Restaurant,48.782023,2.457115
4592,EVI EVANE TRAITEUR,55 RUE DU GENERAL LECLERC,94270,Le Kremlin-Bicêtre,22-006012-1,2022-01-26T01:00:00+01:00,Transport de denrées alimentaires,Très satisfaisant,,,48.81157,2.358146
4593,LA TERANGA,2 RUE DE CHAMPIGNY,94370,Sucy-en-Brie,22-018767-1,2022-03-14T01:00:00+01:00,Restaurant,Satisfaisant,,Restaurant,48.772043,2.50963
4614,CHARCUTERIE,113 RUE JULIETTE SAVAR,94000,Créteil,21-045193-1,2021-06-08T02:00:00+02:00,Boucherie-Charcuterie,A améliorer,,Boucherie-Charcuterie,48.781281,2.465009
4626,DELICES DE FATIMA,113 RUE JULIETTE SAVAR,94000,Créteil,21-045184-1,2021-06-08T02:00:00+02:00,Boucherie-Charcuterie,A améliorer,,Boucherie-Charcuterie,48.781281,2.465009
4628,SOCIETE PARISIENNE DISTRIBUTION VIANDES,85 B AV DE LA REPUBLIQUE,94500,Champigny-sur-Marne,22-006062-1,2022-01-25T01:00:00+01:00,Boucherie-Charcuterie,Très satisfaisant,,Boucherie-Charcuterie,48.823016,2.510333
4629,MAIRIE COMMUNE DE CRETEIL,113 RUE JULIETTE SAVAR,94000,Créteil,21-045198-1,2021-06-08T02:00:00+02:00,Infrastructure de Marché,A améliorer,,,48.781281,2.465009
4640,SUSHI KYO,53 AV PAUL VAILLANT COUTURIER,94800,Villejuif,21-080603-1,2021-10-04T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.794553,2.360702
4666,DELICE CARNOT,17 AV CARNOT,94190,Villeneuve-Saint-Georges,22-018770-1,2022-03-14T01:00:00+01:00,Restaurant,Satisfaisant,,Restaurant,48.733188,2.44874
4691,NEW CHIN HOA,11 BIS RUE EUGENE HENAFF,94400,Vitry-sur-Seine,21-042482-1,2021-06-01T02:00:00+02:00,Préparation de produits composés,Satisfaisant,,,48.793747,2.413948
4715,LA GIRANDIERE LES TILLEULS,133 AV MAL DE LATTRE DE TASSIGNY,94600,Choisy-le-Roi,22-009234-1,2022-02-07T01:00:00+01:00,Restauration collective,Très satisfaisant,,Restauration collective,48.752676,2.405683
4831,NEW CHIN HOA,11 BIS RUE EUGENE HENAFF,94400,Vitry-sur-Seine,21-042480-1,2021-06-01T02:00:00+02:00,Transformation de produits carnés,Satisfaisant,94081007.0,,48.793747,2.413948
4833,LA CANTINE LIBANAISE,101 AV DU GENERAL DE GAULLE,94000,Créteil,22-005932-1,2022-01-26T01:00:00+01:00,Restaurant,Très satisfaisant,,Restaurant,48.782023,2.457115
4842,ALMA,11 PLACE DE LA GARE,94370,Sucy-en-Brie,22-005928-1,2022-01-25T01:00:00+01:00,Restaurant,Satisfaisant,,Restaurant,48.771009,2.508828
4854,POKAWA,101 AV DU GENERAL DE GAULLE,94000,Créteil,22-005952-1,2022-01-26T01:00:00+01:00,Restaurant,Très satisfaisant,,Restaurant,48.782023,2.457115
4866,SUSHI WAY,101 AV DU GENERAL DE GAULLE,94000,Créteil,22-005943-1,2022-01-26T01:00:00+01:00,Restaurant,A améliorer,,Restaurant,48.782023,2.457115
4877,ECOLE MATERNELLE PUB VICTOR HUGO,4 RUE PAUL FRANCOIS AVET,94000,Créteil,22-018780-1,2022-03-15T01:00:00+01:00,Restauration collective,Très satisfaisant,,Restauration collective,48.792738,2.464035
4894,SHADAB,95 AV DE LA REPUBLIQUE,94500,Champigny-sur-Marne,22-007198-1,2022-01-25T01:00:00+01:00,Restaurant,Satisfaisant,,Restaurant,48.823708,2.510199
4980,LYCEE POLYVALENT MARX DORMOY,1 RUE DU PROFESSEUR MILLIEZ,94500,Champigny-sur-Marne,22-007413-1,2022-01-28T01:00:00+01:00,Restauration collective,Très satisfaisant,,Restauration collective,48.816401,2.532406
5039,LES ACACIAS,8 ALLEE DES ACACIAS,94410,Saint-Maurice,21-104064-1,2021-12-16T01:00:00+01:00,Restauration collective,Satisfaisant,,Restauration collective,48.815913,2.463645
5069,TACOS NUMERO 1,1 RUE JEAN MOULIN,94260,Fresnes,21-045863-1,2021-06-09T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.76635,2.323695
5133,MAIRIE COMMUNE D ABLON SUR SEINE,"7, avenue Auguste DURU",94480,Ablon-sur-Seine,22-000365-1,2022-01-03T01:00:00+01:00,Restauration collective,Très satisfaisant,,Restauration collective,48.724181,2.420302
5156,CARNIATO EUROPE,"6, ROUTE DE STAINS",94380,Bonneuil-sur-Marne,21-073658-1,2021-09-15T02:00:00+02:00,Transformation de produits carnés,Très satisfaisant,94011001.0,,48.779545,2.492618
5281,LYCEE POLYVALENT MARX DORMOY,1 RUE DU PROFESSEUR MILLIEZ,94500,Champigny-sur-Marne,22-007445-1,2022-01-28T01:00:00+01:00,Restauration collective,A améliorer,,Restauration collective,48.816401,2.532406
5284,CARNIATO EUROPE,"6, ROUTE DE STAINS",94380,Bonneuil-sur-Marne,21-073666-1,2021-09-15T02:00:00+02:00,Préparation de produits composés,Très satisfaisant,,,48.779545,2.492618
