Rgp;Rgp_lib;Dut;Dut_lib;Dut_sigle;Id Série ou type de Bac;Série ou type de Bac;Id Âge au bac;Âge au bac;Id Sexe;Sexe;Id Mention au Bac;Mention au Bac;Année de cohorte des données sur le passage entre L1 et L2;Effectif de néobacheliers de la cohorte;Passage en 2ème année de DUT en 1 an;Redoublement en 1ère année de DUT;Passage en 2ème année de DUT en 2 ans;Passage en 2ème année de DUT en 1 ou 2 ans;Année de cohorte des données sur la réussite en licence;Effectif de néobacheliers de la cohorte;Obtention du DUT en 2 ans;Obtention du DUT en 3 ans;Obtention du DUT en 2 ou 3 ans
EAI;Électronique, automatique, informatique;INFO;Informatique;;3;BAC S;R2;En retard de plus d'un an;1;Homme;P;Passable deuxième groupe;2014;17.0;1.0;3.0;2.0;3;2013;17.0;3.0;3.0;6.0
EAI;Électronique, automatique, informatique;INFO;Informatique;;3;BAC S;R2;En retard de plus d'un an;2;Femme;B;Bien;2014;1.0;;;;;2013;1.0;1.0;0.0;1.0
EAI;Électronique, automatique, informatique;INFO;Informatique;;6;BAC professionnel;R4;Non pris en compte;2;Femme;C;Assez bien;2014;1.0;0.0;1.0;1.0;1;2013;1.0;;;
CM;Communication et médiation;INFOCOM;Information-Communication;INFOCOM;1;BAC L;R1;En retard d'un an;2;Femme;B;Bien;2014;4.0;6.0;0.0;0.0;6;2013;4.0;4.0;0.0;4.0
CM;Communication et médiation;INFOCOM;Information-Communication;INFOCOM;4;BAC STMG;R0;A l'heure ou en avance;1;Homme;B;Bien;2014;2.0;4.0;0.0;0.0;4;2013;2.0;2.0;0.0;2.0
CM;Communication et médiation;INFOCOM;Information-Communication;INFOCOM;5;BAC technologique hors STMG;R0;A l'heure ou en avance;1;Homme;A;Très bien;2014;1.0;;;;;2013;1.0;1.0;0.0;1.0
CM;Communication et médiation;INFOCOM;Information-Communication;INFOCOM;6;BAC professionnel;R4;Non pris en compte;1;Homme;C;Assez bien;2014;2.0;1.0;0.0;0.0;1;2013;2.0;1.0;0.0;1.0
CM;Communication et médiation;MMI;Métiers du multimédia et de l'internet;MMI;1;BAC L;R0;A l'heure ou en avance;1;Homme;D;Passable premier groupe;2014;8.0;6.0;1.0;1.0;7;2013;8.0;5.0;0.0;5.0
CM;Communication et médiation;MMI;Métiers du multimédia et de l'internet;MMI;3;BAC S;R0;A l'heure ou en avance;1;Homme;Q;Inconnue;2014;1.0;0.0;0.0;0.0;0;2013;1.0;;;
CM;Communication et médiation;MMI;Métiers du multimédia et de l'internet;MMI;3;BAC S;R2;En retard de plus d'un an;2;Femme;D;Passable premier groupe;2014;1.0;3.0;0.0;0.0;3;2013;1.0;0.0;0.0;0.0
CM;Communication et médiation;MMI;Métiers du multimédia et de l'internet;MMI;5;BAC technologique hors STMG;R2;En retard de plus d'un an;1;Homme;D;Passable premier groupe;2014;7.0;2.0;3.0;2.0;4;2013;7.0;2.0;1.0;3.0
SIMC;Sciences industrielles, matériaux, contrôle;MP;Mesures physiques;MP;3;BAC S;R0;A l'heure ou en avance;1;Homme;B;Bien;2014;205.0;192.0;9.0;7.0;199;2013;205.0;176.0;15.0;191.0
SIMC;Sciences industrielles, matériaux, contrôle;MP;Mesures physiques;MP;5;BAC technologique hors STMG;R0;A l'heure ou en avance;1;Homme;C;Assez bien;2014;44.0;11.0;13.0;8.0;19;2013;44.0;7.0;16.0;23.0
SIMC;Sciences industrielles, matériaux, contrôle;MP;Mesures physiques;MP;5;BAC technologique hors STMG;R1;En retard d'un an;1;Homme;D;Passable premier groupe;2014;15.0;3.0;6.0;2.0;5;2013;15.0;1.0;0.0;1.0
SIMC;Sciences industrielles, matériaux, contrôle;PEC;Packaging, emballage et conditionnement;PEC;2;BAC ES;R0;A l'heure ou en avance;1;Homme;D;Passable premier groupe;2014;2.0;1.0;0.0;0.0;1;2013;2.0;0.0;0.0;0.0
