Rgp;Rgp_lib;Dut;Dut_lib;Dut_sigle;Id Série ou type de Bac;Série ou type de Bac;Id Âge au bac;Âge au bac;Id Sexe;Sexe;Id Mention au Bac;Mention au Bac;Année de cohorte des données sur le passage entre L1 et L2;Effectif de néobacheliers de la cohorte;Passage en 2ème année de DUT en 1 an;Redoublement en 1ère année de DUT;Passage en 2ème année de DUT en 2 ans;Passage en 2ème année de DUT en 1 ou 2 ans;Année de cohorte des données sur la réussite en licence;Effectif de néobacheliers de la cohorte;Obtention du DUT en 2 ans;Obtention du DUT en 3 ans;Obtention du DUT en 2 ou 3 ans
CM;Communication et médiation;CS;Carrières sociales;CS;1;BAC L;R0;A l'heure ou en avance;2;Femme;B;Bien;2014;11.0;12.0;1.0;1.0;13;2013;11.0;11.0;0.0;11.0
CM;Communication et médiation;CS;Carrières sociales;CS;1;BAC L;R2;En retard de plus d'un an;2;Femme;D;Passable premier groupe;2014;3.0;;;;;2013;3.0;2.0;0.0;2.0
AGSC;Administration, gestion, statistique, commerce;GACO;Gestion administrative et commerciale des organisations;GACO;3;BAC S;R1;En retard d'un an;1;Homme;C;Assez bien;2014;1.0;2.0;0.0;0.0;2;2013;1.0;1.0;0.0;1.0
CM;Communication et médiation;CS;Carrières sociales;CS;6;BAC professionnel;R4;Non pris en compte;2;Femme;D;Passable premier groupe;2014;5.0;0.0;2.0;2.0;2;2013;5.0;3.0;0.0;3.0
AGSC;Administration, gestion, statistique, commerce;CJ;Carrières juridiques;CJ;1;BAC L;R1;En retard d'un an;1;Homme;D;Passable premier groupe;2014;1.0;0.0;1.0;1.0;1;2013;1.0;0.0;0.0;0.0
AGSC;Administration, gestion, statistique, commerce;CJ;Carrières juridiques;CJ;1;BAC L;R1;En retard d'un an;2;Femme;C;Assez bien;2014;4.0;5.0;2.0;1.0;6;2013;4.0;4.0;0.0;4.0
CM;Communication et médiation;CS;Carrières sociales;CS;3;BAC S;R0;A l'heure ou en avance;2;Femme;C;Assez bien;2014;15.0;19.0;0.0;0.0;19;2013;15.0;14.0;0.0;14.0
CM;Communication et médiation;CS;Carrières sociales;CS;4;BAC STMG;R1;En retard d'un an;2;Femme;C;Assez bien;2014;18.0;12.0;0.0;0.0;12;2013;18.0;13.0;0.0;13.0
CM;Communication et médiation;CS;Carrières sociales;CS;4;BAC STMG;R1;En retard d'un an;1;Homme;C;Assez bien;2014;1.0;2.0;0.0;0.0;2;2013;1.0;1.0;0.0;1.0
CM;Communication et médiation;CS;Carrières sociales;CS;4;BAC STMG;R0;A l'heure ou en avance;1;Homme;B;Bien;2014;1.0;;;;;2013;1.0;1.0;0.0;1.0
AGSC;Administration, gestion, statistique, commerce;CJ;Carrières juridiques;CJ;2;BAC ES;R1;En retard d'un an;1;Homme;P;Passable deuxième groupe;2014;1.0;1.0;2.0;0.0;1;2013;1.0;0.0;0.0;0.0
AGSC;Administration, gestion, statistique, commerce;CJ;Carrières juridiques;CJ;4;BAC STMG;R1;En retard d'un an;1;Homme;A;Très bien;2014;1.0;;;;;2013;1.0;1.0;0.0;1.0
CBPI;Chimie, biologie, procédés industriels;CHIMIE;Chimie;;5;BAC technologique hors STMG;R0;A l'heure ou en avance;1;Homme;C;Assez bien;2014;32.0;9.0;11.0;8.0;17;2013;32.0;8.0;7.0;15.0
CBPI;Chimie, biologie, procédés industriels;CHIMIE;Chimie;;3;BAC S;R1;En retard d'un an;1;Homme;Q;Inconnue;2014;4.0;2.0;0.0;0.0;2;2013;4.0;1.0;0.0;1.0
EAI;Électronique, automatique, informatique;GE2I;Génie électrique et informatique industrielle;GE2I;3;BAC S;R1;En retard d'un an;1;Homme;D;Passable premier groupe;2014;162.0;83.0;18.0;13.0;96;2013;162.0;83.0;32.0;115.0
EAI;Électronique, automatique, informatique;GE2I;Génie électrique et informatique industrielle;GE2I;3;BAC S;R2;En retard de plus d'un an;1;Homme;P;Passable deuxième groupe;2014;19.0;5.0;6.0;4.0;9;2013;19.0;5.0;3.0;8.0
EAI;Électronique, automatique, informatique;GE2I;Génie électrique et informatique industrielle;GE2I;3;BAC S;R2;En retard de plus d'un an;2;Femme;P;Passable deuxième groupe;2014;3.0;2.0;2.0;1.0;3;2013;3.0;1.0;0.0;1.0
EAI;Électronique, automatique, informatique;GE2I;Génie électrique et informatique industrielle;GE2I;4;BAC STMG;R0;A l'heure ou en avance;1;Homme;C;Assez bien;2014;1.0;0.0;0.0;0.0;0;2013;1.0;;;
EAI;Électronique, automatique, informatique;GE2I;Génie électrique et informatique industrielle;GE2I;5;BAC technologique hors STMG;R0;A l'heure ou en avance;1;Homme;C;Assez bien;2014;309.0;172.0;69.0;60.0;232;2013;309.0;98.0;71.0;169.0
EAI;Électronique, automatique, informatique;GE2I;Génie électrique et informatique industrielle;GE2I;5;BAC technologique hors STMG;R1;En retard d'un an;1;Homme;C;Assez bien;2014;133.0;47.0;22.0;18.0;65;2013;133.0;47.0;28.0;75.0
AGSC;Administration, gestion, statistique, commerce;GEA;Gestion des entreprises et administrations;GEA;1;BAC L;R0;A l'heure ou en avance;2;Femme;A;Très bien;2014;2.0;1.0;0.0;0.0;1;2013;2.0;1.0;0.0;1.0
AGSC;Administration, gestion, statistique, commerce;GEA;Gestion des entreprises et administrations;GEA;3;BAC S;R0;A l'heure ou en avance;1;Homme;D;Passable premier groupe;2014;182.0;191.0;6.0;5.0;196;2013;182.0;148.0;12.0;160.0
AGSC;Administration, gestion, statistique, commerce;GEA;Gestion des entreprises et administrations;GEA;3;BAC S;R0;A l'heure ou en avance;2;Femme;Q;Inconnue;2014;11.0;9.0;0.0;0.0;9;2013;11.0;10.0;0.0;10.0
SIMC;Sciences industrielles, matériaux, contrôle;GIM;Génie industriel et maintenance;GIM;3;BAC S;R1;En retard d'un an;2;Femme;D;Passable premier groupe;2014;4.0;;;;;2013;4.0;2.0;2.0;4.0
SIMC;Sciences industrielles, matériaux, contrôle;GIM;Génie industriel et maintenance;GIM;5;BAC technologique hors STMG;R0;A l'heure ou en avance;1;Homme;C;Assez bien;2014;93.0;65.0;15.0;13.0;78;2013;93.0;48.0;17.0;65.0
SIMC;Sciences industrielles, matériaux, contrôle;GIM;Génie industriel et maintenance;GIM;5;BAC technologique hors STMG;R0;A l'heure ou en avance;2;Femme;D;Passable premier groupe;2014;2.0;1.0;1.0;1.0;2;2013;2.0;0.0;1.0;1.0
SIMC;Sciences industrielles, matériaux, contrôle;GIM;Génie industriel et maintenance;GIM;5;BAC technologique hors STMG;R1;En retard d'un an;2;Femme;C;Assez bien;2014;2.0;;;;;2013;2.0;1.0;1.0;2.0
AGSC;Administration, gestion, statistique, commerce;GLT;Gestion logistique et transport;GLT;3;BAC S;R1;En retard d'un an;1;Homme;P;Passable deuxième groupe;2014;4.0;3.0;1.0;0.0;3;2013;4.0;2.0;1.0;3.0
AGSC;Administration, gestion, statistique, commerce;GLT;Gestion logistique et transport;GLT;4;BAC STMG;R1;En retard d'un an;1;Homme;P;Passable deuxième groupe;2014;10.0;0.0;0.0;0.0;0;2013;10.0;4.0;2.0;6.0
AGSC;Administration, gestion, statistique, commerce;GLT;Gestion logistique et transport;GLT;6;BAC professionnel;R4;Non pris en compte;1;Homme;A;Très bien;2014;4.0;8.0;0.0;0.0;8;2013;4.0;3.0;0.0;3.0
SIMC;Sciences industrielles, matériaux, contrôle;GMP;Génie mécanique et productique;GMP;2;BAC ES;R0;A l'heure ou en avance;2;Femme;D;Passable premier groupe;2014;1.0;1.0;0.0;0.0;1;2013;1.0;;;
SIMC;Sciences industrielles, matériaux, contrôle;GMP;Génie mécanique et productique;GMP;3;BAC S;R0;A l'heure ou en avance;1;Homme;B;Bien;2014;184.0;187.0;7.0;7.0;194;2013;184.0;171.0;5.0;176.0
SIMC;Sciences industrielles, matériaux, contrôle;GMP;Génie mécanique et productique;GMP;5;BAC technologique hors STMG;R1;En retard d'un an;1;Homme;C;Assez bien;2014;100.0;42.0;19.0;17.0;59;2013;100.0;37.0;20.0;57.0
CES;Construction, énergie, sécurité;GTE;Génie thermique et énergie;GTE;3;BAC S;R1;En retard d'un an;2;Femme;C;Assez bien;2014;2.0;1.0;0.0;0.0;1;2013;2.0;2.0;0.0;2.0
CES;Construction, énergie, sécurité;GTE;Génie thermique et énergie;GTE;5;BAC technologique hors STMG;R2;En retard de plus d'un an;2;Femme;B;Bien;2014;1.0;1.0;0.0;0.0;1;2013;1.0;;;
CES;Construction, énergie, sécurité;HSE;Hygiène, sécurité, environnement;HSE;2;BAC ES;R0;A l'heure ou en avance;1;Homme;A;Très bien;2014;1.0;1.0;0.0;0.0;1;2013;1.0;;;
CES;Construction, énergie, sécurité;HSE;Hygiène, sécurité, environnement;HSE;2;BAC ES;R0;A l'heure ou en avance;1;Homme;C;Assez bien;2014;4.0;3.0;0.0;0.0;3;2013;4.0;2.0;0.0;2.0
CES;Construction, énergie, sécurité;HSE;Hygiène, sécurité, environnement;HSE;3;BAC S;R0;A l'heure ou en avance;1;Homme;B;Bien;2014;20.0;24.0;0.0;0.0;24;2013;20.0;18.0;0.0;18.0
CES;Construction, énergie, sécurité;HSE;Hygiène, sécurité, environnement;HSE;3;BAC S;R1;En retard d'un an;2;Femme;D;Passable premier groupe;2014;11.0;7.0;1.0;1.0;8;2013;11.0;11.0;0.0;11.0
CES;Construction, énergie, sécurité;HSE;Hygiène, sécurité, environnement;HSE;3;BAC S;R2;En retard de plus d'un an;1;Homme;P;Passable deuxième groupe;2014;4.0;1.0;1.0;0.0;1;2013;4.0;1.0;1.0;2.0
CES;Construction, énergie, sécurité;HSE;Hygiène, sécurité, environnement;HSE;5;BAC technologique hors STMG;R0;A l'heure ou en avance;1;Homme;P;Passable deuxième groupe;2014;2.0;1.0;0.0;0.0;1;2013;2.0;1.0;0.0;1.0
CES;Construction, énergie, sécurité;HSE;Hygiène, sécurité, environnement;HSE;5;BAC technologique hors STMG;R2;En retard de plus d'un an;1;Homme;P;Passable deuxième groupe;2014;2.0;;;;;2013;2.0;0.0;0.0;0.0
EAI;Électronique, automatique, informatique;INFO;Informatique;;2;BAC ES;R0;A l'heure ou en avance;1;Homme;A;Très bien;2014;2.0;4.0;1.0;1.0;5;2013;2.0;2.0;0.0;2.0
EAI;Électronique, automatique, informatique;INFO;Informatique;;4;BAC STMG;R1;En retard d'un an;2;Femme;P;Passable deuxième groupe;2014;1.0;;;;;2013;1.0;0.0;0.0;0.0
EAI;Électronique, automatique, informatique;INFO;Informatique;;5;BAC technologique hors STMG;R1;En retard d'un an;2;Femme;B;Bien;2014;2.0;1.0;0.0;0.0;1;2013;2.0;1.0;0.0;1.0
EAI;Électronique, automatique, informatique;INFO;Informatique;;6;BAC professionnel;R4;Non pris en compte;2;Femme;P;Passable deuxième groupe;2014;1.0;;;;;2013;1.0;0.0;0.0;0.0
CM;Communication et médiation;INFOCOM;Information-Communication;INFOCOM;1;BAC L;R0;A l'heure ou en avance;2;Femme;Q;Inconnue;2014;2.0;2.0;0.0;0.0;2;2013;2.0;2.0;0.0;2.0
CM;Communication et médiation;INFOCOM;Information-Communication;INFOCOM;1;BAC L;R2;En retard de plus d'un an;1;Homme;B;Bien;2014;1.0;1.0;0.0;0.0;1;2013;1.0;;;
CM;Communication et médiation;INFOCOM;Information-Communication;INFOCOM;1;BAC L;R2;En retard de plus d'un an;1;Homme;Q;Inconnue;2014;1.0;;;;;2013;1.0;0.0;1.0;1.0
CM;Communication et médiation;INFOCOM;Information-Communication;INFOCOM;2;BAC ES;R0;A l'heure ou en avance;1;Homme;P;Passable deuxième groupe;2014;1.0;4.0;0.0;0.0;4;2013;1.0;1.0;0.0;1.0
CM;Communication et médiation;INFOCOM;Information-Communication;INFOCOM;2;BAC ES;R1;En retard d'un an;2;Femme;A;Très bien;2014;3.0;1.0;0.0;0.0;1;2013;3.0;3.0;0.0;3.0
CM;Communication et médiation;INFOCOM;Information-Communication;INFOCOM;2;BAC ES;R2;En retard de plus d'un an;1;Homme;P;Passable deuxième groupe;2014;1.0;;;;;2013;1.0;1.0;0.0;1.0
CM;Communication et médiation;INFOCOM;Information-Communication;INFOCOM;3;BAC S;R0;A l'heure ou en avance;2;Femme;Q;Inconnue;2014;2.0;;;;;2013;2.0;2.0;0.0;2.0
CM;Communication et médiation;INFOCOM;Information-Communication;INFOCOM;3;BAC S;R1;En retard d'un an;2;Femme;P;Passable deuxième groupe;2014;1.0;1.0;0.0;0.0;1;2013;1.0;;;
CM;Communication et médiation;INFOCOM;Information-Communication;INFOCOM;5;BAC technologique hors STMG;R0;A l'heure ou en avance;2;Femme;Q;Inconnue;2014;2.0;;;;;2013;2.0;0.0;0.0;0.0
CM;Communication et médiation;MMI;Métiers du multimédia et de l'internet;MMI;4;BAC STMG;R0;A l'heure ou en avance;2;Femme;C;Assez bien;2014;13.0;6.0;0.0;0.0;6;2013;13.0;12.0;1.0;13.0
CM;Communication et médiation;MMI;Métiers du multimédia et de l'internet;MMI;4;BAC STMG;R2;En retard de plus d'un an;1;Homme;D;Passable premier groupe;2014;2.0;;;;;2013;2.0;1.0;0.0;1.0
CM;Communication et médiation;MMI;Métiers du multimédia et de l'internet;MMI;5;BAC technologique hors STMG;R0;A l'heure ou en avance;1;Homme;A;Très bien;2014;4.0;8.0;0.0;0.0;8;2013;4.0;2.0;0.0;2.0
CM;Communication et médiation;MMI;Métiers du multimédia et de l'internet;MMI;5;BAC technologique hors STMG;R0;A l'heure ou en avance;1;Homme;Q;Inconnue;2014;4.0;2.0;1.0;0.0;2;2013;4.0;;;
CM;Communication et médiation;MMI;Métiers du multimédia et de l'internet;MMI;5;BAC technologique hors STMG;R1;En retard d'un an;1;Homme;A;Très bien;2014;4.0;2.0;0.0;0.0;2;2013;4.0;4.0;0.0;4.0
CM;Communication et médiation;MMI;Métiers du multimédia et de l'internet;MMI;5;BAC technologique hors STMG;R2;En retard de plus d'un an;2;Femme;D;Passable premier groupe;2014;1.0;1.0;0.0;0.0;1;2013;1.0;0.0;0.0;0.0
CM;Communication et médiation;MMI;Métiers du multimédia et de l'internet;MMI;6;BAC professionnel;R4;Non pris en compte;2;Femme;C;Assez bien;2014;4.0;3.0;1.0;0.0;3;2013;4.0;4.0;0.0;4.0
SIMC;Sciences industrielles, matériaux, contrôle;MP;Mesures physiques;MP;3;BAC S;R0;A l'heure ou en avance;1;Homme;D;Passable premier groupe;2014;335.0;219.0;80.0;72.0;291;2013;335.0;153.0;98.0;251.0
SIMC;Sciences industrielles, matériaux, contrôle;MP;Mesures physiques;MP;5;BAC technologique hors STMG;R0;A l'heure ou en avance;1;Homme;A;Très bien;2014;6.0;11.0;0.0;0.0;11;2013;6.0;5.0;1.0;6.0
SIMC;Sciences industrielles, matériaux, contrôle;PEC;Packaging, emballage et conditionnement;PEC;5;BAC technologique hors STMG;R1;En retard d'un an;1;Homme;P;Passable deuxième groupe;2014;1.0;0.0;0.0;0.0;0;2013;1.0;;;
SIMC;Sciences industrielles, matériaux, contrôle;QLIO;Qualité, logistique industrielle et organisation;QLIO;3;BAC S;R0;A l'heure ou en avance;1;Homme;P;Passable deuxième groupe;2014;11.0;11.0;0.0;0.0;11;2013;11.0;6.0;2.0;8.0
SIMC;Sciences industrielles, matériaux, contrôle;QLIO;Qualité, logistique industrielle et organisation;QLIO;4;BAC STMG;R1;En retard d'un an;2;Femme;A;Très bien;2014;1.0;1.0;0.0;0.0;1;2013;1.0;;;
SIMC;Sciences industrielles, matériaux, contrôle;QLIO;Qualité, logistique industrielle et organisation;QLIO;5;BAC technologique hors STMG;R2;En retard de plus d'un an;1;Homme;D;Passable premier groupe;2014;5.0;1.0;0.0;0.0;1;2013;5.0;3.0;2.0;5.0
SIMC;Sciences industrielles, matériaux, contrôle;QLIO;Qualité, logistique industrielle et organisation;QLIO;6;BAC professionnel;R4;Non pris en compte;1;Homme;Q;Inconnue;2014;5.0;4.0;0.0;0.0;4;2013;5.0;2.0;0.0;2.0
EAI;Électronique, automatique, informatique;RT;Réseaux et télécommunications;R&T;3;BAC S;R1;En retard d'un an;1;Homme;P;Passable deuxième groupe;2014;23.0;12.0;3.0;2.0;14;2013;23.0;7.0;5.0;12.0
EAI;Électronique, automatique, informatique;RT;Réseaux et télécommunications;R&T;4;BAC STMG;R1;En retard d'un an;1;Homme;D;Passable premier groupe;2014;4.0;0.0;0.0;0.0;0;2013;4.0;1.0;0.0;1.0
SIMC;Sciences industrielles, matériaux, contrôle;SGM;Sciences et génie des matériaux;SGM;3;BAC S;R2;En retard de plus d'un an;1;Homme;P;Passable deuxième groupe;2014;1.0;0.0;1.0;1.0;1;2013;1.0;0.0;0.0;0.0
SIMC;Sciences industrielles, matériaux, contrôle;SGM;Sciences et génie des matériaux;SGM;5;BAC technologique hors STMG;R1;En retard d'un an;2;Femme;Q;Inconnue;2014;1.0;;;;;2013;1.0;1.0;0.0;1.0
AGSC;Administration, gestion, statistique, commerce;STID;Statistique et informatique décisionnelle;STID;2;BAC ES;R0;A l'heure ou en avance;2;Femme;B;Bien;2014;3.0;3.0;0.0;0.0;3;2013;3.0;3.0;0.0;3.0
AGSC;Administration, gestion, statistique, commerce;STID;Statistique et informatique décisionnelle;STID;3;BAC S;R1;En retard d'un an;2;Femme;B;Bien;2014;1.0;;;;;2013;1.0;1.0;0.0;1.0
AGSC;Administration, gestion, statistique, commerce;STID;Statistique et informatique décisionnelle;STID;3;BAC S;R2;En retard de plus d'un an;1;Homme;P;Passable deuxième groupe;2014;1.0;1.0;0.0;0.0;1;2013;1.0;1.0;0.0;1.0
AGSC;Administration, gestion, statistique, commerce;TC;Techniques de commercialisation;TC;2;BAC ES;R0;A l'heure ou en avance;2;Femme;A;Très bien;2014;96.0;112.0;0.0;0.0;112;2013;96.0;90.0;1.0;91.0
AGSC;Administration, gestion, statistique, commerce;TC;Techniques de commercialisation;TC;6;BAC professionnel;R4;Non pris en compte;1;Homme;A;Très bien;2014;6.0;9.0;0.0;0.0;9;2013;6.0;5.0;0.0;5.0
CBPI;Chimie, biologie, procédés industriels;GB;Génie biologique;GB;3;BAC S;R0;A l'heure ou en avance;2;Femme;D;Passable premier groupe;2014;248.0;186.0;24.0;22.0;208;2013;248.0;175.0;34.0;209.0
CBPI;Chimie, biologie, procédés industriels;GB;Génie biologique;GB;3;BAC S;R0;A l'heure ou en avance;2;Femme;A;Très bien;2014;83.0;89.0;0.0;0.0;89;2013;83.0;77.0;3.0;80.0
CBPI;Chimie, biologie, procédés industriels;GB;Génie biologique;GB;3;BAC S;R0;A l'heure ou en avance;1;Homme;B;Bien;2014;152.0;121.0;2.0;2.0;123;2013;152.0;138.0;7.0;145.0
CBPI;Chimie, biologie, procédés industriels;GB;Génie biologique;GB;3;BAC S;R1;En retard d'un an;2;Femme;Q;Inconnue;2014;3.0;3.0;0.0;0.0;3;2013;3.0;3.0;0.0;3.0
EAI;Électronique, automatique, informatique;GE2I;Génie électrique et informatique industrielle;GE2I;3;BAC S;R0;A l'heure ou en avance;1;Homme;B;Bien;2014;135.0;115.0;8.0;8.0;123;2013;135.0;117.0;8.0;125.0
CES;Construction, énergie, sécurité;GCCD;Génie civil - Construction durable;GCCD;5;BAC technologique hors STMG;R1;En retard d'un an;1;Homme;D;Passable premier groupe;2014;39.0;7.0;7.0;5.0;12;2013;39.0;7.0;10.0;17.0
CBPI;Chimie, biologie, procédés industriels;GB;Génie biologique;GB;5;BAC technologique hors STMG;R0;A l'heure ou en avance;2;Femme;D;Passable premier groupe;2014;24.0;6.0;6.0;3.0;9;2013;24.0;3.0;3.0;6.0
CES;Construction, énergie, sécurité;GCCD;Génie civil - Construction durable;GCCD;3;BAC S;R0;A l'heure ou en avance;2;Femme;C;Assez bien;2014;82.0;83.0;7.0;3.0;86;2013;82.0;68.0;8.0;76.0
CBPI;Chimie, biologie, procédés industriels;GB;Génie biologique;GB;5;BAC technologique hors STMG;R1;En retard d'un an;2;Femme;B;Bien;2014;27.0;24.0;2.0;3.0;27;2013;27.0;15.0;4.0;19.0
CES;Construction, énergie, sécurité;GCCD;Génie civil - Construction durable;GCCD;3;BAC S;R1;En retard d'un an;2;Femme;A;Très bien;2014;1.0;;;;;2013;1.0;1.0;0.0;1.0
CBPI;Chimie, biologie, procédés industriels;CHIMIE;Chimie;;5;BAC technologique hors STMG;R0;A l'heure ou en avance;1;Homme;P;Passable deuxième groupe;2014;3.0;0.0;0.0;0.0;0;2013;3.0;0.0;0.0;0.0
CBPI;Chimie, biologie, procédés industriels;CHIMIE;Chimie;;3;BAC S;R2;En retard de plus d'un an;1;Homme;Q;Inconnue;2014;1.0;1.0;0.0;0.0;1;2013;1.0;1.0;0.0;1.0
AGSC;Administration, gestion, statistique, commerce;GACO;Gestion administrative et commerciale des organisations;GACO;2;BAC ES;R0;A l'heure ou en avance;1;Homme;P;Passable deuxième groupe;2014;8.0;4.0;1.0;1.0;5;2013;8.0;3.0;0.0;3.0
AGSC;Administration, gestion, statistique, commerce;GACO;Gestion administrative et commerciale des organisations;GACO;2;BAC ES;R1;En retard d'un an;2;Femme;D;Passable premier groupe;2014;23.0;10.0;4.0;2.0;12;2013;23.0;19.0;1.0;20.0
AGSC;Administration, gestion, statistique, commerce;GACO;Gestion administrative et commerciale des organisations;GACO;2;BAC ES;R1;En retard d'un an;1;Homme;D;Passable premier groupe;2014;13.0;10.0;2.0;1.0;11;2013;13.0;7.0;3.0;10.0
AGSC;Administration, gestion, statistique, commerce;GACO;Gestion administrative et commerciale des organisations;GACO;3;BAC S;R1;En retard d'un an;2;Femme;P;Passable deuxième groupe;2014;3.0;0.0;0.0;0.0;0;2013;3.0;1.0;0.0;1.0
AGSC;Administration, gestion, statistique, commerce;CJ;Carrières juridiques;CJ;3;BAC S;R0;A l'heure ou en avance;1;Homme;P;Passable deuxième groupe;2014;3.0;0.0;1.0;1.0;1;2013;3.0;3.0;0.0;3.0
AGSC;Administration, gestion, statistique, commerce;CJ;Carrières juridiques;CJ;2;BAC ES;R1;En retard d'un an;2;Femme;C;Assez bien;2014;24.0;16.0;0.0;0.0;16;2013;24.0;22.0;0.0;22.0
AGSC;Administration, gestion, statistique, commerce;GACO;Gestion administrative et commerciale des organisations;GACO;6;BAC professionnel;R4;Non pris en compte;2;Femme;Q;Inconnue;2014;5.0;2.0;0.0;0.0;2;2013;5.0;3.0;0.0;3.0
AGSC;Administration, gestion, statistique, commerce;GACO;Gestion administrative et commerciale des organisations;GACO;4;BAC STMG;R1;En retard d'un an;2;Femme;C;Assez bien;2014;19.0;28.0;3.0;0.0;28;2013;19.0;11.0;1.0;12.0
CM;Communication et médiation;CS;Carrières sociales;CS;4;BAC STMG;R0;A l'heure ou en avance;2;Femme;D;Passable premier groupe;2014;21.0;8.0;0.0;0.0;8;2013;21.0;14.0;3.0;17.0
AGSC;Administration, gestion, statistique, commerce;CJ;Carrières juridiques;CJ;4;BAC STMG;R1;En retard d'un an;1;Homme;B;Bien;2014;1.0;3.0;0.0;0.0;3;2013;1.0;1.0;0.0;1.0
AGSC;Administration, gestion, statistique, commerce;CJ;Carrières juridiques;CJ;5;BAC technologique hors STMG;R1;En retard d'un an;1;Homme;C;Assez bien;2014;3.0;1.0;1.0;1.0;2;2013;3.0;;;
AGSC;Administration, gestion, statistique, commerce;CJ;Carrières juridiques;CJ;5;BAC technologique hors STMG;R0;A l'heure ou en avance;1;Homme;C;Assez bien;2014;1.0;;;;;2013;1.0;1.0;0.0;1.0
CBPI;Chimie, biologie, procédés industriels;GB;Génie biologique;GB;3;BAC S;R0;A l'heure ou en avance;1;Homme;P;Passable deuxième groupe;2014;22.0;12.0;5.0;4.0;16;2013;22.0;7.0;7.0;14.0
CBPI;Chimie, biologie, procédés industriels;GB;Génie biologique;GB;3;BAC S;R2;En retard de plus d'un an;1;Homme;C;Assez bien;2014;3.0;1.0;0.0;0.0;1;2013;3.0;1.0;1.0;2.0
CBPI;Chimie, biologie, procédés industriels;GB;Génie biologique;GB;3;BAC S;R1;En retard d'un an;2;Femme;C;Assez bien;2014;45.0;19.0;2.0;2.0;21;2013;45.0;34.0;7.0;41.0
CM;Communication et médiation;CS;Carrières sociales;CS;5;BAC technologique hors STMG;R2;En retard de plus d'un an;2;Femme;P;Passable deuxième groupe;2014;5.0;0.0;0.0;0.0;0;2013;5.0;3.0;1.0;4.0
CM;Communication et médiation;CS;Carrières sociales;CS;5;BAC technologique hors STMG;R0;A l'heure ou en avance;2;Femme;P;Passable deuxième groupe;2014;4.0;5.0;0.0;0.0;5;2013;4.0;3.0;1.0;4.0
CM;Communication et médiation;CS;Carrières sociales;CS;5;BAC technologique hors STMG;R2;En retard de plus d'un an;2;Femme;B;Bien;2014;2.0;1.0;0.0;0.0;1;2013;2.0;1.0;0.0;1.0
AGSC;Administration, gestion, statistique, commerce;GLT;Gestion logistique et transport;GLT;3;BAC S;R0;A l'heure ou en avance;1;Homme;A;Très bien;2014;1.0;;;;;2013;1.0;1.0;0.0;1.0
AGSC;Administration, gestion, statistique, commerce;GLT;Gestion logistique et transport;GLT;3;BAC S;R1;En retard d'un an;1;Homme;C;Assez bien;2014;2.0;4.0;0.0;0.0;4;2013;2.0;2.0;0.0;2.0
AGSC;Administration, gestion, statistique, commerce;GLT;Gestion logistique et transport;GLT;3;BAC S;R2;En retard de plus d'un an;1;Homme;C;Assez bien;2014;1.0;;;;;2013;1.0;1.0;0.0;1.0
AGSC;Administration, gestion, statistique, commerce;GLT;Gestion logistique et transport;GLT;4;BAC STMG;R0;A l'heure ou en avance;1;Homme;B;Bien;2014;7.0;6.0;0.0;0.0;6;2013;7.0;4.0;1.0;5.0
SIMC;Sciences industrielles, matériaux, contrôle;GMP;Génie mécanique et productique;GMP;5;BAC technologique hors STMG;R2;En retard de plus d'un an;2;Femme;C;Assez bien;2014;2.0;0.0;0.0;0.0;0;2013;2.0;1.0;1.0;2.0
CES;Construction, énergie, sécurité;GTE;Génie thermique et énergie;GTE;3;BAC S;R2;En retard de plus d'un an;1;Homme;D;Passable premier groupe;2014;7.0;5.0;1.0;1.0;6;2013;7.0;3.0;2.0;5.0
CES;Construction, énergie, sécurité;GTE;Génie thermique et énergie;GTE;6;BAC professionnel;R4;Non pris en compte;1;Homme;C;Assez bien;2014;5.0;1.0;0.0;0.0;1;2013;5.0;1.0;1.0;2.0
CES;Construction, énergie, sécurité;HSE;Hygiène, sécurité, environnement;HSE;3;BAC S;R2;En retard de plus d'un an;2;Femme;P;Passable deuxième groupe;2014;1.0;0.0;0.0;0.0;0;2013;1.0;;;
CES;Construction, énergie, sécurité;HSE;Hygiène, sécurité, environnement;HSE;5;BAC technologique hors STMG;R2;En retard de plus d'un an;2;Femme;D;Passable premier groupe;2014;2.0;0.0;0.0;0.0;0;2013;2.0;0.0;1.0;1.0
EAI;Électronique, automatique, informatique;INFO;Informatique;;2;BAC ES;R0;A l'heure ou en avance;1;Homme;P;Passable deuxième groupe;2014;4.0;2.0;0.0;0.0;2;2013;4.0;0.0;0.0;0.0
EAI;Électronique, automatique, informatique;INFO;Informatique;;3;BAC S;R0;A l'heure ou en avance;2;Femme;Q;Inconnue;2014;4.0;1.0;0.0;0.0;1;2013;4.0;3.0;0.0;3.0
CM;Communication et médiation;INFOCOM;Information-Communication;INFOCOM;1;BAC L;R0;A l'heure ou en avance;1;Homme;C;Assez bien;2014;18.0;6.0;1.0;0.0;6;2013;18.0;14.0;0.0;14.0
CM;Communication et médiation;INFOCOM;Information-Communication;INFOCOM;2;BAC ES;R0;A l'heure ou en avance;2;Femme;B;Bien;2014;110.0;113.0;1.0;1.0;114;2013;110.0;101.0;0.0;101.0
CM;Communication et médiation;INFOCOM;Information-Communication;INFOCOM;4;BAC STMG;R0;A l'heure ou en avance;1;Homme;C;Assez bien;2014;4.0;13.0;2.0;2.0;15;2013;4.0;4.0;0.0;4.0
