,APP_Libelle_etablissement,Adresse_2_UA,Code_postal,Libelle_commune,Numero_inspection,Date_inspection,APP_Libelle_activite_etablissement,Synthese_eval_sanit,Agrement,filtre,lat,lon
15,INTERMARCHE (DISREINE),79 R DE LA BIEVRE,92340,BOURG LA REINE,16141289,2021-08-27T02:00:00+02:00,Alimentation générale,Satisfaisant,,Alimentation générale,48.780041,2.324376
17,MONSIEUR AHMED OUHRAICH,2 RUE EMILE TESTU,92420,VAUCRESSON,16064866,2021-07-01T02:00:00+02:00,Alimentation générale,Très satisfaisant,,Alimentation générale,48.837592,2.152748
18,POISSONNERIE PATRICK ET MARTINE,1 B RUE PIERRE ET MARIE CURIE,92140,CLAMART,16201700,2021-10-14T02:00:00+02:00,Poissonnerie,A améliorer,,Poissonnerie,48.800024,2.264102
31,CARREFOUR EXPRESS (LE FRANCE),42 QU DE DION BOUTON,92800,PUTEAUX,15943743,2021-03-24T01:00:00+01:00,Alimentation générale,Satisfaisant,,Alimentation générale,48.882939,2.24812
32,LIDL (LIDL),122 BD DU GENERAL LECLERC,92110,CLICHY,16308994,2022-01-13T01:00:00+01:00,Alimentation générale,A améliorer,,Alimentation générale,48.909519,2.306963
38,MERCURE PARIS  PORTE DE SAINT CLOUD (SNC PARIS PORTE DE SAINT CLOUD),37 PL RENE CLAIR,92100,BOULOGNE BILLANCOURT,16275929,2021-12-10T01:00:00+01:00,_,Satisfaisant,,,48.833744,2.25642
42,COMPTOIR COMMERCIAL CHEZY PERRONET-CCCP (SOC DISTRIBUTION COMMERCIALE),34 R DE CHEZY,92200,NEUILLY SUR SEINE,15964141,2021-04-08T02:00:00+02:00,Alimentation générale,Satisfaisant,,Alimentation générale,48.887171,2.27041
55,Saveurs Nature (SNC LE SABLE D'OR),"16, esplanade Charles de Gaulle",92000,NANTERRE,16210718,2021-10-21T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.895682,2.222589
56,LA MAISON DU FRUIT,62 BD RICHARD WALLACE,92800,PUTEAUX,16092087,2021-07-20T02:00:00+02:00,Alimentation générale,A améliorer,,Alimentation générale,48.880558,2.238231
62,PASCAL MALVILLE  (APC  STE PASCAL MALVILLE),15 RUE SADI CARNOT,92320,CHATILLON,16261232,2021-12-02T01:00:00+01:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.799791,2.287947
63,MONSIEUR M'BARK TALIBI,2 AV GUSTAVE STRESEMANN,92150,SURESNES,16301601,2022-01-04T01:00:00+01:00,Restaurant,A améliorer,,Restaurant,48.862974,2.204865
68,SARL SAINT MARC,34 ESP CHARLES DE GAULLE,92000,NANTERRE,16062722,2021-06-30T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.895156,2.222567
80,DELAGARDE,32 RUE DE LA REPUBLIQUE,92190,MEUDON,16199480,2021-10-13T02:00:00+02:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.807926,2.235996
81,L'ARCOLE (SEVCHRIS),2 RUE HERVET,92500,RUEIL MALMAISON,16235277,2021-11-16T01:00:00+01:00,Restaurant,Très satisfaisant,,Restaurant,48.87732,2.179265
83,BONHEUR ALIMENTATION (MONSIEUR PHONG LIM),2 RUE JEANNE D ARC,92130,ISSY LES MOULINEAUX,15979543,2021-04-21T02:00:00+02:00,Alimentation générale,Satisfaisant,,Alimentation générale,48.831901,2.28014
93,FRANPRIX (DYNOR 2000),14 R JACQUES DAGUERRE,92500,RUEIL MALMAISON,16309621,2022-01-13T01:00:00+01:00,Alimentation générale,A améliorer,,Alimentation générale,48.888961,2.169433
97,BOSH BOUCHERIE OUBERRANE SALAH HASSANE,68 R JEAN JAURES,92800,PUTEAUX,16022938,2021-06-02T02:00:00+02:00,Boucherie-Charcuterie,Satisfaisant,,Boucherie-Charcuterie,48.883733,2.24398
100,SARL SILA,99 AV EDOUARD VAILLANT,92100,BOULOGNE BILLANCOURT,15944552,2021-03-24T01:00:00+01:00,Restaurant,Satisfaisant,,Restaurant,48.833818,2.244705
114,AUCHAN (ATAC),49 AV DU GAL DE GAULLE,92250,LA GARENNE COLOMBES,15975965,2021-04-20T02:00:00+02:00,Alimentation générale,Très satisfaisant,,Alimentation générale,48.910493,2.254923
118,BOULANGERIE DU PARC (BOUJDI BRAHIM),5B PL REPUBLIQUE F MITTERRAND,92110,CLICHY,15978869,2021-04-21T02:00:00+02:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,,
123,COCCIMARKET (CAVE DU PORTUGAL),RUE DE LA ROSERAIE,92360,MEUDON,16247475,2021-11-24T01:00:00+01:00,Alimentation générale,Très satisfaisant,,Alimentation générale,48.788495,2.224631
125,BOUCHERIE DU CENTRE,117 R JEAN JAURES,92800,PUTEAUX,16181331,2021-09-30T02:00:00+02:00,Boucherie-Charcuterie,Satisfaisant,,Boucherie-Charcuterie,48.881053,2.238199
126,CARREFOUR (SOGIVIL),22 R VILLIERS,92300,LEVALLOIS PERRET,16308673,2022-01-12T01:00:00+01:00,Alimentation générale,Très satisfaisant,,Alimentation générale,48.88818,2.281859
131,ALDI MARCHE DAMMARTIN,55 BD DE LA REPUBLIQUE,92210,SAINT CLOUD,16123279,2021-08-12T02:00:00+02:00,Rayon poissonnerie,Satisfaisant,,Rayon poissonnerie,48.844979,2.21249
132,ALDI MARCHE DAMMARTIN,55 BD DE LA REPUBLIQUE,92210,SAINT CLOUD,16007853,2021-05-19T02:00:00+02:00,Alimentation générale,A améliorer,,Alimentation générale,48.844979,2.21249
134,ALDI MARCHE (ALDI MARCHE DAMMARTIN),98 RUE DE PARIS,92110,CLICHY,16306685,2022-01-11T01:00:00+01:00,Alimentation générale,Très satisfaisant,,Alimentation générale,48.902207,2.302469
144,CASINO (DISTRIBUTION CASINO FRANCE),103 BD JEAN JAURES,92110,CLICHY,15990124,2021-04-30T02:00:00+02:00,_,A améliorer,,,48.906227,2.30204
147,ALAIN GIE,19 RUE BANES,92190,MEUDON,15957478,2021-04-02T02:00:00+02:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.808145,2.24094
153,au pain d'autrefois (MONSIEUR PATRICK MATIGNON),126 RUE DU CHATEAU,92100,BOULOGNE BILLANCOURT,16259376,2021-12-01T01:00:00+01:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.842346,2.240367
156,AU PAIN RETROUVE (MONSIEUR DOMINIQUE CHAILLET),118 RUE PAUL VAILLANT COUTURIER,92240,MALAKOFF,16186849,2021-10-05T02:00:00+02:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.816628,2.292567
162,CASINO (DISTRIBUTION CASINO FRANCE),144 rue de Verdun 96 avenue A. Briand,92220,BAGNEUX,16169662,2021-09-21T02:00:00+02:00,Alimentation générale,A améliorer,,Alimentation générale,,
166,MARCHE 3000,11B AV LOUIS PASTEUR,92220,BAGNEUX,16019043,2021-05-28T02:00:00+02:00,Alimentation générale,A améliorer,,Alimentation générale,48.799666,2.317967
169,CARREFOUR MARKET (CSF),91 RUE BOUCICAUT,92260,FONTENAY AUX ROSES,16218319,2021-10-26T02:00:00+02:00,Alimentation générale,Satisfaisant,,Alimentation générale,48.792032,2.285665
171,LES TROIS CONTINENTS (SARL LES TROIS CONTINENTS),102B R MARTRE,92110,CLICHY,16334769,2022-02-09T01:00:00+01:00,Alimentation générale,A améliorer,,Alimentation générale,48.903109,2.30609
