,APP_Libelle_etablissement,Adresse_2_UA,Code_postal,Libelle_commune,Numero_inspection,Date_inspection,APP_Libelle_activite_etablissement,Synthese_eval_sanit,Agrement,filtre,lat,lon
842,PETIT BATEAU,198 AV DE LA DIVISION LECLERC,93430,VILLETANEUSE,16165428,2021-09-17T02:00:00+02:00,_,Satisfaisant,,,48.951416,2.342849
1160,MARCHE EGYPTE,32 AV JEAN JAURES,93500,Pantin,21-055392-1,2021-07-06T02:00:00+02:00,Libre service|Alimentation générale,Satisfaisant,,Libre service|Alimentation générale,48.901345,2.389855
1261,NANN CITY,141 RUE DE LA PIAZZA,93160,Noisy-le-Grand,22-000754-1,2022-01-04T01:00:00+01:00,Restaurant,A améliorer,,Restaurant,48.839283,2.549082
1293,BOUCHERIE DU TASSILI,97 RUE ROBESPIERRE,93170,Bagnolet,21-026061-1,2021-03-30T02:00:00+02:00,Boucherie-Charcuterie,Satisfaisant,,Boucherie-Charcuterie,48.862528,2.419361
1329,CLINIQUE DU BOIS D'AMOUR,"19, AVENUE DU BOIS D'AMOUR",93700,Drancy,21-038568-1,2021-05-17T02:00:00+02:00,Restauration collective,Satisfaisant,,Restauration collective,48.913431,2.459911
1332,O'DELICES PANTIN,129 AVENUE JEAN LOLIVE,93500,Pantin,21-039922-1,2021-05-19T02:00:00+02:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.892936,2.4114
1335,CLINIQUE DU BOIS D'AMOUR,"19, AVENUE DU BOIS D'AMOUR",93700,Drancy,21-038574-1,2021-05-17T02:00:00+02:00,Restauration collective,Satisfaisant,,Restauration collective,48.913431,2.459911
1462,I.E.M. APF,23 RUE DE L UNIVERSITE,93160,Noisy-le-Grand,21-039987-1,2021-05-25T02:00:00+02:00,Restauration collective,Satisfaisant,,Restauration collective,48.836975,2.554322
1499,SIVU PROD LIVRAISON REPAS COLLECTIFS,1 RUE SAINT JUST,93130,Noisy-le-Sec,21-107062-1,2021-12-02T01:00:00+01:00,Transport de denrées alimentaires,Très satisfaisant,,,48.894752,2.452853
1598,CRISPY CHICKEN - LE CHATEAU ROUGE,44 AV DES BEAUDOTTES,93270,Sevran,21-055903-1,2021-07-12T02:00:00+02:00,Restaurant,A améliorer,,Restaurant,48.945218,2.519355
