,APP_Libelle_etablissement,Adresse_2_UA,Code_postal,Libelle_commune,Numero_inspection,Date_inspection,APP_Libelle_activite_etablissement,Synthese_eval_sanit,Agrement,filtre,lat,lon
0,SUPER-U (DISECO),56 R DE LA LIBERATION,95440,ECOUEN,16241562,2021-11-19T01:00:00+01:00,Rayon poissonnerie,Satisfaisant,,Rayon poissonnerie,49.026509,2.36808
10,SUPER-U (DISECO),56 R DE LA LIBERATION,95440,ECOUEN,16241587,2021-11-19T01:00:00+01:00,Alimentation générale,Très satisfaisant,,Alimentation générale,49.026509,2.36808
28,INTERMARCHE (SIERRA),136 R JULES FERRY,95360,MONTMAGNY,16202746,2021-10-14T02:00:00+02:00,Rayon poissonnerie,Satisfaisant,,Rayon poissonnerie,48.962316,2.338373
33,FRANPRIX (DISTRITOUL),LES TOULEUSES,95000,CERGY,15992116,2021-05-04T02:00:00+02:00,Alimentation générale,Satisfaisant,,Alimentation générale,49.029295,2.082634
34,STATION SERVICE BP (GESMIN),RD 9,95570,ATTAINVILLE,16009411,2021-05-20T02:00:00+02:00,_,Satisfaisant,,,49.054099,2.341356
37,LIDL (LIDL),Zac du PONT DE PIERRE,95140,GARGES LES GONESSE,16256183,2021-11-30T01:00:00+01:00,Alimentation générale,Satisfaisant,,Alimentation générale,48.966671,2.397067
45,LIDL (LIDL),6 AV DES ERABLES,95400,VILLIERS LE BEL,16241470,2021-11-18T01:00:00+01:00,Alimentation générale,Satisfaisant,,Alimentation générale,49.001354,2.39097
50,SARL CAVE DU PORTUGAL,ZONE ZAC DU PONT DES RAYONS,95290,L' ISLE ADAM,16271219,2021-12-08T01:00:00+01:00,Restaurant,Satisfaisant,,Restaurant,49.111339,2.228913
60,ORIENCO,6 RUE FERDINAND DE LESSEPS,95190,GOUSSAINVILLE,16277601,2021-10-04T02:00:00+02:00,_,Satisfaisant,,,49.021459,2.462725
77,SAN PAOLO (SAN PAOLO),1B PL CARDINAL MERCIER,95880,ENGHIEN LES BAINS,15999137,2021-05-06T02:00:00+02:00,Restaurant,A améliorer,,Restaurant,48.969378,2.308711
103,CASINO (Distribution Casino France),7 boulevard des merveilles,95000,CERGY,15968762,2021-04-14T02:00:00+02:00,Alimentation générale,A améliorer,,Alimentation générale,49.049205,2.01
116,AUCHAN (AUCHAN FRANCE),CHE DU POIRIER CHARLES GUERIN,95520,OSNY,16200570,2021-10-12T02:00:00+02:00,Rayon poissonnerie,A améliorer,,Rayon poissonnerie,49.078089,2.078227
117,AUCHAN (AUCHAN FRANCE),28 AV DE PARIS,95230,SOISY SOUS MONTMORENCY,16242702,2021-11-22T01:00:00+01:00,Rayon boucherie-charcuterie,Satisfaisant,,Rayon boucherie-charcuterie,48.990529,2.290446
121,LAUBLET*LAURENT/,17 AV MARCEL PERRIN,95540,MERY SUR OISE,16121052,2021-08-10T02:00:00+02:00,Boulangerie-Pâtisserie,A améliorer,,Boulangerie-Pâtisserie,49.063591,2.186417
135,LECLERC (AUBINS SAINT PRIX),41 AV DU GENERAL LECLERC,95390,SAINT PRIX,16253382,2021-11-29T01:00:00+01:00,Alimentation générale,Satisfaisant,,Alimentation générale,49.003487,2.261395
