REG,CS1,CE,SEXE,BRUT_EQTP,P10_BRUT_EQTP,P20_BRUT_EQTP,P30_BRUT_EQTP,P40_BRUT_EQTP,P50_BRUT_EQTP,P60_BRUT_EQTP,P70_BRUT_EQTP,P80_BRUT_EQTP,P90_BRUT_EQTP
2,5,N,F,23487,18256,18874,19905,20708,21836,22831,24279,26340,30300
2,5,N,E,23765,18257,18976,20035,20853,21937,22907,24338,26364,30705
2,6N,N,H,21457,17740,18288,19039,19936,20935,21856,22722,23845,26969
2,6N,N,F,21225,18404,19248,19943,20510,20980,21298,21656,22453,24206
2,6N,N,E,21298,18255,18973,19663,20382,20971,21374,21967,22878,25033
2,6Q,N,H,24075,18252,18534,19425,20557,22086,23126,25089,28278,31984
2,6Q,N,F,22341,18071,18255,18431,19475,20388,21594,23253,25733,29750
2,6Q,N,E,23733,18251,18305,19295,20248,21805,22937,24765,28056,31550
2,T,N,H,29544,18255,19112,20266,21476,22651,24255,26969,32094,47200
2,T,N,F,25660,18257,19043,20077,20924,21906,23038,24929,28380,36949
2,T,N,E,26965,18255,19071,20110,21088,22119,23397,25521,29503,40253
2,3,T,H,73676,29953,39110,47153,53597,61018,69420,79574,94776,125331
2,3,T,F,59558,30756,38973,44569,49599,54615,60030,65848,74333,90346
2,3,T,E,67414,30319,39010,45801,51534,57716,64153,72543,84791,109477
2,4,T,H,40839,22165,25896,29506,32732,36445,40871,45670,52460,63730
2,4,T,F,37236,21367,25226,28817,31615,34707,38296,42398,47397,55498
2,4,T,E,38905,21673,25549,29137,32106,35452,39353,43711,49510,58843
2,5,T,H,28684,19410,20918,22218,23465,24922,26929,29942,34363,41958
2,5,T,F,27422,18822,20249,21644,22930,24488,26561,29267,32963,39175
2,5,T,E,27835,18978,20480,21872,23105,24648,26688,29467,33377,40068
2,6N,T,H,23847,16765,18905,20268,21613,22750,24038,25919,28552,32588
2,6N,T,F,21114,15061,18704,19490,20292,20971,21446,22189,23538,26745
2,6N,T,E,22948,16432,18800,19923,20966,21861,22991,24529,26995,31027
2,6Q,T,H,29064,19527,21589,23173,24757,26388,28256,30557,33762,40899
2,6Q,T,F,25995,18738,20263,21644,23035,24425,25965,27930,30222,33938
2,6Q,T,E,28759,19423,21414,23008,24553,26189,28041,30303,33405,40189
2,T,T,H,35931,19569,21746,23515,25486,27949,31104,35696,43646,59522
