web-scraper-order,web-scraper-start-url,userID,userID-href,name,uploads,subscribers,videoviews,country,channeltype,usercreated,grade,YouTube_Link-href,MonthlyEarnings,YearlyEarnings,,
1553041195-4693,https://socialblade.com/youtube/top/5000/mostsubscribed,Michelle Phan,https://socialblade.com/youtube/c/michelle-phan,Michelle Phan,249,8897051,1033424490,US,Howto,"Jul 18th, 2006",B-,https://youtube.com/channel/UCuYx81nzzz4OFQrhbKDzTng,?229 - ?3.7K,?2.8K - ?44K,,
1553041183-4690,https://socialblade.com/youtube/top/5000/mostsubscribed,Camila Loures,https://socialblade.com/youtube/c/camila-loures,Camila Loures,924,8886664,1068816835,BR,Entertainment,"May 27th, 2014",B+,https://youtube.com/channel/UCvuJTWl_peL49CUfF2EAbyg,?8.5K - ?135.6K,?101.7K - ?1.6M,,
1553041175-4688,https://socialblade.com/youtube/top/5000/mostsubscribed,HellomaphieMX,https://socialblade.com/youtube/user/hellomaphiemx,HellomaphieMX,247,8876442,889950650,MX,Howto,"Apr 3rd, 2013",B,https://youtube.com/channel/UC_wpwDvT7v6iYzaP6cMICbQ,?2.3K - ?37.4K,?28K - ?448.8K,,
1553041171-4687,https://socialblade.com/youtube/top/5000/mostsubscribed,SIS vs BRO,https://socialblade.com/youtube/c/sisvsbrother,SIS vs BRO,290,8868882,3352378047,CA,Entertainment,"Mar 3rd, 2016",A,https://youtube.com/channel/UChLN0bJgq6d15OK2HVB4YTg,?25.8K - ?413.1K,?309.8K - ?5M,,
1553041159-4684,https://socialblade.com/youtube/top/5000/mostsubscribed,Wave Music - Bhojpuri,https://socialblade.com/youtube/c/wavemusicbhojpuri,Wave Music - Bhojpuri,16867,8828983,4832938018,IN,Music,"Aug 10th, 2014",A,https://youtube.com/channel/UCYLlkv4hivYJlOk6Lo-RHNQ,?59.2K - ?947.4K,?710.5K - ?11.4M,,
1553041163-4685,https://socialblade.com/youtube/top/5000/mostsubscribed,Conor Maynard,https://socialblade.com/youtube/c/conor,Conor Maynard,250,8819326,1712132693,GB,Music,"May 19th, 2006",B+,https://youtube.com/channel/UCpmD3iT-8TQzRuygIiS9bAw,?3.2K - ?51.5K,?38.6K - ?617.7K,,
1553041147-4681,https://socialblade.com/youtube/top/5000/mostsubscribed,luzugames,https://socialblade.com/youtube/user/luzugames,luzugames,2361,8754719,1481939166,ES,Games,"May 1st, 2013",B,https://youtube.com/channel/UCHkh8YFg0l4tkY6_zvzdd5w,?2.6K - ?41K,?30.7K - ?491.4K,,
1553041143-4680,https://socialblade.com/youtube/top/5000/mostsubscribed,Worldwide Records Bhojpuri,https://socialblade.com/youtube/c/worldwiderecordsbhojpuri,Worldwide Records Bhojpuri,2181,8753731,4109470235,IN,Music,"Mar 15th, 2012",A,https://youtube.com/channel/UCbomPUMyPHCgrqD5iYnzj1A,?48.9K - ?781.6K,?586.2K - ?9.4M,,
1553041139-4679,https://socialblade.com/youtube/top/5000/mostsubscribed,The World Adventures?,https://socialblade.com/youtube/channel/UCr8EWTz_8ljPyE27CiSbsGw,The World Adventures ??????,287,8742401,1029815549,IN,People,"Sep 9th, 2016",B+,https://youtube.com/channel/UCr8EWTz_8ljPyE27CiSbsGw,?0 - ?0,?0 - ?0,,
1553041135-4678,https://socialblade.com/youtube/top/5000/mostsubscribed,Farruko,https://socialblade.com/youtube/c/farruko,Farruko,113,8723184,658815017,US,Music,"Oct 30th, 2009",B,https://youtube.com/channel/UCqFhfan_P2AmGVB1X2B-3Aw,?2.1K - ?34K,?25.5K - ?408K,,
1553041119-4674,https://socialblade.com/youtube/top/5000/mostsubscribed,Sebasti?n Yatra,https://socialblade.com/youtube/c/sebastianyatra1,Sebasti?n Yatra,57,8722773,396905201,US,News,"Mar 30th, 2013",B+,https://youtube.com/channel/UCssFxr-IdIa-wpG3jUXYrmw,?3.6K - ?56.9K,?42.7K - ?682.6K,,
1553041127-4676,https://socialblade.com/youtube/top/5000/mostsubscribed,Bie The Ska,https://socialblade.com/youtube/c/bietheska,Bie The Ska,832,8719412,2623168283,TH,Entertainment,"Oct 3rd, 2006",A-,https://youtube.com/channel/UCjVb9mJZTeuPLN4hOjmvQnw,?13.2K - ?210.8K,?158.1K - ?2.5M,,
1553041131-4677,https://socialblade.com/youtube/top/5000/mostsubscribed,Jorge & Mateus Oficial,https://socialblade.com/youtube/c/jorgeemateus,Jorge & Mateus Oficial,238,8717243,4157365037,BR,Music,"Jul 29th, 2008",A-,https://youtube.com/channel/UCL64gn1KZ1C-u87BGQv3b6w,?14.5K - ?232.7K,?174.5K - ?2.8M,,
1553041123-4675,https://socialblade.com/youtube/top/5000/mostsubscribed,MeghanTrainorVEVO,https://socialblade.com/youtube/user/meghantrainorvevo,MeghanTrainorVEVO,51,8709570,5605162348,US,Music,"Feb 26th, 2014",B+,https://youtube.com/channel/UCf3cbfAXgPFL6OywH7JwOzA,?10.6K - ?169.9K,?127.4K - ?2M,,
1553041111-4672,https://socialblade.com/youtube/top/5000/mostsubscribed,The LaBrant Fam,https://socialblade.com/youtube/c/colelabrant1,The LaBrant Fam,293,8704805,2234288859,US,People,"Aug 24th, 2012",A,https://youtube.com/channel/UC4-CH0epzZpD_ARhxCx6LaQ,?19.5K - ?311.5K,?233.6K - ?3.7M,,
1553041095-4668,https://socialblade.com/youtube/top/5000/mostsubscribed,Lyrical Lemonade,https://socialblade.com/youtube/user/gooodlifefilms,Lyrical Lemonade,324,8699589,2740406019,US,Entertainment,"Mar 25th, 2013",A,https://youtube.com/channel/UCtylTUUVIGY_i5afsQYeBZA,?57.7K - ?923.1K,?692.3K - ?11.1M,,
1553041103-4670,https://socialblade.com/youtube/top/5000/mostsubscribed,twenty one pilots,https://socialblade.com/youtube/user/twentyonepilots,twenty one pilots,107,8697758,1753619643,US,Music,"Sep 5th, 2009",A,https://youtube.com/channel/UCBQZwaNPFfJ1gZ1fLZpAEGw,?17.1K - ?274.2K,?205.6K - ?3.3M,,
1553041115-4673,https://socialblade.com/youtube/top/5000/mostsubscribed,P!NK,https://socialblade.com/youtube/user/pinkvideovault,P!NK,9,8697446,34014166,US,Music,"Dec 20th, 2006",B,https://youtube.com/channel/UCE5yTn9ljzSnC_oMp9Jnckg,?1K - ?16.3K,?12.2K - ?196K,,
1553041107-4671,https://socialblade.com/youtube/top/5000/mostsubscribed,grav3yardgirl,https://socialblade.com/youtube/c/grav3yardgirll,grav3yardgirl,1486,8686590,1564620381,US,Howto,"Dec 3rd, 2010",B,https://youtube.com/channel/UCGwPbAQdGA3_88WBuGtg9tw,?735 - ?11.8K,?8.8K - ?141.1K,,
1553041091-4667,https://socialblade.com/youtube/top/5000/mostsubscribed,Marmok,https://socialblade.com/youtube/c/mrmarmok,Marmok,239,8681926,1255572863,US,Games,"Apr 27th, 2008",A-,https://youtube.com/channel/UCf31Gf5nCU8J6eUlr7QSU0w,?13.7K - ?219.3K,?164.5K - ?2.6M,,
1553041099-4669,https://socialblade.com/youtube/top/5000/mostsubscribed,Tanner Fox,https://socialblade.com/youtube/c/tannerfox,Tanner Fox,1063,8678525,1715682725,US,Film,"Sep 4th, 2011",B,https://youtube.com/channel/UCDLmS9vkPcTz3cAc-c9QIzg,?3.4K - ?55K,?41.2K - ?659.8K,,
1553041087-4666,https://socialblade.com/youtube/top/5000/mostsubscribed,CNCO,https://socialblade.com/youtube/c/cncomusic,CNCO,92,8672576,54829800,US,Music,"Dec 10th, 2015",B-,https://youtube.com/channel/UCqtHOqxV71OQ-fmLdI8rBYw,?171 - ?2.7K,?2.1K - ?32.8K,,
1553041070-4662,https://socialblade.com/youtube/top/5000/mostsubscribed,DalasReview,https://socialblade.com/youtube/c/dalasreviwe,DalasReview,820,8653113,1809478237,ES,Entertainment,"Jun 23rd, 2012",B+,https://youtube.com/channel/UCgRr2pZaGeaZVN6LfbvQk9w,?4.2K - ?66.8K,?50.1K - ?801.8K,,
1553041061-4660,https://socialblade.com/youtube/top/5000/mostsubscribed,FactTechz,https://socialblade.com/youtube/c/facttechz,FactTechz,182,8648733,600943185,IN,Entertainment,"Jul 24th, 2016",B+,https://youtube.com/channel/UCGdPm5Aq081vVD7ih9jZf6Q,?8.8K - ?140.3K,?105.2K - ?1.7M,,
1553041025-4651,https://socialblade.com/youtube/top/5000/mostsubscribed,Funny Stacy,https://socialblade.com/youtube/channel/UCpEJRZdSpdVZ8vh63T9I2KQ,Funny Stacy,89,8602353,2487617387,,,"Apr 22nd, 2017",A,https://youtube.com/channel/UCpEJRZdSpdVZ8vh63T9I2KQ,?53.2K - ?851.9K,?638.9K - ?10.2M,,
1553041041-4655,https://socialblade.com/youtube/top/5000/mostsubscribed,Dehati India N Masti,https://socialblade.com/youtube/channel/UC9prtcQZkLW4YiqkGDB6NkQ,Dehati India N Masti,581,8599543,2805352502,IN,Entertainment,"Jul 20th, 2015",A,https://youtube.com/channel/UC9prtcQZkLW4YiqkGDB6NkQ,?9.2K - ?146.9K,?110.2K - ?1.8M,,
1553041053-4658,https://socialblade.com/youtube/top/5000/mostsubscribed,RocketJump,https://socialblade.com/youtube/c/rocketjump,RocketJump,338,8595833,1696735017,US,Film,"Feb 22nd, 2006",B+,https://youtube.com/channel/UCDsO-0Yo5zpJk575nKXgMVA,?3.5K - ?56.5K,?42.3K - ?677.5K,,
1553041049-4657,https://socialblade.com/youtube/top/5000/mostsubscribed,LA DIVAZA,https://socialblade.com/youtube/c/ladivaza,LA DIVAZA,120,8594124,560722142,VE,Entertainment,"Dec 9th, 2012",B,https://youtube.com/channel/UCY_37NEvihrX3Te637OTxOg,?2.4K - ?38K,?28.5K - ?456.2K,,
1553041045-4656,https://socialblade.com/youtube/top/5000/mostsubscribed,Juliana Baltar,https://socialblade.com/youtube/c/julianabaltar,Juliana Baltar,555,8591809,1685529950,BR,Entertainment,"May 9th, 2010",B+,https://youtube.com/channel/UCqDauP_ke8Lwt8Hg3Xv-8Iw,?8.1K - ?128.8K,?96.6K - ?1.5M,,
1553041037-4654,https://socialblade.com/youtube/top/5000/mostsubscribed,#Ref?gio Mental,https://socialblade.com/youtube/channel/UChYkldqKWymAKTsPku_tDfg,#Ref?gio Mental,323,8580557,1309149535,,Entertainment,"Aug 9th, 2013",D-,https://youtube.com/channel/UChYkldqKWymAKTsPku_tDfg,?3.8K - ?61K,?45.8K - ?732.4K,,
1553041023-4650,https://socialblade.com/youtube/top/5000/mostsubscribed,White Hill Music,https://socialblade.com/youtube/c/whitehillmusic,White Hill Music,3313,8574194,2992718484,IN,Music,"Mar 23rd, 2014",A,https://youtube.com/channel/UCopY0NAzASqmD6eVaRj2TFQ,?30.9K - ?495.1K,?371.3K - ?5.9M,,
1553041017-4649,https://socialblade.com/youtube/top/5000/mostsubscribed,Toy Freaks,https://socialblade.com/youtube/c/toy-freaks,Toy Freaks,492,8547801,6933735324,US,Entertainment,"Feb 21st, 2012",D-,https://youtube.com/channel/UC9fUm_9ZouDuLIMlml6bw5w,?63.6K - ?1M,?762.9K - ?12.2M,,
1553041009-4647,https://socialblade.com/youtube/top/5000/mostsubscribed,IDEAS EN 5 MINUTOS,https://socialblade.com/youtube/channel/UC_OLtzRJdg0MJfiqGWAAIHw,IDEAS EN 5 MINUTOS,1841,8546263,1396401214,,,"Oct 30th, 2017",A,https://youtube.com/channel/UC_OLtzRJdg0MJfiqGWAAIHw,?18.5K - ?296.2K,?222.1K - ?3.6M,,
1553041013-4648,https://socialblade.com/youtube/top/5000/mostsubscribed,YosStoP,https://socialblade.com/youtube/user/yosstop,YosStoP,557,8534590,823665943,MX,Entertainment,"Feb 23rd, 2011",B,https://youtube.com/channel/UCSahY6dNgVipVxeVF-QIW_w,?1.4K - ?21.8K,?16.4K - ?261.7K,,
1553041005-4646,https://socialblade.com/youtube/top/5000/mostsubscribed,AsapSCIENCE,https://socialblade.com/youtube/c/asapsience,AsapSCIENCE,311,8526233,1208643828,CA,Tech,"May 28th, 2012",B+,https://youtube.com/channel/UCC552Sd-3nyi_tk2BudLUzA,?3.7K - ?59.1K,?44.4K - ?709.7K,,
1553041001-4645,https://socialblade.com/youtube/top/5000/mostsubscribed,Volga Video,https://socialblade.com/youtube/c/volgavideo,Volga Video,31383,8500150,4430519861,IN,Entertainment,"Mar 23rd, 2012",A,https://youtube.com/channel/UCIeNlITYK46VkR7yIuTL8GQ,?35K - ?559.3K,?419.5K - ?6.7M,,
1553040997-4644,https://socialblade.com/youtube/top/5000/mostsubscribed,zbing z.,https://socialblade.com/youtube/c/zbing,zbing z.,1524,8494739,3236417476,TH,Games,"Mar 12th, 2014",A,https://youtube.com/channel/UC5zGJZpxeZPFcds5gFcDE7Q,?19.8K - ?316.1K,?237.1K - ?3.8M,,
1553040981-4640,https://socialblade.com/youtube/top/5000/mostsubscribed,DCTC Toy Channel,https://socialblade.com/youtube/c/disneycarstoyclubblogspot,DCTC Toy Channel,2090,8471758,4614016405,US,Entertainment,"Mar 4th, 2013",B-,https://youtube.com/channel/UCsU-ktDYPSvRyRqcFV4uXPw,?269 - ?4.3K,?3.2K - ?51.7K,,
1553040973-4638,https://socialblade.com/youtube/top/5000/mostsubscribed,Troom Troom Es,https://socialblade.com/youtube/channel/UCu6oyJJ6PlkeNNv6n26ZNyA,Troom Troom Es,610,8464144,1729656574,,Howto,"Feb 5th, 2016",A,https://youtube.com/channel/UCu6oyJJ6PlkeNNv6n26ZNyA,?21.1K - ?337.3K,?252.9K - ?4M,,
1553040965-4636,https://socialblade.com/youtube/top/5000/mostsubscribed,Ya - Alisa,https://socialblade.com/youtube/channel/UCVbPnm-qCjH-8Yl1-k4BQkA,Ya - Alisa,46,8442789,905094829,ES,Entertainment,"Apr 30th, 2015",A,https://youtube.com/channel/UCVbPnm-qCjH-8Yl1-k4BQkA,?46.5K - ?744.2K,?558.2K - ?8.9M,,
1553040969-4637,https://socialblade.com/youtube/top/5000/mostsubscribed,michaeljacksonVEVO,https://socialblade.com/youtube/c/michaeljacksonvevo.,michaeljacksonVEVO,92,8431950,6443897809,US,Music,"Sep 2nd, 2009",A,https://youtube.com/channel/UCulYu1HEIa7f70L2lYZWHOw,?27.2K - ?434.7K,?326.1K - ?5.2M,,
1553040961-4635,https://socialblade.com/youtube/top/5000/mostsubscribed,ZarcortGame,https://socialblade.com/youtube/user/zarcortgame,ZarcortGame,260,8421764,1738994868,ES,Entertainment,"Nov 9th, 2012",B+,https://youtube.com/channel/UCE3qZH8ltYwmQDmm5uinPXw,?3.3K - ?52.6K,?39.5K - ?631.5K,,
1553040957-4634,https://socialblade.com/youtube/top/5000/mostsubscribed,Colleen Ballinger,https://socialblade.com/youtube/c/psychoseprano,Colleen Ballinger,940,8418400,1432508440,US,Entertainment,"Jul 31st, 2006",B+,https://youtube.com/channel/UCR-QYzXrZF8yFarK8wZbHog,?4.4K - ?69.7K,?52.3K - ?836K,,
1553040949-4632,https://socialblade.com/youtube/top/5000/mostsubscribed,#Refugio Mental,https://socialblade.com/youtube/channel/UCgQRN9EO5ksPZjs7EasIftQ,#Refugio Mental,307,8406958,1711273254,,Entertainment,"Aug 10th, 2013",A,https://youtube.com/channel/UCgQRN9EO5ksPZjs7EasIftQ,?19.5K - ?311.9K,?234K - ?3.7M,,
1553040953-4633,https://socialblade.com/youtube/top/5000/mostsubscribed,Maria Clara & JP,https://socialblade.com/youtube/c/mariaclaraejp,Maria Clara & JP,372,8400461,2266464928,BR,People,"Sep 6th, 2015",A+,https://youtube.com/channel/UCKe6w0exI94U-RzqAyoY1VA,?41.6K - ?665.7K,?499.3K - ?8M,,
1553040945-4631,https://socialblade.com/youtube/top/5000/mostsubscribed,Linus Tech Tips,https://socialblade.com/youtube/c/linustechtips,Linus Tech Tips,4516,8389435,2521487066,CA,Tech,"Nov 25th, 2008",A-,https://youtube.com/channel/UCXuqSBlHAE6Xw-yeJA0Tunw,?16.4K - ?261.9K,?196.5K - ?3.1M,,
1553040937-4629,https://socialblade.com/youtube/top/5000/mostsubscribed,Jessie J,https://socialblade.com/youtube/c/jessiej,Jessie J,89,8355893,78459205,GB,Music,"Oct 28th, 2007",B-,https://youtube.com/channel/UC4pEp0mo54WhEBCTYvjVDJA,?48 - ?766,?575 - ?9.2K,,
1553040929-4627,https://socialblade.com/youtube/top/5000/mostsubscribed,Apple,https://socialblade.com/youtube/user/apple,Apple,263,8328919,458770100,US,Tech,"Jun 22nd, 2005",D-,https://youtube.com/channel/UCE_M8A5yxnLfW0KghEeajjw,?0 - ?0,?0 - ?0,,
1553040921-4625,https://socialblade.com/youtube/top/5000/mostsubscribed,Red Bull,https://socialblade.com/youtube/user/redbull,Red Bull,6452,8316164,2158786191,AT,Sports,"Sep 23rd, 2006",B+,https://youtube.com/channel/UCblfuW_4rakIf2h6aqANefA,?0 - ?0,?0 - ?0,,
1553040913-4623,https://socialblade.com/youtube/top/5000/mostsubscribed,Kurzgesagt - In a Nutshell,https://socialblade.com/youtube/c/inanutshell,Kurzgesagt - In a Nutshell,95,8304235,576114049,DE,Education,"Jul 9th, 2013",B+,https://youtube.com/channel/UCsXVk37bltHxD1rDPwtNM8Q,?0 - ?0,?0 - ?0,,
1553040909-4622,https://socialblade.com/youtube/top/5000/mostsubscribed,CinemaSins,https://socialblade.com/youtube/user/cinemasins,CinemaSins,709,8289138,2624931560,US,Film,"Dec 11th, 2012",B,https://youtube.com/channel/UCYUQQgogVeQY8cMQamhHJcg,?3K - ?47.9K,?36K - ?575.4K,,
1553040905-4621,https://socialblade.com/youtube/top/5000/mostsubscribed,littlemixVEVO,https://socialblade.com/youtube/user/littlemixvevo,littlemixVEVO,140,8261407,4128016422,GB,Music,"Oct 29th, 2011",A,https://youtube.com/channel/UCssD3_aDYhaG44mwP53CO0w,?20K - ?320.1K,?240K - ?3.8M,,
1553040897-4619,https://socialblade.com/youtube/top/5000/mostsubscribed,Calon Sarjana,https://socialblade.com/youtube/c/calonsarjanafakta,Calon Sarjana,805,8252201,1595951455,ID,Entertainment,"Jan 20th, 2016",A,https://youtube.com/channel/UCkCa2NoZlJlfJlMKgZhtKOQ,?19.1K - ?305.5K,?229.1K - ?3.7M,,
1553040893-4618,https://socialblade.com/youtube/top/5000/mostsubscribed,Migos ATL,https://socialblade.com/youtube/c/migos-atl,Migos ATL,68,8224997,2033398103,US,Music,"Jan 17th, 2012",B+,https://youtube.com/channel/UC9YcTIQuhwgoOQqYMKYqW9A,?7.5K - ?120.8K,?90.6K - ?1.4M,,
1553040889-4617,https://socialblade.com/youtube/top/5000/mostsubscribed,Vijay Television,https://socialblade.com/youtube/c/vijaytelevision,Vijay Television,20563,8205070,4921286321,IN,Entertainment,"Feb 1st, 2007",A,https://youtube.com/channel/UCvrhwpnp2DHYQ1CbXby9ypQ,?38.9K - ?622.8K,?467.1K - ?7.5M,,
1553040885-4616,https://socialblade.com/youtube/top/5000/mostsubscribed,ThatcherJoe,https://socialblade.com/youtube/c/thatcherjeo,ThatcherJoe,291,8189356,1275470258,GB,Comedy,"Nov 13th, 2011",B,https://youtube.com/channel/UCuouUWCLmpG4Dje3Ay0p1oQ,?1.7K - ?27K,?20.2K - ?323.6K,,
1553040877-4614,https://socialblade.com/youtube/top/5000/mostsubscribed,Marques Brownlee,https://socialblade.com/youtube/c/marques-brownlee,Marques Brownlee,1099,8175838,1224280902,US,Tech,"Mar 21st, 2008",B+,https://youtube.com/channel/UCBJycsmduvYEL83R_U4JriQ,?8.8K - ?140K,?105K - ?1.7M,,
1553040869-4612,https://socialblade.com/youtube/top/5000/mostsubscribed,Programa P?nico,https://socialblade.com/youtube/c/programapanico,Programa P?nico,3384,8146247,2838181109,BR,Entertainment,"Nov 20th, 2014",A-,https://youtube.com/channel/UCfxWYi2wFh4ma2uUCcH7VKg,?9.1K - ?146K,?109.5K - ?1.8M,,
1553040865-4611,https://socialblade.com/youtube/top/5000/mostsubscribed,Jingle Toons,https://socialblade.com/youtube/c/jingletoons,Jingle Toons,176,8145001,2772055132,IN,Film,"Jan 24th, 2013",A,https://youtube.com/channel/UCK9F8nycURBsR0YlrBsu1Ag,?26.1K - ?417.5K,?313.1K - ?5M,,
1553040853-4608,https://socialblade.com/youtube/top/5000/mostsubscribed,TheBrainDit,https://socialblade.com/youtube/user/thebraindit,TheBrainDit,6429,8033208,2729289399,US,Games,"Sep 23rd, 2011",B+,https://youtube.com/channel/UCFBcrywVNeUOqtJgGhPEvQg,?3.3K - ?52.7K,?39.5K - ?631.9K,,
1553040830-4603,https://socialblade.com/youtube/top/5000/mostsubscribed,Haryanvi Maina,https://socialblade.com/youtube/c/haryanvimaina,Haryanvi Maina,3324,8031424,3622483376,IN,Music,"May 3rd, 2013",A,https://youtube.com/channel/UCMxtWuqP6Ktk1tsSZSstaug,?25.3K - ?404.2K,?303.1K - ?4.9M,,
1553040845-4606,https://socialblade.com/youtube/top/5000/mostsubscribed,FROST,https://socialblade.com/youtube/c/%d1%83,FROST,1459,8030085,3028278630,RU,Games,"Oct 2nd, 2012",B+,https://youtube.com/channel/UC9diVCDUnRAB3buT1vLn4-w,?3.3K - ?53.1K,?39.8K - ?637.3K,,
1553040849-4607,https://socialblade.com/youtube/top/5000/mostsubscribed,EllieGouldingVEVO,https://socialblade.com/youtube/user/elliegouldingvevo,EllieGouldingVEVO,98,8028317,4690428500,US,Music,"Feb 11th, 2010",A-,https://youtube.com/channel/UCvu362oukLMN1miydXcLxGg,?12.8K - ?205.6K,?154.2K - ?2.5M,,
1553040826-4602,https://socialblade.com/youtube/top/5000/mostsubscribed,Tauz,https://socialblade.com/youtube/c/tauz,Tauz,161,8020624,1750149484,BR,Music,"Feb 7th, 2014",B+,https://youtube.com/channel/UCfDPkUx9mG3IHBxYuPqgqAQ,?5.1K - ?81.1K,?60.8K - ?972.8K,,
1553040818-4600,https://socialblade.com/youtube/top/5000/mostsubscribed,?rea Secreta,https://socialblade.com/youtube/c/areasecreta,?rea Secreta,784,7991215,981134353,BR,People,"Nov 12th, 2016",B+,https://youtube.com/channel/UCcFgREmujdPHvA7I_VOmgIA,?4.1K - ?65.6K,?49.2K - ?787.1K,,
1553040806-4597,https://socialblade.com/youtube/top/5000/mostsubscribed,AzzyLand,https://socialblade.com/youtube/c/azzyland,AzzyLand,1038,7974060,2282278176,CA,Games,"May 8th, 2015",A,https://youtube.com/channel/UCzeB_0FNcPIyUSjL_TL5lEw,?53.1K - ?850.1K,?637.6K - ?10.2M,,
1553040783-4591,https://socialblade.com/youtube/top/5000/mostsubscribed,????? ???????? ??,https://socialblade.com/youtube/channel/UCC-7t96Wrq1d5lwygxOvufQ,????? ???????? ? ???????,219,7930269,2375694635,RU,People,"May 11th, 2016",A,https://youtube.com/channel/UCC-7t96Wrq1d5lwygxOvufQ,?45.3K - ?725.3K,?544K - ?8.7M,,
1553040794-4594,https://socialblade.com/youtube/top/5000/mostsubscribed,dangmattsmith,https://socialblade.com/youtube/user/dangmattsmith,dangmattsmith,477,7926886,1167169205,US,Comedy,"Aug 18th, 2011",B+,https://youtube.com/channel/UCe56RtxwepRSyZ-b--SedOw,?6.6K - ?105.9K,?79.4K - ?1.3M,,
1553040790-4593,https://socialblade.com/youtube/top/5000/mostsubscribed,Jazzghost,https://socialblade.com/youtube/user/jazzghost1,Jazzghost,3351,7922481,1631571668,BR,Games,"Aug 30th, 2012",B+,https://youtube.com/channel/UCIXguhHCl8eDTkXpEuiGPUA,?10.3K - ?164.2K,?123.1K - ?2M,,
1553040786-4592,https://socialblade.com/youtube/top/5000/mostsubscribed,Viih Tube,https://socialblade.com/youtube/c/viihtube,Viih Tube,447,7918990,592322261,BR,People,"Jul 9th, 2013",B+,https://youtube.com/channel/UCl5i1KWUAV7hdT5_tL8l6RA,?4.8K - ?77.5K,?58.1K - ?929.8K,,
1553040778-4590,https://socialblade.com/youtube/top/5000/mostsubscribed,Cut,https://socialblade.com/youtube/c/cut,Cut,977,7903065,2473403650,US,Entertainment,"Oct 29th, 2014",A,https://youtube.com/channel/UCbaGn5VkOVlcRgIWAHcrJKA,?22.3K - ?356K,?267K - ?4.3M,,
1553040774-4589,https://socialblade.com/youtube/top/5000/mostsubscribed,Liza Koshy Too,https://socialblade.com/youtube/channel/UChoTvF02Cv74FF72OaJtTMA,Liza Koshy Too,71,7893459,555885866,,Comedy,"Aug 31st, 2016",B,https://youtube.com/channel/UChoTvF02Cv74FF72OaJtTMA,?2.8K - ?45.3K,?34K - ?543.8K,,
1553040770-4588,https://socialblade.com/youtube/top/5000/mostsubscribed,Miniminter,https://socialblade.com/youtube/c/miniminters,Miniminter,1636,7882624,2726671411,GB,Games,"Feb 17th, 2008",B+,https://youtube.com/channel/UCWZmCMB7mmKWcXJSIPRhzZw,?5K - ?79.5K,?59.7K - ?954.5K,,
1553040750-4583,https://socialblade.com/youtube/top/5000/mostsubscribed,Saregama Music,https://socialblade.com/youtube/c/saregamamusic,Saregama Music,2208,7864572,2121121355,IN,Music,"Jan 4th, 2013",A,https://youtube.com/channel/UC_A7K2dXFsTMAciGmnNxy-Q,?39.2K - ?627.1K,?470.4K - ?7.5M,,
1553040731-4578,https://socialblade.com/youtube/top/5000/mostsubscribed,PDK,https://socialblade.com/youtube/user/pdkfilms,PDK,134,7863537,2077953312,US,Entertainment,"Jul 21st, 2009",B+,,?5.9K - ?94.5K,?70.8K - ?1.1M,,
1553040758-4585,https://socialblade.com/youtube/top/5000/mostsubscribed,AdMe.ru - ???? ??,https://socialblade.com/youtube/c/admeru,AdMe.ru - ???? ? ??????????,1864,7859007,1428029704,RU,Entertainment,"Apr 20th, 2015",A,https://youtube.com/channel/UCuVpbMt4yu4I9eAey3khnGg,?14.6K - ?232.8K,?174.6K - ?2.8M,,
1553040754-4584,https://socialblade.com/youtube/top/5000/mostsubscribed,Luan Santana,https://socialblade.com/youtube/c/luan-santana,Luan Santana,301,7844776,2518546990,BR,Music,"Mar 10th, 2009",A-,https://youtube.com/channel/UC6rwiIxv0w2fbmmr66wl1rA,?12.8K - ?204.6K,?153.5K - ?2.5M,,
1553040742-4581,https://socialblade.com/youtube/top/5000/mostsubscribed,Chill Nation,https://socialblade.com/youtube/c/allchillnation,Chill Nation,1078,7832596,2231433180,US,Music,"Feb 26th, 2014",A,https://youtube.com/channel/UCM9KEEuzacwVlkt9JfJad7g,?17.6K - ?282K,?211.5K - ?3.4M,,
1553040738-4580,https://socialblade.com/youtube/top/5000/mostsubscribed,????? ??????,https://socialblade.com/youtube/c/facts8061,????? ??????,657,7831100,979855459,SA,Entertainment,"May 27th, 2016",A-,https://youtube.com/channel/UCBzrJ1zGf9-0cd5-n7sBraQ,?11K - ?175.9K,?131.9K - ?2.1M,,
1553040746-4582,https://socialblade.com/youtube/top/5000/mostsubscribed,Kika Nieto,https://socialblade.com/youtube/c/kika-nieto,Kika Nieto,265,7827223,680419923,CO,Howto,"Oct 4th, 2011",B,https://youtube.com/channel/UC67qfftymkxZk_3aWOklaaA,?2.1K - ?32.8K,?24.6K - ?393.9K,,
1553040734-4579,https://socialblade.com/youtube/top/5000/mostsubscribed,Tomorrowland,https://socialblade.com/youtube/c/tomorrowland,Tomorrowland,1168,7809364,1232291614,BE,Entertainment,"Jul 1st, 2011",B+,https://youtube.com/channel/UCsN8M73DMWa8SPp5o_0IAQQ,?4.2K - ?66.4K,?49.8K - ?797K,,
1553040716-4575,https://socialblade.com/youtube/top/5000/mostsubscribed,Niki and Gabi,https://socialblade.com/youtube/user/nikiandgabibeauty,Niki and Gabi,405,7741310,940244319,US,Howto,"Sep 3rd, 2012",B+,https://youtube.com/channel/UCuVHOs0H5hvAHGr8O4yIBNQ,?6.9K - ?110.5K,?82.8K - ?1.3M,,
