web-scraper-order,web-scraper-start-url,userID,userID-href,name,uploads,subscribers,videoviews,country,channeltype,usercreated,grade,YouTube_Link-href,MonthlyEarnings,YearlyEarnings,,
1553043011-5134,https://socialblade.com/youtube/top/5000/mostsubscribed,Badabun,https://socialblade.com/youtube/c/badabunoficial,Badabun,3866,37292948,10836102246,MX,Entertainment,"Oct 14th, 2014",A+,https://youtube.com/channel/UCYWOjHweP2V-8kGKmmAmQJQ,?164.9K - ?2.6M,?2M - ?31.7M,,
1553043003-5132,https://socialblade.com/youtube/top/5000/mostsubscribed,whinderssonnunes,"https://socialblade.com/youtube/c/whindersson,",whinderssonnunes,362,35123697,2858803818,BR,Comedy,"Jan 21st, 2013",B+,https://youtube.com/channel/UC3KQ5GWANYF8lChqjZpXsQw,?9.5K - ?152.4K,?114.3K - ?1.8M,,
1553042995-5130,https://socialblade.com/youtube/top/5000/mostsubscribed,Ariana Grande`,https://socialblade.com/youtube/c/ariana-grande,Ariana Grande`,127,34044586,763302033,US,Music,"Jan 22nd, 2007",B+,https://youtube.com/channel/UC9CoOnJkIBMdeijd9qYoT_g,?6.4K - ?102.6K,?76.9K - ?1.2M,,
1553042991-5129,https://socialblade.com/youtube/top/5000/mostsubscribed,News,https://socialblade.com/youtube/channel/UCYfdidRxbB8Qhf0Nx7ioOYw,News,0,33992470,0,,,"Sep 9th, 2013",D-,https://youtube.com/channel/UCYfdidRxbB8Qhf0Nx7ioOYw,?0 - ?0,?0 - ?0,,
1553042983-5127,https://socialblade.com/youtube/top/5000/mostsubscribed,JustinBieberVEVO,https://socialblade.com/youtube/c/justinbiebervebo,JustinBieberVEVO,122,33770169,18512334420,US,Music,"Sep 26th, 2009",A,https://youtube.com/channel/UCHkj014U2CQ2Nv0UZeYpE_A,?21.4K - ?342.7K,?257K - ?4.1M,,
1553042979-5126,https://socialblade.com/youtube/top/5000/mostsubscribed,Zee Music Company,https://socialblade.com/youtube/user/zeemusiccompany,Zee Music Company,3998,33090848,15546938399,IN,Music,"Mar 12th, 2014",A+,https://youtube.com/channel/UCFFbwnve3yF62-tVXkTyHqg,?142.5K - ?2.3M,?1.7M - ?27.4M,,
1553042975-5125,https://socialblade.com/youtube/top/5000/mostsubscribed,Katy Perry,https://socialblade.com/youtube/c/katyperry.,Katy Perry,95,32641073,358024945,US,Entertainment,"Jun 1st, 2008",B-,https://youtube.com/channel/UCYvmuw-JtVrTZQ-7Y4kd63Q,?114 - ?1.8K,?1.4K - ?21.8K,,
1553042967-5123,https://socialblade.com/youtube/top/5000/mostsubscribed,Fernanfloo,https://socialblade.com/youtube/user/fernanfloo,Fernanfloo,534,32393658,6867760534,SV,Games,"May 2nd, 2011",A,https://youtube.com/channel/UCV4xOVpbcV8SdueDCOxLXtQ,?17.4K - ?278.7K,?209K - ?3.3M,,
1553042963-5122,https://socialblade.com/youtube/top/5000/mostsubscribed,Rihanna,https://socialblade.com/youtube/c/rihanna~,Rihanna,76,31492974,60476288,BB,Entertainment,"Nov 6th, 2005",B-,https://youtube.com/channel/UCcgqSM4YEo5vVQpqwN-MaNw,?84 - ?1.3K,?1K - ?16K,,
1553042959-5121,https://socialblade.com/youtube/top/5000/mostsubscribed,Marshmello,https://socialblade.com/youtube/c/marshmello-music,Marshmello,270,31451636,5276196776,US,Music,"Apr 6th, 2015",A,https://youtube.com/channel/UCEdvpU2pFRCVqU6yIPyTpMQ,?86.1K - ?1.4M,?1M - ?16.5M,,
