,APP_Libelle_etablissement,Adresse_2_UA,Code_postal,Libelle_commune,Numero_inspection,Date_inspection,APP_Libelle_activite_etablissement,Synthese_eval_sanit,Agrement,filtre,lat,lon
29,ANTIOCHE,83 RUE HENRI PAUQUET,60100,Creil,22-002041-1,2022-01-06T01:00:00+01:00,Restaurant,A améliorer,,Restaurant,49.265723,2.476092
30,OGEC DE L'INSTITUTION JEAN-PAUL II,3 rue de l'orangerie,60200,Compiègne,21-105221-1,2021-12-17T01:00:00+01:00,Restauration collective,Satisfaisant,,Restauration collective,49.415064,2.830818
31,PIZZA KING,82 RUE DU GENERAL LECLERC,60690,Marseille-en-Beauvaisis,20-095680-1,2021-03-31T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,49.575418,1.9552060000000002
32,EARL DE LA FERME DE LA VALLEE,"365, route de Clermont",60480,Montreuil-sur-Brêche,22-011893-1,2022-02-01T01:00:00+01:00,Chaîne d'abattage de volaille/lagomorphe/petit gibier,Satisfaisant,,,49.504481,2.282963
33,SUSHI TORI,PL DE L'HOTEL DE VILLE,60430,Noailles,21-041535-1,2021-05-26T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,49.329278,2.20083
34,PLANET PIZZA,66 RUE DE LA REPUBLIQUE,60280,Clairoix,21-041575-1,2021-05-28T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,49.442281,2.8612040000000003
35,SITIS VILLERS ST PAUL,4 B BD DE LA REPUBLIQUE,60870,Villers-Saint-Paul,22-002291-1,2022-01-13T01:00:00+01:00,Libre service|Alimentation générale,A améliorer,,Libre service|Alimentation générale,49.288129,2.479523
36,MELINE,10 RUE SOLFERINO,60200,Compiègne,22-016097-1,2022-03-03T01:00:00+01:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,49.419245000000004,2.823976
37,JETLAG FOOD,RD922,60520,La Chapelle-en-Serval,21-072161-1,2021-09-07T02:00:00+02:00,Restaurant,Très satisfaisant,,Restaurant,49.126247,2.528524
38,BAYART OLIVIER,73 RUE DE PARIS,60400,Noyon,22-002400-1,2022-01-17T01:00:00+01:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,49.578865,2.9953119999999998
39,EARL PAYEN-FLECHY,2 RUE DE LA RUELLETTE,60120,Fléchy,21-088637-1,2021-10-01T02:00:00+02:00,Producteur fermier,Très satisfaisant,,Producteur fermier,49.65912,2.226914
40,EHPAD,85 B RUE DU GENERAL LECLERC,60250,Mouy,22-011494-1,2022-01-27T01:00:00+01:00,Restauration collective,Satisfaisant,,Restauration collective,49.314446000000004,2.320018
41,MARMARIS,16 AV DU GEN FRERE,60120,Breteuil,22-002744-1,2022-01-03T01:00:00+01:00,Restaurant,Satisfaisant,,Restaurant,49.630831,2.292554
42,UNITE PRODUCTION CULINAIRE,66 rue de Tilloy,60000,Beauvais,21-084480-1,2021-10-12T02:00:00+02:00,Restauration collective,Satisfaisant,60057016.0,Restauration collective,49.445098,2.103145
43,LE TRIO,LE TRIO,60350,Jaulzy,22-002735-1,2022-01-18T01:00:00+01:00,Restaurant,A améliorer,,Restaurant,49.385578,3.04422
44,PICARDIE VENAISON,PICARDIE VENAISON,60200,Compiègne,21-098826-1,2021-11-30T01:00:00+01:00,Découpe de gibier sauvage,Satisfaisant,60159004.0,,49.399186,2.8095310000000002
45,PICARDIE VENAISON,PICARDIE VENAISON,60200,Compiègne,21-099104-1,2021-11-30T01:00:00+01:00,Traitement du gibier sauvage,Satisfaisant,60159004.0,,49.399186,2.8095310000000002
46,LA LIOVETTE SALAMANDRE,35 RUE ARNAUD BISSON,60000,Beauvais,21-041126-1,2021-05-20T02:00:00+02:00,Restauration collective,Très satisfaisant,,Restauration collective,49.420581,2.0754330000000003
47,RESTAURANT SCOLAIRE,22 RUE HUBERT GRISON,60160,Thiverny,21-074315-1,2021-09-16T02:00:00+02:00,Restauration collective,Satisfaisant,,Restauration collective,49.248707,2.43099
48,FOYER LA SAGESSE,rue des érables,60800,Crépy-en-Valois,21-061563-1,2021-07-19T02:00:00+02:00,Restauration collective,Satisfaisant,60176001.0,Restauration collective,49.224024,2.900162
49,LE WOOD,27 PL DU CHANGE,60200,Compiègne,21-066264-1,2021-08-12T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,49.416596000000006,2.8251459999999997
50,SOCIETE DES QUATRE VENTS,Ferme du Moulin,60640,Guiscard,21-037837-1,2021-04-21T02:00:00+02:00,Transformation de lait ou produits laitiers,Satisfaisant,60291031.0,,49.658453,3.061616
51,THEBAULT FRANCIS,24 CHEMIN DE CAPPY,60410,Saint-Vaast-de-Longmont,21-064687-1,2021-08-10T02:00:00+02:00,Commerce alimentaire,Très satisfaisant,,,49.301247,2.7300150000000003
52,SOCIETE LAITIERE DE CLERMONT,"2, Rue Henri Breuil",60600,Clermont,21-101074-1,2021-12-10T01:00:00+01:00,Transformation de lait ou produits laitiers,Très satisfaisant,60157031.0,,49.385071999999994,2.410879
53,CENTRE HOSPITALIER GENERAL,EOLE HEMATOLOGIE ONCOLOGIE,60000,Beauvais,21-060148-1,2021-07-27T02:00:00+02:00,Restauration collective,Satisfaisant,,Restauration collective,49.417320000000004,2.092066
