ndeg_auto;dep;nom;region_administrative;adresse;code_insee;commune;situation_geographique;ecrans;fauteuils;semaines_d_activite;seances;entrees;entrees_2015;evolution_entrees;tranche_d_entrees;proprietaire;programmateur;ae;categorie_art_et_essai;label_art_et_essai;genre;multiplexe;nombre_de_films_programmes;nombre_de_films_inedits;nombre_de_films_en_semaine_1;pdm_en_entrees_des_films_francais;pdm_en_entrees_des_films_americains;pdm_en_entrees_des_films_europeens;pdm_en_entrees_des_autres_films;films_art_et_essai;part_des_seances_de_films_art_et_essai;pdm_en_entrees_des_films_art_et_essai;geo
9616.0;75;MK2 A&E;ILE-DE-FRANCE;15/43 QUAI FRANCOIS MAURIAC;75113;Paris 13e Arrondissement;Paris;4;520;53;9121;173688;187050;7.1;De 150 à 200 000 entrées;NC;MK2;non;non classé;;fixe;non;185;175;60;42.9647256762;29.0439863097;13.9558869286;14.0354010855;112;64.7633688372;62.1771898084;48.832993,2.378615
9700.0;75;PATHE BEAUGRENELLE;ILE-DE-FRANCE;7 RUE LINOIS;75115;Paris 15e Arrondissement;Paris;10;1962;53;21789;922671;945951;2.5;De 700 000 à 1 million d'entrées;NC;Les cinemas GAUMONT-PATHE;non;non classé;;fixe;oui;187;164;164;34.1044259686;51.2314341709;12.2417398991;2.4223999614;44;20.0905646428;17.5015326439;48.848895,2.282585
9802.0;75;CLUB DE L ETOILE;ILE-DE-FRANCE;14 RUE TROYON;75117;Paris 17e Arrondissement;Paris;1;161;47;315;9129;4602;98.4;De 5 à 10 000 entrées;NC;NC;non;non classé;;fixe;non;107;27;2;23.2432432432;22.0966420966;11.0401310401;43.61998362;48;61.6;37.8542178542;48.876113,2.295345
9900.0;75;MK2 QUAI DE LOIRE;ILE-DE-FRANCE;5/19 QUAI DE LA LOIRE;75119;Paris 19e Arrondissement;Paris;6;1108;53;11994;503065;498020;1.0;De 450 à 700 000 entrées;NC;MK2;non;non classé;;fixe;non;243;174;109;34.1510758931;53.1694257249;9.89590191079;2.78359647128;131;35.5135496822;36.9434502791;48.885067,2.374123
9906.0;75;UGC CINE CITE PARIS 19;ILE-DE-FRANCE;166 BOULEVARD MAC DONALD;75119;Paris 19e Arrondissement;Paris;14;2790;53;30987;576981;536652;7.5;De 450 à 700 000 entrées;NC;UGC;non;non classé;;fixe;oui;352;279;258;29.7006845767;55.904082775;12.103865129;2.29136751929;154;25.9742784023;15.9389200446;48.898991,2.376757
9920.0;75;PATHE;ILE-DE-FRANCE;30 AVENUE CORENTIN CARIOU;75119;Paris 19e Arrondissement;Paris;15;2828;53;32938;494488;23250;2026.8;De 450 à 700 000 entrées;NC;Les cinemas GAUMONT-PATHE;non;non classé;;fixe;oui;267;237;468;18.8749923739;66.4500843959;12.7889288837;1.88599434649;54;14.1837046079;7.84902283774;48.897016,2.385181
9950.0;75;ETOILE LILAS;ILE-DE-FRANCE;PLACE DU MAQUIS DU VERCORS;75120;Paris 20e Arrondissement;Paris;7;1480;53;11929;297024;324536;8.5;De 200 à 300 000 entrées;NC;Les Films de la Rochelle;non;non classé;;fixe;non;273;151;122;27.1769154256;60.2324122562;9.10171588589;3.48895643223;97;13.5679256646;10.5753468335;48.852605,2.406733
10992.0;78;PANDORA;ILE-DE-FRANCE;6 ALLEE SIMONE SIGNORET;78005;Achères;petite couronne;3;257;51;4703;78313;84400;7.2;De 50 à 80 000 entrées;CINE ACHERES PANDORA;NC;oui;catégorie C;RDJP;fixe;non;213;169;60;61.2309396145;20.3765481287;12.1270647344;6.26544752232;159;73.6478967282;67.4909847247;48.960956,2.067774
14693.0;94;LE POLE CULTUREL;ILE-DE-FRANCE;82 RUE MARCEL BOURDARIAS;94002;Alfortville;grande couronne;1;410;21;52;6660;3072;116.8;De 5 à 10 000 entrées;NC;NC;non;non classé;;fixe;non;49;36;2;56.4714714715;31.1561561562;12.3723723724;0.0;27;51.9230769231;36.1711711712;48.807586,2.422346
20931.0;92;LE SELECT;ILE-DE-FRANCE;10 AV DIVISION LECLERC;92002;Antony;grande couronne;4;665;49;6012;233335;240269;2.9;De 200 à 300 000 entrées;CENTRE CULTUREL MUNICIPAL D'ANTONY;NC;oui;catégorie C;RDJPPR;fixe;non;393;288;141;62.5031519037;25.2098267353;8.54796296963;3.73905839127;271;65.9329320722;54.0524476784;48.753029,2.304782
22634.0;94;JEAN VILAR;ILE-DE-FRANCE;1 RUE PAUL SIGNAC;94003;Arcueil;grande couronne;2;328;49;2208;28070;28549;1.7;De 20 à 30 000 entrées;VILLE D ARCUEIL;NC;oui;catégorie C;RDJPPR;fixe;non;350;252;4;61.8302301;20.5911049679;11.5415887471;6.03707618506;230;64.1791044776;63.688104724;48.801352,2.330702
22636.0;94;MEGARAMA;ILE-DE-FRANCE;8 AVENUE SALVADOR ALLENDE;94003;Arcueil;grande couronne;6;781;53;10545;272334;270747;0.6;De 200 à 300 000 entrées;NC;AGORA CINEMAS;non;non classé;;fixe;non;121;110;104;20.75613034;66.4206452371;10.1188246785;2.70439974443;8;4.36225699384;2.1921610963;48.810228,2.328168
23301.0;95;JEAN GABIN (EX-GALILEE);ILE-DE-FRANCE;12-14 BOULEVARD LEON FEIX;95018;Argenteuil;petite couronne;1;128;48;595;5313;4811;10.4;De 5 à 10 000 entrées;COMMUNAUTE D AGGLOMERATION ARGENTEUIL BEZONS;NC;non;non classé;;fixe;non;111;81;2;51.8508794959;15.3846153846;23.0769230769;9.68758204253;83;78.640776699;74.9278025729;48.946909,2.249331
23323.0;95;LE FIGUIER BLANC;ILE-DE-FRANCE;3TER RUE GREGOIRE COLLAS;95018;Argenteuil;petite couronne;3;826;53;3570;66363;62074;6.9;De 50 à 80 000 entrées;COMMUNAUTE D AGGLOMERATION ARGENTEUIL BEZONS;NC;oui;catégorie C;JPPR;fixe;non;284;212;37;38.9332847006;49.1892698455;9.51488825519;2.36255719875;158;40.4243119266;31.8323496253;48.943679,2.24855
24753.0;91;STARS;ILE-DE-FRANCE;13 AV DU GENERAL DE GAULLE;91021;Arpajon;petite couronne;5;829;53;7739;115019;131757;12.7;De 100 à 150 000 entrées;STARS;NC;non;non classé;;fixe;non;149;124;115;30.3449235291;59.1073897279;9.10347705872;1.44420968429;21;5.4148358749;6.74109433011;48.590692,2.250123
26662.0;92;L ALCAZAR;ILE-DE-FRANCE;1 RUE DE LA STATION;92004;Asnières-sur-Seine;grande couronne;4;646;53;6356;171649;172115;0.3;De 150 à 200 000 entrées;ASSOCIATION DE GESTION DES CINEMAS D ASNIERES;NC;oui;catégorie C;JPPR;fixe;non;209;155;109;48.527118766;38.7494902488;8.54403051311;4.17936047209;125;47.5417661098;40.0148727421;48.906327,2.284046
27573.0;91;CINEMA VENTURA;ILE-DE-FRANCE;RUE SAMUEL DESBORDES;91027;Athis-Mons;petite couronne;1;175;49;536;10575;9706;9.0;De 10 à 20 000 entrées;LE CENTRE CULTUREL DES PORTES DE L' ESSONNE;NC;oui;catégorie C;;fixe;non;202;164;0;44.8251333729;38.1387077653;4.5880260818;12.4481327801;98;43.1492842536;40.8180201541;48.7102,2.388137
28113.0;78;PAUL GRIMAULT  EX CINE 83;ILE-DE-FRANCE;1 AV DE LA DIVISION LECLERC;78029;Aubergenville;petite couronne;1;169;50;965;11439;11153;2.6;De 10 à 20 000 entrées;SCENE ET ECRAN;GPCI;non;non classé;;fixe;non;175;154;1;44.2697861451;48.4280753062;5.18186803144;2.12027051727;55;26.0230849948;16.2401754707;48.9589,1.855229
28264.0;93;STUDIO;ILE-DE-FRANCE;2 RUE EDOUARD POISSON;93001;Aubervilliers;grande couronne;1;127;49;1018;26903;23832;12.9;De 20 à 30 000 entrées;ASSOCIATION CINEMA LE STUDIO;GPCI;oui;catégorie C;JPPR;fixe;non;285;171;3;53.3796775625;26.2781639797;8.00670512252;12.3354533353;193;67.5804529201;63.6345708229;48.910534,2.384966
30164.0;93;THEATRE ET CINEMA JACQUES PREVERT;ILE-DE-FRANCE;134 RUE ANATOLE FRANCE;93005;Aulnay-sous-Bois;grande couronne;2;789;46;1044;25635;24814;3.3;De 20 à 30 000 entrées;INSTITUT AULNAYSIEN DE DEVELOPPEMENT CULTUREL;GPCI;oui;catégorie C;JP;fixe;non;229;183;4;53.3112582781;30.298013245;8.46985012199;7.92087835483;132;57.2745901639;51.4029278494;48.940586,2.496291
30184.0;93;UGC CINE CITE O'PARINOR;ILE-DE-FRANCE;LE HAUT DE GALY;93005;Aulnay-sous-Bois;grande couronne;14;2592;53;29605;1073892;955138;12.4;De 1 à 1,5 million d'entrées;NC;UGC;non;non classé;;fixe;oui;293;187;185;23.097405216;64.134126704;10.7851966647;1.98327141528;93;7.74274223529;2.55184957871;48.960325,2.473606
35953.0;92;THEATRE VICTOR HUGO;ILE-DE-FRANCE;14 AV VICTOR HUGO;92007;Bagneux;grande couronne;1;418;30;141;7128;6866;3.8;De 5 à 10 000 entrées;VILLE DE BAGNEUX;NC;non;non classé;;fixe;non;49;28;0;49.6003914533;40.3523079432;10.0473006035;0.0;27;45.1612903226;48.4749633013;48.804045,2.321692
36013.0;93;LE CIN'HOCHE;ILE-DE-FRANCE;6 RUE HOCHE;93006;Bagnolet;grande couronne;2;288;49;1843;32592;35014;6.9;De 30 à 40 000 entrées;ASSOCIATION BAGNOLETAISE DU CINEMA;NC;oui;catégorie C;JPPR;fixe;non;252;178;2;55.6964700909;29.2397660819;8.62396956246;6.43979426478;192;75.6025867137;72.7330374128;48.869237,2.417029
37350.0;91;CINE TOILE;ILE-DE-FRANCE;2 RUE DES COLOMBES;91045;Ballancourt-sur-Essonne;petite couronne;1;189;50;732;47168;55764;15.4;De 40 à 50 000 entrées;NC;NC;non;non classé;;fixe;non;113;94;28;45.8882611425;45.8969197134;4.27300474057;3.94181440353;27;17.7531206657;16.9556464706;48.528643,2.388787
45132.0;95;BEAUMONT PALACE;ILE-DE-FRANCE;6 AV ANATOLE FRANCE;95052;Beaumont-sur-Oise;petite couronne;1;353;49;776;18387;19577;6.1;De 10 à 20 000 entrées;VILLE DE BEAUMONT SUR OISE;GPCI;oui;catégorie D;;fixe;non;179;138;1;54.0882231689;22.9765013055;21.0938573588;1.84141816683;86;43.5277382646;53.8202555998;49.141412,2.283076
54292.0;78;LA BARBACANE;ILE-DE-FRANCE;PLACE DU 8 MAI 1945;78062;Beynes;petite couronne;1;292;27;218;6248;4648;34.4;De 5 à 10 000 entrées;SYNDICAT INTERCOMMUNAL DE GESTION DES ACTIVITES DU CENTRE CULTUR;GPCI;non;non classé;;fixe;non;82;75;0;42.2563417891;40.220293725;6.75901201602;10.76435247;30;32.8205128205;40.7877169559;48.855732,1.875104
54692.0;95;THEATRE PAUL ELUARD;ILE-DE-FRANCE;162 RUE MAURICE BERTEAUX;95063;Bezons;petite couronne;2;598;52;1461;33612;34622;2.9;De 30 à 40 000 entrées;THEATRE PAUL ELUARD;GPCI;oui;catégorie C;JPPR;fixe;non;255;189;23;45.5775303307;42.5361475819;8.26325411335;3.62306797407;129;32.2723908216;22.5627389064;48.931156,2.207081
57582.0;93;CINEMA LOUIS DAQUIN;ILE-DE-FRANCE;76 RUE VICTOR HUGO;93007;Le Blanc-Mesnil;grande couronne;3;447;53;3339;62022;58799;5.5;De 50 à 80 000 entrées;VILLE DE BLANC MESNIL;NC;oui;catégorie C;RDJPPR;fixe;non;284;230;24;49.1481628223;37.1259754354;10.2788926978;3.44696904446;142;35.718809373;25.4707067923;48.941761,2.457313
59031.0;93;MAGIC CINEMA;ILE-DE-FRANCE;RUE DU CHEMIN VERT;93008;Bobigny;grande couronne;2;443;49;2276;36719;37811;2.9;De 30 à 40 000 entrées;NC;NC;oui;catégorie C;RDJPPR;fixe;non;291;211;9;39.9543026523;41.0504214654;10.071942446;8.92333343626;180;53.8642789821;45.9227467811;48.90494,2.447393
59604.0;92;JEAN RENOIR;ILE-DE-FRANCE;RUE DU GENERAL LECLERC;92009;Bois-Colombes;grande couronne;1;300;44;344;16144;16157;0.1;De 10 à 20 000 entrées;VILLE DE BOIS COLOMBES;NC;non;non classé;;fixe;non;92;57;0;51.8576590088;31.0109755266;12.2912263958;4.84013906878;49;48.1848184818;55.8252096257;48.916548,2.266897
59690.0;78;LA GRANGE DE LA TREMBLAYE;ILE-DE-FRANCE;RUE DU PARC;78073;Bois-d'Arcy;petite couronne;1;338;36;400;9061;8229;10.1;De 5 à 10 000 entrées;NC;NC;non;non classé;;fixe;non;112;97;0;57.8322875071;34.8545350827;3.67370222476;3.6394751854;38;30.9973045822;18.2772390188;48.800013,2.023763
60942.0;94;LE FORUM;ILE-DE-FRANCE;PLACE DU FORUM;94004;Boissy-Saint-Léger;grande couronne;1;114;46;119;4834;5292;8.7;De 2 à 5 000 entrées;VILLE DE BOISSY SAINT LEGER;NC;non;non classé;;fixe;non;67;46;0;54.6073425723;21.7845854607;10.4789691223;13.1291028446;27;48.4536082474;69.4383661561;48.754035,2.502015
61504.0;93;SALLE ANDRE MALRAUX;ILE-DE-FRANCE;25 COURS DE LA REPUBLIQUE;93010;Bondy;grande couronne;1;324;48;875;24998;22864;9.3;De 20 à 30 000 entrées;VILLE DE BONDY;NC;oui;catégorie C;;fixe;non;161;123;1;43.4939971751;41.4636299435;6.83262711864;8.20974576271;82;45.3658536585;36.8026129944;48.901598,2.480089
62121.0;94;GERARD PHILIPE;ILE-DE-FRANCE;2 RUE PABLO NERUDA;94011;Bonneuil-sur-Marne;grande couronne;1;245;44;424;9939;12377;19.7;De 5 à 10 000 entrées;VILLE DE BONNEUIL SUR MARNE;NC;non;non classé;;fixe;non;96;76;0;44.8320873383;29.5597484277;18.9272576243;6.68090660971;39;35.0490196078;46.3747478343;48.774577,2.486664
66835.0;92;CINEMA LANDOWSKI;ILE-DE-FRANCE;28 AVENUE ANDRE-MORIZET;92012;Boulogne-Billancourt;grande couronne;1;154;49;1606;54134;57326;5.6;De 50 à 80 000 entrées;VILLE DE BOULOGNE BILLANCOURT;NC;oui;catégorie C;RDJP;fixe;non;176;116;78;53.7927277679;18.8731736737;17.0288515788;10.3052469796;153;85.7605177994;82.3233011031;48.83591,2.239289
66923.0;92;PATHE;ILE-DE-FRANCE;26 RUE LE CORBUSIER;92012;Boulogne-Billancourt;grande couronne;7;1492;53;13900;567996;541985;4.8;De 450 à 700 000 entrées;EUROPALACES NICE BOULOGNE;Les cinemas GAUMONT-PATHE;non;non classé;;fixe;non;158;140;136;43.0831394066;43.5846277234;10.4295216035;2.90271126653;56;29.2314397792;23.3883744422;48.837649,2.239534
68114.0;93;LE CINEMA;ILE-DE-FRANCE;10 AVENUE FRANCIS DE PRESSENSE;93013;Le Bourget;grande couronne;1;83;49;690;4949;6981;29.1;De 2 à 5 000 entrées;VILLE DU BOURGET;GPCI;non;non classé;;fixe;non;110;86;2;36.9445619975;49.3863732543;3.08929327127;10.5797714769;21;12.7192982456;34.870926788;48.932361,2.424858
68212.0;92;AUDITORIUM DU CONSERVATOIRE;ILE-DE-FRANCE;11 BD CARNOT;92014;Bourg-la-Reine;grande couronne;1;177;25;34;1627;1636;0.6;Moins de 2000 entrées;LES GEMEAUX SCENE NATIONALE;NC;non;non classé;;fixe;non;34;12;2;42.2864167179;50.8297480025;6.88383527966;0.0;21;61.7647058824;56.9145666872;48.778884,2.317531
69641.0;91;BUXY;ILE-DE-FRANCE;CENTRE COMMERCIAL VAL D'YERRES 2;91097;Boussy-Saint-Antoine;petite couronne;5;797;53;6979;122537;120785;1.5;De 100 à 150 000 entrées;NC;GPCI;oui;catégorie C;;fixe;non;230;191;125;38.7519178228;53.5628430544;5.96719805059;1.71804107218;90;15.6744319816;11.543857634;48.683571,2.535014
71901.0;77;LE RENAISSANCE;ILE-DE-FRANCE;16 RUE DE L EGLISE;77051;Bray-sur-Seine;petite couronne;1;105;53;332;4476;4492;0.4;De 2 à 5 000 entrées;LEMOINE DENISE;NC;oui;catégorie E;;fixe;non;145;104;1;52.7163461538;34.2067307692;6.82692307692;6.25;73;42.8571428571;42.1153846154;48.415251,3.237856
73423.0;91;JEAN COCTEAU;ILE-DE-FRANCE;3 RUE ANATOLE FRANCE;91103;Brétigny-sur-Orge;petite couronne;2;370;52;2097;65592;66778;1.8;De 50 à 80 000 entrées;ASSOCIATION CINE 220;MICROMEGAS;oui;catégorie C;JPPR;fixe;non;291;215;23;40.2033436573;45.7166485592;7.57430799916;6.50569978433;165;40.0100401606;32.346884172;48.608596,2.303919
74662.0;77;LES 4 VENTS;ILE-DE-FRANCE;80 RUE DU GENERAL LECLERC;77053;Brie-Comte-Robert;petite couronne;1;168;52;996;24018;20919;14.8;De 20 à 30 000 entrées;NC;NC;oui;catégorie E;JP;fixe;non;246;199;0;55.9041744882;35.4429248235;5.23822293734;3.41467775096;121;42.0882669537;30.2628050416;48.696652,2.607228
81101.0;94;LA PLEIADE;ILE-DE-FRANCE;12 AVENUE COUSIN DE MERICOURT;94016;Cachan;grande couronne;3;802;53;4753;70767;73000;3.1;De 50 à 80 000 entrées;ASSOCIATION CENTRE CULTUREL COMMUNAL CACHAN;UGC;oui;catégorie C;;fixe;non;219;166;73;54.6977945384;33.5705586289;7.5085474475;4.22309938517;130;38.9765458422;35.2286900762;48.795796,2.335316
91492.0;78;CINEMA DU THEATRE;ILE-DE-FRANCE;8 AVENUE CHARLES DE GAULLE;78126;La Celle-Saint-Cloud;petite couronne;1;319;40;140;9067;8784;3.2;De 5 à 10 000 entrées;VILLE DE LA CELLE SAINT CLOUD;NC;non;non classé;;fixe;non;124;88;0;61.7276821804;26.4233745236;7.73761404319;4.1113292528;73;58.2089552239;52.3617045848;48.847416,2.136047
92329.0;95;UGC CINE CITE;ILE-DE-FRANCE;8 PLACE DES 3 GARES;95127;Cergy;petite couronne;14;2768;53;27877;621165;662200;6.2;De 450 à 700 000 entrées;UGC CINE CITE;UGC;non;non classé;;fixe;oui;296;222;221;26.1372796863;61.3586090815;10.5826341551;1.92147707706;94;13.7174654461;6.07204813527;49.048453,2.010977
96533.0;77;JEAN GABIN;ILE-DE-FRANCE;RUE PIERRE DE COUBERTIN;77079;Champagne-sur-Seine;petite couronne;1;168;49;527;8052;8097;0.6;De 5 à 10 000 entrées;CINE MONTEREAU POINT COM;NC;oui;catégorie D;;fixe;non;182;136;0;52.0841500065;29.6615706259;10.8584868679;7.39579249967;94;46.4354527938;44.0219521756;48.398755,2.80515
97431.0;94;STUDIO 66;ILE-DE-FRANCE;66 RUE JEAN JAURES;94017;Champigny-sur-Marne;grande couronne;5;944;53;8443;154545;48360;219.6;De 150 à 200 000 entrées;STUDIO 66;AGORA CINEMAS;non;non classé;;fixe;non;232;166;70;25.878152168;61.2431826773;9.61647497165;3.26219018306;133;19.3470955353;13.181732275;48.814397,2.508133
105652.0;92;REX;ILE-DE-FRANCE;364 AVE DE LA DIVISION LECLERC;92019;Châtenay-Malabry;grande couronne;2;551;49;2201;60861;62057;1.9;De 50 à 80 000 entrées;ASSOCIATION CHATENAY ACTION CULTURE;NC;oui;catégorie C;JP;fixe;non;221;165;71;48.0236112575;37.0770528091;8.37286110818;6.5264748252;141;51.0272336359;43.417307895;48.765842,2.259825
106031.0;92;CINEMA;ILE-DE-FRANCE;7BIS RUE DE LA MAIRIE;92020;Châtillon;grande couronne;1;226;44;600;22259;26851;17.1;De 20 à 30 000 entrées;THEATRE DE CHATILLON;NC;oui;catégorie C;;fixe;non;172;123;0;60.3682662068;24.256873288;10.1501471036;5.22471340164;85;47.442680776;50.3500050725;48.800675,2.288049
106262.0;78;LOUIS JOUVET;ILE-DE-FRANCE;3 PLACE MAURICE BERTEAUX;78146;Chatou;petite couronne;2;536;26;586;33897;50362;32.7;De 30 à 40 000 entrées;ANIM'ACTION;UGC;non;non classé;;fixe;non;69;51;30;49.7559920929;34.4915987151;11.7957746479;3.95663454411;30;28.3972125436;36.4436619718;48.886917,2.156299
108192.0;92;ATRIUM;ILE-DE-FRANCE;3 PARVIS ROBERT SCHUMAN;92022;Chaville;grande couronne;1;643;44;303;20301;21226;4.4;De 20 à 30 000 entrées;NC;GPCI;non;non classé;;fixe;non;117;86;3;51.1056122986;40.2179635674;6.49678845951;2.17963567442;57;34.5070422535;36.0692850374;48.813094,2.192579
108774.0;77;COSMOS;ILE-DE-FRANCE;22 AV DE LA RESISTANCE;77108;Chelles;petite couronne;2;645;53;2739;62679;71113;11.9;De 50 à 80 000 entrées;STUDIO 43;NC;non;non classé;;fixe;non;183;120;37;38.5406367412;52.4059060049;4.58770021752;4.46575703645;94;20.2973977695;13.8636213829;48.877872,2.586341
110351.0;77;GAUMONT DISNEY VILLAGE;ILE-DE-FRANCE;1 ESPLANADE FRANCOIS TRUFFAUT;77111;Chessy;petite couronne;15;3923;53;30488;1010666;1074930;6.0;De 1 à 1,5 million d'entrées;GAUMONT;Les cinemas GAUMONT-PATHE;non;non classé;;fixe;oui;231;199;199;18.5653363253;69.4230664211;10.6965799024;1.3150173512;27;6.73868651604;3.58373008584;48.880488,2.772675
110761.0;94;SALLE ANDRE MALRAUX;ILE-DE-FRANCE;102 AV DU GENERAL DE GAULLE;94021;Chevilly-Larue;grande couronne;1;405;48;369;10542;11167;5.6;De 10 à 20 000 entrées;CENTRE CULTUREL DE CHEVILLY LARUE;NC;oui;catégorie C;;fixe;non;125;92;1;54.7047527604;22.5996159386;13.6221795487;9.07345175228;73;58.024691358;59.7815650504;48.770432,2.350955
111583.0;91;FRANCOIS TRUFFAUT;ILE-DE-FRANCE;2 RUE DE L ECOLE;91161;Chilly-Mazarin;petite couronne;2;409;53;3689;53418;52404;1.9;De 50 à 80 000 entrées;ASSOCIATION FRANCOIS TRUFFAUT;NC;oui;catégorie C;RDJPPR;fixe;non;513;330;14;42.0223089556;40.2371659522;12.9545503018;4.78597479045;328;49.5107033639;40.7852922985;48.703333,2.314917
112014.0;94;SALLE PAUL ELUARD;ILE-DE-FRANCE;4 AV DE VILLENEUVE ST GEORGES;94022;Choisy-le-Roi;grande couronne;1;181;49;1051;36511;36605;0.3;De 30 à 40 000 entrées;CENTRE D'ACTION CULTURELLE THEATRE PAUL ELUARD CHOISY LE ROI;NC;oui;catégorie C;JP;fixe;non;173;123;1;60.6379469587;25.8873202269;9.58899590975;3.8857369046;104;53.5828877005;48.8290011875;48.766383,2.414699
113523.0;92;CINEMA JEANNE MOREAU (EX-CENTRE CULTUREL JEAN ARP);ILE-DE-FRANCE;22 RUE PAUL VAILLANT COUTURIER;92023;Clamart;grande couronne;1;176;49;1126;37267;39564;5.8;De 30 à 40 000 entrées;VILLE DE CLAMART;NC;oui;catégorie C;JP;fixe;non;169;121;8;71.1631663974;18.4427648281;7.40537733672;2.9886914378;102;59.8113207547;54.4830371567;48.802513,2.263801
114032.0;78;ESPACE PHILIPPE NOIRET (EX-CINEMA HENRI LANGLOIS);ILE-DE-FRANCE;PLACE CHARLES DE GAULLE;78165;Les Clayes-sous-Bois;petite couronne;2;356;50;1849;67083;75027;10.6;De 50 à 80 000 entrées;VILLE DE CLAYES SOUS BOIS;NC;oui;catégorie C;JP;fixe;non;247;191;17;44.7615402281;44.0756334686;6.71974278497;4.44308351833;110;25.7110987172;22.4159840772;48.821274,1.987156
115104.0;92;CINEMA RUTEBEUF;ILE-DE-FRANCE;16-18  ALLEES LEON-GAMBETTA;92024;Clichy;grande couronne;1;549;49;963;37212;41526;10.4;De 30 à 40 000 entrées;VILLE DE CLICHY LA GARENNE;NC;oui;catégorie C;JPPR;fixe;non;215;158;1;51.0835812114;30.3206615893;12.6303402739;5.96541692544;117;51.2249443207;48.1155819959;48.90196,2.309342
117025.0;92;M J C THEATRE DE COLOMBES;ILE-DE-FRANCE;96, 98 RUE ST DENIS;92025;Colombes;grande couronne;1;322;47;327;8737;10212;14.4;De 5 à 10 000 entrées;MAISON DES JEUNES ET DE LA CULTURE DU THEATRE DE COLOMBES;NC;oui;catégorie C;;fixe;non;70;39;0;43.3681672026;35.0281350482;14.9517684887;6.65192926045;59;82.2299651568;85.2893890675;48.923862,2.250041
117051.0;92;L'HELIOS (EX-CLUB);ILE-DE-FRANCE;27 A 39 RUE DU BOURNARD;92025;Colombes;grande couronne;4;477;53;6238;131300;126465;3.8;De 100 à 150 000 entrées;QUATRE CLUBS SARL;NC;oui;catégorie C;JPPR;fixe;non;238;173;112;39.684558242;48.1669018781;8.22180177106;3.9267381089;138;38.3833494676;26.2658767699;48.923159,2.255372
117921.0;77;LA COUPOLE;ILE-DE-FRANCE;RUE JEAN FRANCOIS MILLET;77122;Combs-la-Ville;petite couronne;1;236;48;487;16695;16655;0.2;De 10 à 20 000 entrées;SCENE NATIONALE DE SENART;NC;non;non classé;;fixe;non;134;98;1;45.7297514034;34.7634322374;12.9978615343;6.50895482491;69;43.7908496732;46.9259556268;48.659579,2.566711
119301.0;78;CINEVILLE (EX-ATALANTE);ILE-DE-FRANCE;5 RUE ARNOULT CRAPOTTE;78172;Conflans-Sainte-Honorine;petite couronne;3;517;47;3232;24782;30079;17.6;De 20 à 30 000 entrées;CINE-VILLE;C2L;oui;catégorie C;JP;fixe;non;295;201;30;46.7125;35.6958333333;7.7875;9.80416666667;182;51.6222293607;45.9958333333;48.994644,2.09504
119305.0;78;PATHE;ILE-DE-FRANCE;RUE DE L'HAUTIL;78172;Conflans-Sainte-Honorine;petite couronne;13;3163;53;20793;1050374;1074996;2.3;De 1 à 1,5 million d'entrées;NC;Les cinemas GAUMONT-PATHE;non;non classé;;fixe;oui;210;183;356;27.5763530915;60.8811551704;10.0210913781;1.52140036003;33;9.62962962963;5.21315917753;49.004829,2.077668
120293.0;91;ARCEL;ILE-DE-FRANCE;15 PLACE LEON CASSE;91174;Corbeil-Essonnes;petite couronne;3;380;53;3142;55922;52893;5.7;De 50 à 80 000 entrées;EDEN CASINO;GPCI;oui;catégorie C;;fixe;non;248;188;73;30.1688368802;57.7085603931;8.00206504904;4.12053767758;103;22.1933809215;19.0175720377;48.603813,2.469302
120963.0;95;THEATRE DU CORMIER;ILE-DE-FRANCE;123 RUE DE SAINT-GERMAIN;95176;Cormeilles-en-Parisis;petite couronne;1;307;38;166;10988;2472;344.5;De 10 à 20 000 entrées;NC;NC;non;non classé;;fixe;non;135;99;0;45.9420705477;38.1321097409;8.16365548227;7.76216422904;66;50.9803921569;31.5266226938;48.959824,2.189151
123373.0;77;HEMISPHERE THEATER;ILE-DE-FRANCE;23 RUE MARCEL CLAVIER;77131;Coulommiers;petite couronne;4;568;53;4001;90679;87420;3.7;De 80 à 100 000 entrées;NC;NC;oui;catégorie D;JP;fixe;non;161;105;75;36.2992910693;56.1572784308;6.08706484564;1.45636565423;62;20.2337662338;10.6362256801;48.809696,3.090876
123905.0;92;CAMILLE ST SAENS;ILE-DE-FRANCE;15 BOULEVARD ARISTIDE BRIAND;92026;Courbevoie;grande couronne;1;360;6;14;2463;4184;41.1;De 2 à 5 000 entrées;ASSOCIATION ESPACE CARPEAUX;NC;non;non classé;;fixe;non;7;6;1;68.5589519651;18.3406113537;13.1004366812;0.0;3;36.3636363636;23.5807860262;48.899883,2.259136
123914.0;92;ABEL GANCE;ILE-DE-FRANCE;184 BD ST DENIS;92026;Courbevoie;grande couronne;1;139;53;1627;53538;55701;3.9;De 50 à 80 000 entrées;ASSOCIATION ESPACE CARPEAUX;NC;oui;catégorie C;JPPR;fixe;non;264;192;0;51.2130823413;31.093215801;13.094698686;4.59900317173;160;55.9014267185;55.7400008238;48.901327,2.271867
