ndeg_auto;dep;nom;region_administrative;adresse;code_insee;commune;situation_geographique;ecrans;fauteuils;semaines_d_activite;seances;entrees;entrees_2015;evolution_entrees;tranche_d_entrees;proprietaire;programmateur;ae;categorie_art_et_essai;label_art_et_essai;genre;multiplexe;nombre_de_films_programmes;nombre_de_films_inedits;nombre_de_films_en_semaine_1;pdm_en_entrees_des_films_francais;pdm_en_entrees_des_films_americains;pdm_en_entrees_des_films_europeens;pdm_en_entrees_des_autres_films;films_art_et_essai;part_des_seances_de_films_art_et_essai;pdm_en_entrees_des_films_art_et_essai;geo
2982.0;75;CAUMARTIN 1  EX CINEVOG;ILE-DE-FRANCE;101 RUE ST LAZARE;75109;Paris 9e Arrondissement;Paris;5;501;53;8981;195854;191074;2.5;De 150 à 200 000 entrées;CINEVOG SARL;NC;oui;catégorie A;RD;fixe;non;106;88;83;71.1233878297;10.5884995966;12.4694925812;5.81861999244;86;85.9035742122;84.3306748905;48.87561,2.32791
3211.0;75;LE CINEMA DES CINEASTES;ILE-DE-FRANCE;7 AVENUE DE CLICHY;75117;Paris 17e Arrondissement;Paris;3;478;53;6083;174293;172054;1.3;De 150 à 200 000 entrées;SARL DES AUTEURS REALISATEURS PRODUCTEURS ARP;MC4;oui;catégorie A;RDJP;fixe;non;181;80;61;50.2670128852;17.9841751996;20.2219391505;11.5268727647;151;93.0416810196;92.5965165842;48.884303,2.326888
3222.0;75;PATHE WEPLER;ILE-DE-FRANCE;132 -140 BOULEVARD DE CLICHY;75118;Paris 18e Arrondissement;Paris;12;2139;53;22259;742799;867515;14.4;De 700 000 à 1 million d'entrées;LES CINEMAS GAUMONT PATHE;Les cinemas GAUMONT-PATHE;non;non classé;;fixe;oui;229;206;205;36.1904813388;51.158513265;10.1981601634;2.4528452329;55;22.6809240209;20.2488793268;48.883938,2.328034
3741.0;75;STUDIO 28;ILE-DE-FRANCE;10 RUE THOLOZE;75118;Paris 18e Arrondissement;Paris;1;172;49;1388;48444;49751;2.6;De 40 à 50 000 entrées;STUDIO 28;NC;oui;catégorie A;;fixe;non;197;155;2;58.0845771144;24.4282971109;12.7411189666;4.74600680806;131;69.4342395298;70.2474469756;48.886142,2.335342
4571.0;75;LA GEODE;ILE-DE-FRANCE;26 AV CORENTIN CARIOU;75119;Paris 19e Arrondissement;Paris;1;400;53;3159;325706;298335;9.2;De 300 à 450 000 entrées;SOCIETE D'ECONOMIE MIXTE LES PRODUCTIONS LA GEODE;NC;non;non classé;;fixe;non;1;0;0;100.0;0.0;0.0;0.0;0;0.0;0.0;48.896314,2.384409
4713.0;75;BORIS VIAN GRANDE HALLE;ILE-DE-FRANCE;211 AV JEAN JAURES;75119;Paris 19e Arrondissement;Paris;1;287;5;21;6289;1430;339.8;De 5 à 10 000 entrées;ETABLISSEMENT PUBLIC DU PARC ET DE LA GRANDE HALLE DE LA VILLETT;NC;non;non classé;;fixe;non;20;0;0;30.9849967384;64.2367906067;4.14220482714;0.636007827789;19;95.0;89.530332681;48.888947,2.392436
4731.0;75;MK2 QUAI DE SEINE;ILE-DE-FRANCE;14 QUAI DE LA SEINE;75119;Paris 19e Arrondissement;Paris;6;992;53;12572;460254;473615;2.8;De 450 à 700 000 entrées;MK2 QUAI DE SEINE;MK2;non;non classé;;fixe;non;234;166;120;51.4336180029;30.2847214962;14.7379356524;3.54372484856;157;72.3270951993;72.9893866219;48.885073,2.371493
5691.0;75;MK2 GAMBETTA;ILE-DE-FRANCE;6 RUE BELGRAND;75120;Paris 20e Arrondissement;Paris;6;1238;53;12440;352243;368315;4.4;De 300 à 450 000 entrées;MK2 CINEMAS;MK2;non;non classé;;fixe;non;221;160;116;39.0384346122;43.8987678521;13.4661159339;3.59668160179;126;50.1356127229;50.8438929338;48.864763,2.399555
5841.0;75;MK2 BASTILLE (côté Fg St Antoine);ILE-DE-FRANCE;5 RUE DU FAUBOURG ST ANTOINE;75111;Paris 11e Arrondissement;Paris;3;430;37;4438;100728;63597;58.4;De 100 à 150 000 entrées;BASTILLE SAINT ANTOINE (DOUBLON N° 95 7200);MK2;non;non classé;;fixe;non;77;72;39;64.3485426098;11.8149868954;15.4118020809;8.42466841395;64;84.0694006309;83.5517433087;48.853157,2.370719
5852.0;75;MAJESTIC BASTILLE;ILE-DE-FRANCE;4 BD RICHARD LENOIR;75111;Paris 11e Arrondissement;Paris;2;356;53;3911;109632;126624;13.4;De 100 à 150 000 entrées;LES ECRANS DE PARIS;NC;oui;catégorie A;RDJPPR;fixe;non;158;94;44;49.0236077192;16.3932385194;21.3436766748;13.2394770866;125;90.9831756046;90.9304218743;48.860238,2.37214
