titre,nationalité,sortie,entrées (millions)
INTOUCHABLES,FRANCE,02/11/11,"16,67"
RIEN A DECLARER,FRANCE / BELGIQUE,02/02/11,"8,10"
HARRY POTTER ET LES RELIQUES DE LA MORT (2E PARTIE),GRANDE BRETAGNE,13/07/11,"6,52"
AVENTURES DE TINTIN : LE SECRET DE LA LICORNE (LES),ETATS UNIS,26/10/11,"5,37"
PIRATES DES CARAIBES : LA FONTAINE DE JOUVENCE,ETATS UNIS / GRANDE BRETAGNE,18/05/11,"4,67"
TWILIGHT - CHAPITRE 4 : REVELATION 1ÈRE PARTIE,ETATS UNIS,16/11/11,"3,61"
CHAT POTTE (LE),ETATS UNIS,30/11/11,"3,43"
PLANETE DES SINGES : LES ORIGINES (LA),ETATS UNIS,10/08/11,"3,26"
DISCOURS D'UN ROI (LE),GRANDE BRETAGNE,02/02/11,"3,03"
CARS 2,ETATS UNIS,27/07/11,"2,91"
SCHTROUMPFS (LES),ETATS UNIS,03/08/11,"2,81"
KUNG FU PANDA 2,ETATS UNIS,15/06/11,"2,70"
BLACK SWAN,ETATS UNIS,09/02/11,"2,65"
TRANSFORMERS 3 : LA FACE CACHEE DE LA LUNE,ETATS UNIS,29/06/11,"2,62"
FAST & FURIOUS 5,ETATS UNIS,04/05/11,"2,52"
VERY BAD TRIP 2,ETATS UNIS,25/05/11,"2,51"
RIO,ETATS UNIS,13/04/11,"2,44"
POLISSE,FRANCE,19/10/11,"2,32"
FEMMES DU 6EME ETAGE (LES),FRANCE,16/02/11,"2,28"
X-MEN : LE COMMENCEMENT,ETATS UNIS,01/06/11,"2,10"
AU-DELA,ETATS UNIS,19/01/11,"1,93"
HOLLYWOO,FRANCE,07/12/11,"1,88"
CASE DEPART,FRANCE,06/07/11,"1,77"
MISSION : IMPOSSIBLE PROTOCOLE FANTOME,ETATS UNIS,14/12/11,"1,75"
UN MONSTRE A PARIS,FRANCE,12/10/11,"1,74"
MINUIT A PARIS,ESPAGNE,11/05/11,"1,73"
THOR,ETATS UNIS,27/04/11,"1,73"
THE ARTIST,FRANCE,12/10/11,"1,58"
NOUVELLE GUERRE DES BOUTONS (LA),FRANCE,21/09/11,"1,54"
DRIVE,ETATS UNIS,05/10/11,"1,54"
TUCHE (LES),FRANCE,01/07/11,"1,53"
SUPER 8,ETATS UNIS,03/08/11,"1,53"
ELEVE DUCOBU (L'),FRANCE,22/06/11,"1,49"
GUERRE DES BOUTONS (LA),FRANCE,14/09/11,"1,48"
BIENVENUE A BORD,FRANCE,05/10/11,"1,43"
TRUE GRIT,ETATS UNIS,23/02/11,"1,41"
FILLE DU PUISATIER (LA),FRANCE,20/04/11,"1,40"
ALVIN ET LES CHIPMUNKS 3,ETATS UNIS,21/12/11,"1,37"
LARGO WINCH 2,FRANCE / BELGIQUE / ALLEMAGNE,16/02/11,"1,34"
"TITEUF, LE FILM",FRANCE / SUISSE,06/04/11,"1,27"
RANGO,ETATS UNIS,23/03/11,"1,27"
FILS A JO (LE),FRANCE,12/01/11,"1,20"
TRON L'HERITAGE,ETATS UNIS,09/02/11,"1,19"
LYONNAIS (LES),FRANCE,30/11/11,"1,09"
REAL STEEL,ETATS UNIS,19/10/11,"1,08"
CAPTAIN AMERICA - FIRST AVENGER,ETATS UNIS,17/08/11,"1,07"
SCREAM 4,ETATS UNIS,13/04/11,"1,07"
TIME OUT,ETATS UNIS,23/11/11,"1,05"
CHANCE DE MA VIE (LA),FRANCE / BELGIQUE,05/01/11,"1,04"
ANIMAUX & CIE,Allemagne,09/02/11,"1,03"
MA PART DU GATEAU,FRANCE,16/03/11,"1,03"
SANS IDENTITE,ALLEMAGNE / GRANDE BRETAGNE / FRANCE,02/03/11,"1,00"
DERNIER DES TEMPLIERS (LE),ETATS UNIS,12/01/11,"1,00"
SKYFALL,GRANDE BRETAGNE,26/10/12,"6,81"
AGE DE GLACE 4 : LA DERIVE DES CONTINENTS (LA),ETATS UNIS,27/06/12,"6,64"
SUR LA PISTE DU MARSUPILAMI,FRANCE,04/04/12,"5,30"
TWILIGHT - CHAPITRE 5 : REVELATION (2E PARTIE),ETATS UNIS,14/11/12,"4,43"
AVENGERS,ETATS UNIS,25/04/12,"4,41"
THE DARK KNIGHT RISES,GRANDE BRETAGNE,25/07/12,"4,41"
VERITE SI JE MENS 3 (LA),FRANCE,01/02/12,"4,11"
ASTÉRIX ET OBÉLIX : AU SERVICE DE SA MAJESTE,FRANCE  / HONGRIE / ESPAGNE / ITALIE,17/10/12,"3,79"
MADAGASCAR 3 : BONS BAISERS D'EUROPE,ETATS UNIS,06/06/12,"3,41"
HOBBIT : UN VOYAGE INATTENDU (LE),NOUVELLE ZELANDE,12/12/12,"3,35"
PRÉNOM (LE),FRANCE,25/04/12,"3,34"
REBELLE,ETATS UNIS,01/08/12,"3,16"
TAKEN 2,FRANCE,03/10/12,"2,91"
INTOUCHABLES,FRANCE,02/11/11,"2,83"
SEIGNEURS (LES),FRANCE,26/09/12,"2,73"
THE AMAZING SPIDER-MAN,ETATS UNIS,04/07/12,"2,54"
SHERLOCK HOLMES : JEU D'OMBRES,GRANDE BRETAGNE,25/01/12,"2,39"
CINQ LEGENDES (LES),ETATS UNIS,28/11/12,"2,28"
INFIDÈLES (LES),FRANCE,29/02/12,"2,26"
MEN IN BLACK 3,ETATS UNIS,23/05/12,"2,12"
BLANCHE-NEIGE ET LE CHASSEUR,ETATS UNIS,13/06/12,"1,98"
EXPENDABLES 2 : UNITE SPECIALE,ETATS UNIS,22/08/12,"1,96"
DARK SHADOWS,GRANDE BRETAGNE,09/05/12,"1,95"
DE ROUILLE ET D'OS,FRANCE  / BELGIQUE,17/05/12,"1,91"
PROJET X,ETATS UNIS,14/03/12,"1,85"
PROMETHEUS,ETATS UNIS,30/05/12,"1,84"
STARS 80,FRANCE,24/10/12,"1,83"
UN BONHEUR N'ARRIVE JAMAIS SEUL,FRANCE,27/06/12,"1,83"
CLOCLO,FRANCE  / BELGIQUE,14/03/12,"1,76"
HUNGER GAMES,ETATS UNIS,21/03/12,"1,73"
THE ARTIST,FRANCE,12/10/11,"1,58"
AMERICAN PIE 4,ETATS UNIS,02/05/12,"1,52"
J. EDGAR,ETATS UNIS,11/01/12,"1,45"
MINCE ALORS !,FRANCE,28/03/12,"1,45"
ZARAFA,FRANCE,08/02/12,"1,44"
CLOCHETTE ET LE SECRET DES FEES,ETATS UNIS,10/10/12,"1,44"
TED,ETATS UNIS,10/10/12,"1,38"
VOYAGE AU CENTRE DE LA TERRE 2 : L'ILE MYSTERIEUSE,ETATS UNIS,15/02/12,"1,32"
TOTAL RECALL : MEMOIRES PROGRAMMEES,ETATS UNIS,15/08/12,"1,28"
UN PLAN PARFAIT,FRANCE  / BELGIQUE,31/10/12,"1,22"
MONDES DE RALPH (LES),ETATS UNIS,05/12/12,"1,20"
DANS LA MAISON,FRANCE,10/10/12,"1,18"
DE L'AUTRE COTE DU PERIPH,FRANCE,19/12/12,"1,18"
ARGO,ETATS UNIS,07/11/12,"1,15"
TITANIC,ETATS UNIS,07/01/98,"1,14"
SEXY DANCE 4 : MIAMI HEAT,ETATS UNIS,08/08/12,"1,13"
MILLENIUM : LES HOMMES QUI N'AIMAIENT PAS LES FEMMES,ETATS UNIS,18/01/12,"1,08"
ALVIN ET LES CHIPMUNKS 3,ETATS UNIS,21/12/11,"1,07"
BATTLESHIP,ETATS UNIS,11/04/12,"1,06"
VACANCES DE DUCOBU (LES),FRANCE,25/04/12,"1,06"
KAIRA (LES),FRANCE,11/07/12,"1,02"
CHRONICLE,ETATS UNIS,22/02/12,"1,02"
POPULAIRE,FRANCE  / BELGIQUE,28/11/12,"1,01"
"MOI, MOCHE ET MECHANT 2",ETATS UNIS,26/06/13,"4,65"
IRON MAN 3,ETATS UNIS,24/04/13,"4,31"
DJANGO UNCHAINED,ETATS UNIS,16/01/13,"4,31"
GRAVITY,GRANDE BRETAGNE,23/10/13,"4,08"
PROFS (LES),FRANCE,17/04/13,"3,95"
HOBBIT : LA DESOLATION DE SMAUG (LE),ETATS UNIS,11/12/13,"3,80"
REINE DES NEIGES (LA),ETATS UNIS,04/12/13,"3,80"
INSAISISSABLES,ETATS UNIS,31/07/13,"3,01"
FAST & FURIOUS 6,ETATS UNIS,22/05/13,"2,99"
HUNGER GAMES : L'EMBRASEMENT,ETATS UNIS,27/11/13,"2,92"
TURBO,ETATS UNIS,16/10/13,"2,47"
WORLD WAR Z,ETATS UNIS,03/07/13,"2,46"
CROODS (LES),ETATS UNIS,10/04/13,"2,38"
MAN OF STEEL,CANADA,19/06/13,"2,32"
THOR : LE MONDE DES TENEBRES,ETATS UNIS,30/10/13,"2,29"
SCHTROUMPFS 2 (LES),ETATS UNIS,31/07/13,"2,25"
"GARÇONS ET GUILLAUME, A TABLE ! (LES)",FRANCE,20/11/13,"2,20"
MONSTRES ACADEMY,ETATS UNIS,10/07/13,"2,08"
BOULE ET BILL,FRANCE / BELGIQUE / LUXEMBOURG,27/02/13,"2,01"
WOLVERINE : LE COMBAT DE L'IMMORTEL,ETATS UNIS,24/07/13,"1,99"
9 MOIS FERME,FRANCE,16/10/13,"1,99"
MAJORDOME (LE),ETATS UNIS,11/09/13,"1,95"
VERY BAD TRIP 3,ETATS UNIS,29/05/13,"1,93"
DIE HARD : BELLE JOURNEE POUR MOURIR,ETATS UNIS,20/02/13,"1,83"
JAPPELOUP,FRANCE  / CANADA,13/03/13,"1,82"
EYJAFJALLOJOKULL,FRANCE,02/10/13,"1,77"
HOTEL TRANSYLVANIE,ETATS UNIS,13/02/13,"1,70"
BELLE ET SEBASTIEN,FRANCE,18/12/13,"1,68"
GAMINS (LES),FRANCE,17/04/13,"1,65"
PLANES,ETATS UNIS,09/10/13,"1,63"
GATSBY LE MAGNIFIQUE,AUSTRALIE,15/05/13,"1,58"
MONDE FANTASTIQUE D'OZ (LE),ETATS UNIS,13/03/13,"1,56"
ELYSIUM,ETATS UNIS,14/08/13,"1,52"
PERCY JACKSON : LA MER DES MONSTRES,ETATS UNIS,14/08/13,"1,47"
BLUE JASMINE,ETATS UNIS,25/09/13,"1,43"
20 ANS D'ECART,FRANCE,06/03/13,"1,40"
LINCOLN,ETATS UNIS,30/01/13,"1,36"
OBLIVION,ETATS UNIS,10/04/13,"1,33"
AFTER EARTH,ETATS UNIS,05/06/13,"1,28"
CASSE-TETE CHINOIS ,FRANCE / BELGIQUE,04/12/13,"1,27"
CAGE DOREE (LA),FRANCE,24/04/13,"1,23"
EPIC : LA BATAILLE DU ROYAUME SECRET,ETATS UNIS,22/05/13,"1,21"
HOBBIT : UN VOYAGE INATTENDU (LE),NOUVELLE ZELANDE,12/12/12,"1,18"
SUR LE CHEMIN DE L'ECOLE,FRANCE,25/09/13,"1,17"
ALCESTE A BICYCLETTE,FRANCE,16/01/13,"1,17"
"CONJURING, LES DOSSIERS WARREN",ETATS UNIS,21/08/13,"1,16"
"LONE RANGER, NAISSANCE D'UN HEROS",ETATS UNIS,07/08/13,"1,15"
PRISONERS,ETATS UNIS,09/10/13,"1,13"
VIVE LA FRANCE,FRANCE,20/02/13,"1,11"
MOBIUS,FRANCE / LUXEMBOURG / BELGIQUE,27/02/13,"1,10"
DE L'AUTRE COTE DU PERIPH,FRANCE,19/12/12,"1,08"
HAPPINESS THERAPY,ETATS UNIS,30/01/13,"1,07"
PAULETTE,FRANCE,16/01/13,"1,03"
PACIFIC RIM,ETATS UNIS,17/07/13,"1,02"
LOUP DE WALL STREET (LE),ETATS UNIS,25/12/13,"1,02"
QU'EST-CE QU'ON A FAIT AU BON DIEU ?,FRANCE,16/04/14,"12,34"
SUPERCONDRIAQUE,FRANCE,26/02/14,"5,27"
LUCY,FRANCE,06/08/14,"5,20"
LE HOBBIT : LA BATAILLE DES CINQ ARMÉES ,NOUVELLE ZELANDE,10/12/14,"4,07"
LA PLANETE DES SINGES : L'AFFRONTEMENT ,ETATS-UNIS,30/07/14,"3,78"
DRAGONS 2,ETATS-UNIS,02/07/14,"3,38"
X-MEN : DAY OF FUTURE PAST,ETATS-UNIS,21/05/14,"3,28"
RIO 2,ETATS-UNIS,09/04/14,"3,26"
SAMBA,FRANCE,15/10/14,"3,15"
LE LABYRINTHE ,ETATS-UNIS,15/10/14,"3,13"
HUNGER GAMES - LA RÉVOLTE PARTIE 1,ETATS-UNIS,19/11/14,"3,12"
ASTÉRIX ET LE DOMAINE DES DIEUX,FRANCE,26/11/14,"2,68"
INTERSTELLAR,ETATS-UNIS,05/11/14,"2,58"
LES VACANCES DU PETIT NICOLAS ,FRANCE,09/07/14,"2,41"
BABYSITTING,FRANCE,16/04/14,"2,36"
LA FAMILLE BÉLIER ,FRANCE,17/12/14,"2,35"
LES GARDIENS DE LA GALAXIE ,ETATS-UNIS,13/08/14,"2,34"
TRANSFORMERS : L'ÂGE DE L'EXTINCTION,ETATS-UNIS,16/07/14,"2,34"
THE AMAZING SPIDER-MAN : LE DESTIN D'UN HÉROS,ETATS-UNIS,30/04/14,"2,31"
"LES TROIS FRÈRES, LE RETOUR ",FRANCE,12/02/14,"2,24"
PADDINGTON,FRANCE,03/12/14,"2,20"
LE LOUP DE WALL STREET ,ETATS-UNIS,25/12/13,"2,00"
MALÉFIQUE,ETATS-UNIS,28/05/14,"2,00"
FISTON,FRANCE,12/03/14,"1,93"
GONE GIRL,ETATS-UNIS,08/10/14,"1,91"
CAPTAIN AMERICA : LE SOLDAT DE L'HIVER,ETATS-UNIS,26/03/14,"1,88"
LA BELLE ET LA BÊTE ,FRANCE,12/02/14,"1,83"
NINJA TURTLES,ETATS-UNIS,15/10/14,"1,79"
12 YEARS A SLAVE,ETATS-UNIS,22/01/14,"1,71"
YVES SAINT LAURENT,FRANCE,08/01/14,"1,65"
BARBECUE,FRANCE,30/04/14,"1,61"
LES PINGOUINS DE MADAGASCAR ,ETATS-UNIS,17/12/14,"1,59"
300 : LA NAISSANCE D'UN EMPIRE,ETATS-UNIS,05/03/14,"1,56"
ANNABELLE,ETATS-UNIS,08/10/14,"1,54"
LA GRANDE AVENTURE LEGO ,ETATS-UNIS,19/02/14,"1,54"
"MINUSCULE, LA VALLÉE DES FOURMIS PERDUES",FRANCE,29/01/14,"1,50"
DIVERGENTE,ETATS-UNIS,09/04/14,"1,50"
THE GRAND BUDAPEST HOTEL,ETATS-UNIS,26/02/14,"1,47"
M. PEABODY ET SHERMAN : LES VOYAGES DANS LE TEMPS,ETATS-UNIS,12/02/14,"1,42"
GODZILLA,ETATS-UNIS,14/05/14,"1,37"
SOUS LES JUPES DES FILLES,FRANCE,04/06/14,"1,36"
BELLE ET SÉBASTIEN,FRANCE,18/12/13,"1,34"
LA FRENCH ,FRANCE,03/12/14,"1,33"
NOE,ETATS-UNIS,09/04/14,"1,32"
MONUMENTS MEN,ETATS-UNIS,12/03/14,"1,29"
LA REINE DES NEIGES ,ETATS-UNIS,04/12/13,"1,26"
NON-STOP,GB,26/02/14,"1,22"
EDGE OF TOMORROW,ETATS-UNIS,04/06/14,"1,22"
OPÉRATION CASSE-NOISETTE,ETATS-UNIS,06/08/14,"1,20"
LE CROCODILE DU BOTSWANGA ,FRANCE,19/02/14,"1,19"
MOMMY,CA,08/10/14,"1,13"
TU VEUX OU TU VEUX PAS,FRANCE,01/10/14,"1,08"
EXPENDABLES 3,ETATS-UNIS,20/08/14,"1,06"
NOS ÉTOILES CONTRAIRES,ETATS-UNIS,20/08/14,"1,04"
MAGIC IN THE MOONLIGHT,GB,22/10/14,"1,04"
CLOCHETTE ET LA FÉE PIRATE,ETATS-UNIS,02/04/14,"1,03"
PLANES 2,ETATS-UNIS,23/07/14,"1,02"
"STAR WARS : EPISODE 7, LE REVEIL DE LA FORCE",ETATS UNIS,16/12/15,"7,33"
MINIONS (LES),ETATS UNIS,08/07/15,"6,66"
FAMILLE BELIER (LA),FRANCE / BELGIQUE,17/12/14,"5,35"
JURASSIC WORLD,ETATS UNIS,10/06/15,"5,21"
007 SPECTRE,GRANDE BRETAGNE,11/11/15,"4,81"
FAST & FURIOUS 7,ETATS UNIS,01/04/15,"4,63"
NOUVELLES AVENTURES D'ALADIN (LES),FRANCE,14/10/15,"4,43"
VICE-VERSA,ETATS UNIS,17/06/15,"4,41"
AVENGERS : L'ERE D'ULTRON,ETATS UNIS,22/04/15,"4,24"
CINQUANTE NUANCES DE GREY,ETATS UNIS,11/02/15,"4,07"
PROFS 2 (LES),FRANCE / BELGIQUE,01/07/15,"3,49"
AMERICAN SNIPER,ETATS UNIS,18/02/15,"3,13"
LABYRINTHE : LA TERRE BRULEE (LE),ETATS UNIS,07/10/15,"3,12"
PAPA OU MAMAN,FRANCE,04/02/15,"2,89"
"MISSION : IMPOSSIBLE, ROGUE NATION",ETATS UNIS,12/08/15,"2,80"
"HUNGER GAMES : LA REVOLTE, 2e PARTIE",ETATS UNIS,18/11/15,"2,77"
TAKEN 3,FRANCE,21/01/15,"2,61"
BABYSITTING 2,FRANCE,02/12/15,"2,53"
SEUL SUR MARS,ETATS UNIS,21/10/15,"2,52"
DIVERGENTE 2 : L'INSURRECTION,ETATS UNIS,18/03/15,"2,42"
POURQUOI J'AI (PAS) MANGE MON PERE,FRANCE / ITALIE,08/04/15,"2,41"
MAD MAX : FURY ROAD,AUSTRALIE,14/05/15,"2,36"
VOYAGE D'ARLO (LE),ETATS UNIS,25/11/15,"2,32"
HOTEL TRANSYLVANIE 2,ETATS UNIS,07/10/15,"2,30"
PETIT PRINCE (LE),FRANCE / ITALIE,29/07/15,"1,93"
ANT-MAN,ETATS UNIS,14/07/15,"1,72"
CENDRILLON,GRANDE BRETAGNE,25/03/15,"1,67"
KINGSMAN : SERVICES SECRETS,GRANDE BRETAGNE / ETATS UNIS,18/02/15,"1,67"
NOUVEAUX HEROS (LES),ETATS UNIS,11/02/15,"1,66"
NUIT AU MUSEE : LE SECRET DES PHARAONS (LA),ETATS UNIS,04/02/15,"1,59"
BIS,FRANCE,18/02/15,"1,51"
TERMINATOR : GENISYS,ETATS UNIS,01/07/15,"1,43"
BELLE ET SEBASTIEN : L'AVENTURE CONTINUE,FRANCE,09/12/15,"1,37"
DERNIER LOUP (LE),CHINE / FRANCE,25/02/15,"1,33"
"BOB L'EPONGE, LE FILM - UN HEROS SORT DE L'EAU",ETATS UNIS,18/02/15,"1,30"
EN ROUTE !,ETATS UNIS,15/04/15,"1,22"
4 FANTASTIQUES (LES),ETATS UNIS,05/08/15,"1,20"
"CONNASSE, PRINCESSE DES CŒURS",FRANCE,29/04/15,"1,20"
SAN ANDREAS,ETATS UNIS,27/05/15,"1,15"
TED 2,ETATS UNIS,05/08/15,"1,14"
IMITATION GAME,GRANDE BRETAGNE / ETATS UNIS,28/01/15,"1,09"
SHAUN LE MOUTON,GRANDE BRETAGNE,01/04/15,"1,06"
SOUVENIRS (LES),FRANCE / BELGIQUE,14/01/15,"1,06"
MARGUERITE,FRANCE / REPUBLIQUE TCHEQUE/ BELGIQUE,16/09/15,"1,01"
ZOOTOPIE,ETATS UNIS,17/02/16,"4,75"
TUCHE 2 : LE REVE AMERICAIN (LES),FRANCE,03/02/16,"4,60"
"VAIANA, LA LÉGENDE DU BOUT DU MONDE",ETATS UNIS,30/11/16,"4,53"
ROGUE ONE A STAR WARS STORY,ETATS UNIS,14/12/16,"3,92"
THE REVENANT,ETATS UNIS,24/02/16,"3,84"
ANIMAUX FANTASTIQUES (LES),GRANDE BRETAGNE,16/11/16,"3,81"
DEADPOOL,ETATS UNIS,10/02/16,"3,76"
COMME DES BETES,ETATS UNIS,27/07/16,"3,76"
LIVRE DE LA JUNGLE (LE),ETATS UNIS,13/04/16,"3,65"
AGE DE GLACE : LES LOIS DE L'UNIVERS (L'),ETATS UNIS,13/07/16,"3,50"
MONDE DE DORY (LE),ETATS UNIS,22/06/16,"3,37"
CAMPING 3,FRANCE,29/06/16,"3,22"
"STAR WARS : EPISODE 7, LE REVEIL DE LA FORCE",ETATS UNIS,16/12/15,"3,00"
RADIN !,FRANCE,28/09/16,"2,95"
CAPTAIN AMERICA : CIVIL WAR,ETATS UNIS,27/04/16,"2,92"
TROLLS (LES),ETATS UNIS,19/10/16,"2,74"
MISS PEREGRINE ET LES ENFANTS PARTICULIERS,GRANDE BRETAGNE,05/10/16,"2,71"
KUNG FU PANDA 3,ETATS UNIS,30/03/16,"2,58"
BATMAN V SUPERMAN : L'AUBE DE LA JUSTICE,ETATS UNIS,23/03/16,"2,49"
SUICIDE SQUAD,ETATS UNIS,03/08/16,"2,28"
VISITEURS : LA REVOLUTION (LES),FRANCE / BELGIQUE,06/04/16,"2,20"
RETOUR CHEZ MA MERE,FRANCE,01/06/16,"2,20"
X-MEN : APOCALYPSE,ETATS UNIS,18/05/16,"2,16"
DIVERGENTE 3 : AU-DELA DU MUR,ETATS UNIS,09/03/16,"2,11"
INSAISISSABLES 2,ETATS UNIS,27/07/16,"2,10"
DEMAIN TOUT COMMENCE,FRANCE / GRANDE BRETAGNE,07/12/16,"2,07"
BRIDGET JONES BABY,GRANDE BRETAGNE,05/10/16,"1,97"
PATTAYA,FRANCE,24/02/16,"1,95"
BRICE 3,FRANCE,19/10/16,"1,95"
CHOCOLAT,FRANCE,03/02/16,"1,93"
DOCTOR STRANGE,ETATS UNIS,26/10/16,"1,92"
ALVIN ET LES CHIPMUNKS : A FOND LA CAISSE,ETATS UNIS,03/02/16,"1,80"
8 SALOPARDS (LES),ETATS UNIS,06/01/16,"1,78"
WARCRAFT : LE COMMENCEMENT,ETATS UNIS,25/05/16,"1,73"
"CREED, L'HERITAGE DE ROCKY BALBOA",ETATS UNIS,13/01/16,"1,64"
MEDECIN DE CAMPAGNE,FRANCE,23/03/16,"1,51"
JASON BOURNE,ETATS UNIS,10/08/16,"1,49"
CONJURING 2 : LE CAS ENFIELD,ETATS UNIS,29/06/16,"1,47"
TARZAN,GRANDE BRETAGNE,06/07/16,"1,38"
ALICE DE L'AUTRE COTE DU MIROIR,ETATS UNIS,01/06/16,"1,35"
BALLERINA,CANADA / FRANCE,14/12/16,"1,34"
VACHE (LA),FRANCE / MAROC,17/02/16,"1,30"
INDEPENDENCE DAY  : RESURGENCE,ETATS UNIS,20/07/16,"1,29"
ASSASSIN'S CREED,ETATS UNIS,21/12/16,"1,25"
FOLLE HISTOIRE DE MAX ET LEON (LA),FRANCE / BELGIQUE,01/11/16,"1,22"
ODYSSÉE (L'),FRANCE,12/10/16,"1,22"
PAPA OU MAMAN 2,FRANCE / BELGIQUE,07/12/16,"1,20"
SULLY,ETATS UNIS,30/11/16,"1,11"
ADOPTE UN VEUF,FRANCE,20/04/16,"1,09"
JUSTE LA FIN DU MONDE,CANADA / FRANCE,21/09/16,"1,03"
SAISONS (LES),FRANCE,27/01/16,"1,02"
CIGOGNES ET COMPAGNIE,ETATS UNIS,12/10/16,"1,02"
5EME VAGUE (LA),ETATS UNIS,27/01/16,"1,00"
MOI MOCHE ET MECHANT 3,US,05/07/17,"5,74"
STAR WARS LES DERNIERS JEDI,US,13/12/17,"5,35"
RAID DINGUE,FR,01/02/17,"4,56"
VALERIAN ET LA CITE DES MILLE PLANETES,FR,26/07/17,"4,04"
BABY BOSS,US,29/03/17,"3,87"
FAST AND FURIOUS 8,US,12/04/17,"3,87"
TOUS EN SCENE,US,25/01/17,"3,61"
ALIBI.COM,FR,15/02/17,"3,60"
PIRATES DES CARAIBES: LA VENGEANCE DE SALAZAR,US,24/05/17,"3,59"
LA BELLE ET LA BETE,GB / US,22/03/17,"3,49"
COCO,US,29/11/17,"3,26"
LES GARDIENS DE LA GALAXIE VOL 2,US,26/04/17,"3,14"
CINQUANTE NUANCES PLUS SOMBRES,US,08/02/17,"3,14"
SENS DE LA FETE (LE),#N/D,04/10/17,"3,02"
LA PLANETE DES SINGES SUPREMATIE,US,02/08/17,"2,81"
LA LA LAND,US,25/01/17,"2,75"
CARS 3,US,02/08/17,"2,72"
DUNKERQUE,GB,19/07/17,"2,55"
EPOUSE MOI MON POTE,FR,25/10/17,"2,47"
THOR RAGNAROK,US,25/10/17,"2,46"
SPIDER MAN HOMECOMING,US,12/07/17,"2,32"
LOGAN,US,01/03/17,"2,27"
CA,US,20/09/17,"2,23"
WONDER WOMAN,GB,07/06/17,"2,15"
AU REVOIR LA HAUT,FR,25/10/17,"1,99"
ECOLE BUISSONNIERE (L'),#N/D,11/10/17,"1,90"
SEVEN SISTERS,GB,30/08/17,"1,86"
LES SCHTROUMPFS ET LE VILLAGE PERDU,US,05/04/17,"1,84"
LION,AUS,22/02/17,"1,79"
SPLIT,US,22/02/17,"1,79"
KINGSMAN LE CERCLE D'OR,GB,11/10/17,"1,74"
JUSTICE LEAGUE,GB,15/11/17,"1,71"
SANTA ET CIE,FR / BE,06/12/17,"1,65"
KONG SKULL ISLAND,US,08/03/17,"1,62"
BAYWATCH ALERTE A MALIBU,US,21/06/17,"1,59"
TRANSFORMERS THE LAST KNIGHT,US,28/06/17,"1,42"
IL A DEJA TES YEUX,FR,18/01/17,"1,39"
JUMANJI BIENVENUE DANS LA JUNGLE,US,20/12/17,"1,39"
LA MOMIE,US,14/06/17,"1,38"
UN SAC DE BILLES,FR / CA,18/01/17,"1,33"
PADDINGTON 2,FR,06/12/17,"1,31"
ROCK N ROLL,FR,15/02/17,"1,30"
PATIENTS,FR,01/03/17,"1,27"
ALIEN COVENANT,US,10/05/17,"1,27"
BLADE RUNNER 2049,US,04/10/17,"1,26"
ANNABELLE 2 LA CREATION DU MAL,US,09/08/17,"1,25"
GET OUT,US,03/05/17,"1,15"
DEMAIN TOUT COMMENCE,FR / GB,07/12/16,"1,13"
SAHARA,FR / CA,01/02/17,"1,13"
L ASCENSION,FR,25/01/17,"1,12"
ROGUE ONE A STAR WARS STORY,US,14/12/16,"1,06"
FERDINAND,US,20/12/17,"1,06"
LE BRIO,FR,22/11/17,"1,05"
A BRAS OUVERTS,FR / BE,05/04/17,"1,03"
GHOST IN THE SHELL,US,29/03/17,"1,02"
VAIANA LA LEGENDE DU BOUT DU MONDE,US,30/11/16,"1,02"
LES INDESTRUCTIBLES 2,US,04/07/18,"5,74"
LES TUCHE 3,FR,31/01/18,"5,69"
CHTITE FAMILLE (LA),FR,28/02/18,"5,62"
AVENGERS : INFINITY WAR,US,25/04/18,"5,04"
GRAND BAIN (LE),FR,24/10/18,"4,21"
ANIMAUX FANTASTIQUES (LES) : LES CRIMES DE GRINDELWALD,GB,14/11/18,"3,86"
BOHEMIAN RHAPSODY,GB,31/10/18,"3,72"
TAXI 5,FR,11/04/18,"3,65"
JURASSIC WORLD FALLEN KINGDOM,US,06/06/18,"3,63"
BLACK PANTHER,US,14/02/18,"3,62"
HOTEL TRANSYLVANIE 3 : DES VACANCES MONSTRUEUSES,US,25/07/18,"3,07"
MISSION IMPOSSIBLE FALL OUT,US,01/08/18,"3,02"
ASTERIX ET LE SECRET DE LA POTION MAGIQUE,FR,05/12/18,"2,89"
LE LABYRINTHE: LE REMEDE MORTEL,US,07/02/18,"2,85"
CINQUANTE NUANCES PLUS CLAIRES,US,07/02/18,"2,76"
DEADPOOL 2,US,16/05/18,"2,60"
TOUT LE MONDE DEBOUT,FR,14/03/18,"2,42"
ALAD 2,FR,03/10/18,"2,35"
VENOM,US,10/10/18,"2,28"
READY PLAYER ONE,GB,28/03/18,"2,28"
LE GRINCH,US,28/11/18,"2,05"
JUMANJI BIENVENUE DANS LA JUNGLE,US,20/12/17,"2,00"
AQUAMAN,US,19/12/18,"1,90"
A STAR IS BORN,US,03/10/18,"1,88"
YETI ET COMPAGNIE,US,17/10/18,"1,85"
ANT-MAN ET LA GUEPE,US,18/07/18,"1,80"
PIERRE LAPIN,US,04/04/18,"1,74"
STAR WARS LES DERNIERS JEDI,US,13/12/17,"1,73"
