Season,Episode Number,Number in Season,Episode Name,Director,Writer,Original Air Date,US viewers (million),Runtime (mins),IMDB votes,Imdb Rating,Notable Death Count
6,52,2,Home,Jeremy Podeswa,Dave Hill,"May 1, 2016",7.29,54,35219,9.5,4
6,53,3,Oathbreaker,Daniel Sackheim,David Benioff & D. B. Weiss,"May 8, 2016",7.28,52,23399,8.8,5
6,54,4,Book of the Stranger,Daniel Sackheim,David Benioff & D. B. Weiss,"May 15, 2016",7.82,59,25572,9.2,8
6,55,5,The Door,Jack Bender,David Benioff & D. B. Weiss,"May 22, 2016",7.89,57,51836,9.7,5
6,56,6,Blood of My Blood,Jack Bender,Bryan Cogman,"May 29, 2016",6.71,52,23207,8.5,0
6,57,7,The Broken Man,Mark Mylod,Bryan Cogman,"June 5, 2016",7.8,51,22411,8.7,1
6,58,8,No One,Mark Mylod,David Benioff & D. B. Weiss,"June 12, 2016",7.6,59,26041,8.4,4
6,59,9,Battle of the Bastards,Miguel Sapochnik,David Benioff & D. B. Weiss,"June 19, 2016",7.66,60,159082,9.9,4
6,60,10,The Winds of Winter,Miguel Sapochnik,David Benioff & D. B. Weiss,"June 26, 2016",8.89,68,109392,9.9,11
7,61,1,Dragonstone,Jeremy Podeswa,David Benioff & D. B. Weiss,"July 16, 2017",10.11,59,36720,8.7,2
7,62,2,Stormborn,Mark Mylod,Bryan Cogman,"July 23, 2017",9.27,59,30683,9,2
7,63,3,The Queen's Justice,Mark Mylod,David Benioff & D. B. Weiss,"July 30, 2017",9.25,63,31822,9.3,2
7,64,4,The Spoils of War,Matt Shakman,David Benioff & D. B. Weiss,"August 6, 2017",10.17,50,64201,9.8,0
7,65,5,Eastwatch,Matt Shakman,Dave Hill,"August 13, 2017",10.72,59, Jon heeds Bran's warning about White Walkers on the move, Cersei vows to vanquish anyone or anything that stands in her way.,29870
7,66,6,Beyond the Wall,Alan Taylor,David Benioff & D. B. Weiss,"August 20, 2017",10.24,70,44284,9.2,3
7,67,7,The Dragon and the Wolf,Jeremy Podeswa,David Benioff & D. B. Weiss,"August 27, 2017",12.07,80,42505,9.6,1
8,68,1,Winterfell,David Nutter,Dave Hill,"April 14, 2019",11.76,54,120508,7.6,1
8,69,2,A Knight of the Seven Kingdoms,David Nutter,Bryan Cogman,"April 21, 2019",10.29,58,118605,7.9,0
8,70,3,The Long Night,Miguel Sapochnik,David Benioff & D. B. Weiss,"April 28, 2019",12.02,82,198482,7.5,7
8,71,4,The Last of the Starks,David Nutter,David Benioff & D. B. Weiss,"May 5, 2019",11.8,78,151229,5.5,2
8,72,5,The Bells,Miguel Sapochnik,David Benioff & D. B. Weiss,"May 12, 2019",12.4,78,176140,6,7
8,73,6,The Iron Throne,David Benioff & D. B. Weiss,David Benioff & D. B. Weiss,"May 19, 2019",13.61,80,216879,4.1,1
