,Session,Établissement,Filière de formation détaillée,Effectif total des candidats pour une formation,Dont effectif des candidates pour une formation,% d’admis dont filles,Capacité de l’établissement par formation,% d’admis néo bacheliers,Effectif des admis néo bacheliers,Effectif des admis néo bacheliers généraux,Effectif des admis néo bacheliers technologiques,Effectif des admis néo bacheliers professionnels,Effectif des autres candidats admis,Effectif des admis néo bacheliers généraux ayant eu une mention au bac,Effectif des admis néo bacheliers technologiques ayant eu une mention au bac,Effectif des admis néo bacheliers professionnels ayant eu une mention au bac,Total des effectifs ayant eu une mention,Dont effectif des admis néo bacheliers sans mention au bac,Dont effectif des admis néo bacheliers avec mention Assez Bien au bac,Dont effectif des admis néo bacheliers avec mention Bien au bac,Dont effectif des admis néo bacheliers avec mention Très Bien au bac,Académie de l’établissement
38,2020,I.U.T d'Allier - Antenne de Vichy,I.U.T d'Allier - Antenne de Vichy - DUT - Métiers du multimédia et de l'internet,1274,317,39.62,52.0,81.13,43,25,18,0,10,22,16,0,38,5,21,15,2,Clermont-Ferrand
39,2020,IUT 1 GRENOBLE,IUT 1 GRENOBLE - DUT - Métiers du multimédia et de l'internet,1978,538,37.61,109.0,74.31,81,49,31,1,28,46,31,1,78,3,30,40,8,Grenoble
40,2020,I.U.T de Sénart/Fontainebleau - Site Sénart - UPEC,I.U.T de Sénart/Fontainebleau - Site Sénart - UPEC - DUT - Métiers du multimédia et de l'internet,1413,395,36.84,84.0,76.32,87,55,30,2,27,45,28,2,75,12,44,23,8,Créteil
41,2020,I.U.T de Marne la Vallée - Antenne de Meaux,I.U.T de Marne la Vallée - Antenne de Meaux - DUT - Métiers du multimédia et de l'internet,1673,441,36.71,80.0,86.08,68,42,24,2,11,34,19,2,55,13,41,13,1,Créteil
42,2020,I.U.T de Velizy,I.U.T de Velizy - DUT - Métiers du multimédia et de l'internet,1992,514,36.36,58.0,78.18,43,25,17,1,12,24,17,1,42,1,17,19,6,Versailles
43,2020,I.U.T. de Mulhouse,I.U.T. de Mulhouse - DUT - Métiers du multimédia et de l'internet,774,216,35.09,54.0,77.19,44,24,16,4,13,17,14,3,34,9,19,10,5,Strasbourg
44,2020,I.U.T. Laval,I.U.T. Laval - DUT - Métiers du multimédia et de l'internet (Seconde année possible en apprentissage),923,242,34.21,77.0,97.37,74,49,24,1,2,49,24,1,74,0,15,44,15,Nantes
45,2020,I.U.T d'Aix-Marseille - Site d'Arles,I.U.T d'Aix-Marseille - Site d'Arles - DUT - Métiers du multimédia et de l'internet,1508,427,33.96,56.0,81.13,43,22,20,1,10,20,19,1,40,3,26,12,2,Aix-Marseille
46,2020,I.U.T. Angoulême,I.U.T. Angoulême - DUT - Métiers du multimédia et de l'internet,1415,352,33.87,63.0,70.97,44,31,13,0,18,30,12,0,42,2,22,13,7,Poitiers
47,2020,I.U.T de Blois,I.U.T de Blois - DUT - Métiers du multimédia et de l'internet,1380,314,33.33,70.0,88.41,61,32,25,4,8,29,24,4,57,4,27,26,4,Orléans-Tours
48,2020,I.U.T de Toulon - Antenne de Toulon (porte d'Italie),I.U.T de Toulon - Antenne de Toulon (porte d'Italie) - DUT - Métiers du multimédia et de l'internet,1350,381,32.43,78.0,90.54,67,47,20,0,7,41,19,0,60,7,36,23,1,Nice
49,2020,IUT de CHAMBERY,IUT de CHAMBERY - DUT - Métiers du multimédia et de l'internet,1055,310,32.2,52.0,93.22,55,37,18,0,4,32,18,0,50,5,21,19,10,Grenoble
50,2020,I.U.T de Tarbes,I.U.T de Tarbes - DUT - Métiers du multimédia et de l'internet,768,197,32.14,56.0,78.57,44,19,25,0,12,18,24,0,42,2,25,16,1,Toulouse
51,2020,I.U.T. de Lens,I.U.T. de Lens - DUT - Métiers du multimédia et de l'internet,1280,262,31.91,95.0,61.7,58,37,21,0,36,32,18,0,50,8,24,22,4,Lille
52,2020,I.U.T. de Haguenau,I.U.T. de Haguenau - DUT - Métiers du multimédia et de l'internet,947,276,31.25,92.0,68.75,66,45,21,0,30,35,17,0,52,14,37,12,3,Strasbourg
53,2020,I.U.T. de Clermont-Ferrand - Antenne du Puy,I.U.T. de Clermont-Ferrand - Antenne du Puy - DUT - Métiers du multimédia et de l'internet,1278,340,30.91,54.0,72.73,40,24,16,0,15,15,12,0,27,13,18,9,0,Clermont-Ferrand
54,2020,I.U.T de la Guadeloupe - Campus de St-Claude,I.U.T de la Guadeloupe - Campus de St-Claude - DUT - Métiers du multimédia et de l'internet,367,79,30.77,40.0,79.49,31,20,11,0,8,14,9,0,23,8,13,9,1,Guadeloupe
55,2020,I.U.T de Corte,I.U.T de Corte - DUT - Métiers du multimédia et de l'internet (Seconde année possible en apprentissage),531,142,30.77,52.0,76.92,30,16,11,3,9,12,9,3,24,6,16,5,3,Corse
56,2020,I.U.T de Dijon,I.U.T de Dijon - DUT - Métiers du multimédia et de l'internet,1809,528,29.27,78.0,73.17,60,40,20,0,22,34,19,0,53,7,34,13,6,Dijon
57,2020,I.U.T de Belfort-Montbéliard - Site de Montbéliard,I.U.T de Belfort-Montbéliard - Site de Montbéliard - DUT - Métiers du multimédia et de l'internet,1274,332,29.17,72.0,69.44,50,37,13,0,22,33,13,0,46,4,33,10,3,Besancon
58,2020,I.U.T. de Bobigny - Université Paris 13,I.U.T. de Bobigny - Université Paris 13 - DUT - Métiers du multimédia et de l'internet,3648,951,28.0,50.0,80.0,40,23,12,5,10,17,10,5,32,8,19,10,3,Créteil
59,2020,I.U.T de Béziers,I.U.T de Béziers - DUT - Métiers du multimédia et de l'internet,1529,412,27.12,61.0,76.27,45,23,22,0,14,23,22,0,45,0,23,16,6,Montpellier
60,2020,IUT GRAND OUEST NORMANDIE - Pôle de Cherbourg - Site de Saint-Lô,IUT GRAND OUEST NORMANDIE - Pôle de Cherbourg - Site de Saint-Lô - DUT - Métiers du multimédia et de l'internet,1049,269,25.93,56.0,75.93,41,22,19,0,13,22,19,0,41,0,24,16,1,Normandie
61,2020,I.U.T De Rouen - Site d'Elbeuf,I.U.T De Rouen - Site d'Elbeuf - DUT - Métiers du multimédia et de l'internet,1588,399,25.64,78.0,87.18,68,47,21,0,10,41,20,0,61,7,34,21,6,Normandie
62,2020,IUT Bordeaux Montaigne,IUT Bordeaux Montaigne - DUT - Métiers du multimédia et de l'internet,946,257,24.0,50.0,76.0,38,24,12,2,12,23,12,2,37,1,11,15,11,Bordeaux
63,2020,Iut De Troyes,Iut De Troyes - DUT - Métiers du multimédia et de l'internet,983,242,23.89,112.0,84.96,96,59,31,6,17,45,26,6,77,19,47,24,6,Reims
64,2020,I.U.T du Limousin - site de Limoges,I.U.T du Limousin - site de Limoges - DUT - Métiers du multimédia et de l'internet,1619,405,23.08,50.0,82.69,43,25,18,0,9,24,17,0,41,2,19,20,2,Limoges
65,2020,I.U.T de Toulouse - Antenne de Castres,I.U.T de Toulouse - Antenne de Castres - DUT - Métiers du multimédia et de l'internet,1448,395,23.08,54.0,61.54,32,17,15,0,20,15,15,0,30,2,10,17,3,Toulouse
66,2019,I.U.T Nancy-Charlemagne - Université de Lorrraine,Métiers du multimédia et de l'internet,1164,300,50.0,52.0,67.234375,39,29,10,0,19,13,9,0,22,17,13,7,2,Nancy-Metz
67,2019,I.U.T de Saint Dié - Université de Lorraine,Métiers du multimédia et de l'internet,608,158,46.2890625,55.0,77.765625,42,28,11,3,12,21,9,3,33,9,15,15,3,Nancy-Metz
68,2019,IUT 1 GRENOBLE,Métiers du multimédia et de l'internet,2147,546,44.5390625,109.0,82.71875,91,63,27,1,19,58,25,1,84,7,39,38,7,Grenoble
69,2019,I.U.T de Blois,Métiers du multimédia et de l'internet,1370,353,42.640625,68.0,76.46875,52,27,24,1,16,20,20,1,41,11,20,14,7,Orléans-Tours
70,2019,I.U.T de Toulon - Antenne de Toulon (porte d'Italie),Métiers du multimédia et de l'internet,1569,444,42.25,70.0,60.5625,43,27,16,0,28,14,12,0,26,17,10,13,3,Nice
71,2019,Iut De Troyes,Métiers du multimédia et de l'internet,861,220,41.9609375,112.0,79.453125,89,59,27,3,23,38,23,3,64,25,38,22,4,Reims
72,2019,I.U.T de Velizy,Métiers du multimédia et de l'internet,2042,517,41.0703125,56.0,87.5,49,29,19,1,7,26,18,1,45,4,21,21,3,Versailles
73,2019,I.U.T. de Haguenau,Métiers du multimédia et de l'internet,912,248,40.421875,92.0,62.765625,59,40,19,0,35,33,17,0,50,9,26,17,7,Strasbourg
74,2019,I.U.T. Laval,Métiers du multimédia et de l'internet,884,222,36.703125,78.0,88.59375,70,47,21,2,9,42,18,2,62,8,33,24,5,Nantes
75,2019,I.U.T de Cergy-Pontoise - Site de Sarcelles,Métiers du multimédia et de l'internet,2239,548,34.4765625,60.0,74.125,43,17,19,7,15,13,16,6,35,8,23,11,1,Versailles
76,2019,I.U.T du Limousin - site de Limoges,Métiers du multimédia et de l'internet,1265,318,34.0,52.0,84.0,42,28,14,0,8,17,14,0,31,11,19,12,0,Limoges
77,2019,I.U.T de Sénart/Fontainebleau - Site Sénart - P12,Métiers du multimédia et de l'internet,1115,286,33.71875,84.0,89.53125,77,48,26,3,9,21,19,3,43,34,28,15,0,Créteil
78,2019,I.U.T de Marne la Vallée,Métiers du multimédia et de l'internet,2051,542,33.328125,52.0,61.109375,33,23,10,0,21,20,9,0,29,4,12,14,3,Créteil
79,2019,I.U.T de Dijon,Métiers du multimédia et de l'internet,1794,452,32.5234375,78.0,84.328125,70,45,25,0,13,34,20,0,54,16,31,18,5,Dijon
80,2019,IUT de CHAMBERY,Métiers du multimédia et de l'internet,1140,316,31.6640625,52.0,76.65625,46,31,15,0,14,22,14,0,36,9,17,17,2,Grenoble
81,2019,I.U.T de Toulouse - Antenne de Castres,Métiers du multimédia et de l'internet,992,239,31.578125,54.0,49.1171875,28,12,16,0,29,9,14,0,23,5,9,13,1,Toulouse
82,2019,I.U.T Cherbourg Manche (Antenne de Saint-Lô),Métiers du multimédia et de l'internet,1127,280,31.578125,56.0,84.203125,48,31,17,0,9,22,16,0,38,10,29,7,2,Caen
83,2019,I.U.T. Angoulême,Métiers du multimédia et de l'internet,1414,335,31.14453125,58.0,86.875,53,33,20,0,8,26,17,0,43,10,19,20,4,Poitiers
84,2019,I.U.T. de Clermont-Ferrand - Antenne du Puy,Métiers du multimédia et de l'internet,1217,307,30.90625,54.0,69.078125,38,23,15,0,17,14,14,0,28,10,16,11,1,Clermont-Ferrand
85,2019,I.U.T d'Allier - Antenne de Vichy,Métiers du multimédia et de l'internet,1077,285,30.765625,52.0,96.140625,50,36,14,0,2,22,13,0,35,15,20,13,2,Clermont-Ferrand
86,2019,I.U.T. de Lens,Métiers du multimédia et de l'internet,1343,281,29.89453125,98.0,63.9140625,62,34,28,0,35,18,23,0,41,21,21,15,5,Lille
87,2019,I.U.T. de Mulhouse,Métiers du multimédia et de l'internet,782,194,29.62890625,52.0,87.03125,47,31,15,1,7,17,7,1,25,22,17,6,2,Strasbourg
88,2019,I.U.T d'Aix-Marseille - Site d'Arles,Métiers du multimédia et de l'internet,1618,410,28.5703125,56.0,82.140625,46,26,18,2,10,18,16,2,36,9,14,20,2,Aix-Marseille
89,2019,I.U.T. de Bobigny - Université Paris 13,Métiers du multimédia et de l'internet,3103,799,28.0,52.0,80.0,40,26,14,0,10,15,12,0,27,13,19,5,3,Créteil
90,2019,I.U.T de Tarbes,Métiers du multimédia et de l'internet,1014,230,25.0,56.0,91.0625,51,25,24,2,5,23,18,1,42,8,31,6,5,Toulouse
91,2019,I.U.T de Belfort-Montbéliard - Site de Montbéliard,Métiers du multimédia et de l'internet,1084,274,25.0,72.0,77.765625,56,39,16,1,16,27,7,0,34,22,21,11,2,Besancon
92,2019,I.U.T de Béziers,Métiers du multimédia et de l'internet,1578,389,24.32421875,76.0,87.828125,65,32,33,0,9,24,29,0,53,12,35,14,4,Montpellier
93,2019,I.U.T de la Guadeloupe - Campus de St-Claude,Métiers du multimédia et de l'internet,410,80,24.2421875,40.0,69.6875,23,16,6,1,10,10,2,1,13,10,9,3,1,Guadeloupe
94,2019,I.U.T de Marne la Vallée - Antenne de Meaux,Métiers du multimédia et de l'internet,1520,397,23.453125,80.0,76.53125,62,39,22,1,19,15,17,1,33,28,22,10,1,Créteil
95,2019,I.U.T de Corte,Métiers du multimédia et de l'internet,373,79,23.40234375,56.0,59.5703125,28,17,9,2,19,7,7,1,15,13,14,1,0,Corse
