,APP_Libelle_etablissement,Adresse_2_UA,Code_postal,Libelle_commune,Numero_inspection,Date_inspection,APP_Libelle_activite_etablissement,Synthese_eval_sanit,Agrement,filtre,lat,lon
647,MALINS FRANCE,7 RUE DE CASTELLANE,75008,PARIS 8E ARRONDISSEMENT,16185190,2021-10-01T02:00:00+02:00,Restaurant,Très satisfaisant,,Restaurant,48.872226,2.325137
1109,GERONIMI LISANDRA,,75015,Paris 15e  Arrondissement,22-016087-1,2022-01-10T01:00:00+01:00,Transport de denrées alimentaires,Très satisfaisant,,,48.849918,2.292876
1121,ELIOR CONCESSIONS GARES,11 RUE D'AMSTERDAM,75008,Paris 8e  Arrondissement,21-085883-1,2021-10-20T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.876531,2.326792
1124,ZAMANE,118 RUE MOUFFETARD,75005,Paris 5e  Arrondissement,21-039940-1,2021-05-25T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.840315,2.349701
1139,VALPARC,,75015,Paris 15e  Arrondissement,22-016065-1,2022-03-01T01:00:00+01:00,Transport de denrées alimentaires,Très satisfaisant,,,48.849918,2.292876
1142,CARREFOUR EXPRESS,7 RUE MONTMARTRE,75001,Paris 1er Arrondissement,21-092987-1,2021-11-17T01:00:00+01:00,Alimentation générale|Rayon pain/viennoiserie/pâtisserie,Très satisfaisant,,Alimentation générale|Rayon pain/viennoiserie/pâtisserie,48.863917,2.345478
1146,PIKE POKE,24 RUE VERNIER,75017,Paris 17e  Arrondissement,21-039772-1,2021-05-19T02:00:00+02:00,Restaurant,Très satisfaisant,,Restaurant,48.884166,2.290987
1148,CAFE ROSA,46 RUE CESARIA EVORA,75019,Paris 19e  Arrondissement,21-096448-1,2021-11-16T01:00:00+01:00,Restaurant,Très satisfaisant,,Restaurant,48.897759,2.375991
1161,LE SOLEIL,103 BOULEVARD JOURDAN,75014,Paris 14e  Arrondissement,22-000747-1,2022-01-06T01:00:00+01:00,Restaurant,Satisfaisant,,Restaurant,48.822357,2.328566
1167,LET'S WOK,155 BOULEVARD MACDONALD,75019,Paris 19e  Arrondissement,22-004937-1,2022-01-24T01:00:00+01:00,Restaurant,Satisfaisant,,Restaurant,48.898597,2.378321
