,APP_Libelle_etablissement,Adresse_2_UA,Code_postal,Libelle_commune,Numero_inspection,Date_inspection,APP_Libelle_activite_etablissement,Synthese_eval_sanit,Agrement,filtre,lat,lon
4,COURTEPAILLE (SERARE),24 RUE DE L HAUTIL,78700,CONFLANS SAINTE HONORINE,16166792,2021-09-20T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,49.004094,2.076988
11,CROENNE SERGE,20 RUE DES CHANTIERS,78000,VERSAILLES,16259700,2021-12-02T01:00:00+01:00,Boulangerie-Pâtisserie,A améliorer,,Boulangerie-Pâtisserie,48.796171,2.137643
24,LENAIN CHRISTOPHE DANIEL,9 R ROYALE,78000,VERSAILLES,16014246,2021-05-25T02:00:00+02:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.7986,2.12754
29,LE HOGGAR (MEZAACHE MOHAMED),48 R DES BRODERIES,78310,COIGNIERES,16121390,2021-07-13T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.737722,1.910014
30,BEHURET ERIC,62 BD CARNOT,78420,CARRIERES SUR SEINE,15982562,2021-04-27T02:00:00+02:00,_,Très satisfaisant,,,48.909506,2.178398
40,LIDL (LIDL),29 RUE DES TILLEULS,78960,VOISINS LE BRETONNEUX,16176103,2021-09-27T02:00:00+02:00,Alimentation générale,Satisfaisant,,Alimentation générale,48.758162,2.056068
49,SOCIETE BIGOT,26 RUE DU GENERAL LECLERC,78000,VERSAILLES,16161807,2021-09-15T02:00:00+02:00,Boulangerie-Pâtisserie,A améliorer,,Boulangerie-Pâtisserie,48.798955,2.126622
59,THE A LA MENTHE (SOUIDI ABDELKADER),CTR COM DU MERISIER,78190,TRAPPES,16155642,2021-09-06T02:00:00+02:00,Restaurant,A améliorer,,Restaurant,,
74,DELICE MALICE,10 AV GUY DE MAUPASSANT,78400,CHATOU,16017310,2021-05-28T02:00:00+02:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.902115,2.155956
79,REINE 45,45 RUE DU MARECHAL FOCH,78000,VERSAILLES,15981801,2021-04-26T02:00:00+02:00,Alimentation générale,Très satisfaisant,,Alimentation générale,48.809238,2.133512
85,INTERMARCHE (S.A.S. GIFLONY),14 AV CHARLES DE GAULLE,78800,HOUILLES,15988800,2021-04-26T02:00:00+02:00,Alimentation générale,A améliorer,,Alimentation générale,48.921377,2.185917
