,APP_Libelle_etablissement,Adresse_2_UA,Code_postal,Libelle_commune,Numero_inspection,Date_inspection,APP_Libelle_activite_etablissement,Synthese_eval_sanit,Agrement,filtre,lat,lon
1213,L'ARCHE OISE,CAT-FOYER-MAS FORESTIERE,60350,Trosly-Breuil,22-016048-1,2022-03-04T01:00:00+01:00,Restauration collective,Très satisfaisant,,Restauration collective,49.395887,2.969693
1242,LE COMPTOIR DES SAISONS,8 PL DE L'HOTEL DE VILLE,60360,Crèvecoeur-le-Grand,21-104720-1,2021-12-14T01:00:00+01:00,Restaurant,Très satisfaisant,,Restaurant,49.60823,2.076602
1278,LES 2 AMIS,719 RUE DE PARIS,60520,La Chapelle-en-Serval,21-055481-1,2021-07-08T02:00:00+02:00,Libre service|Alimentation générale,Satisfaisant,,Libre service|Alimentation générale,49.126107,2.533497
1302,REF A55263,385 AV LOUIS ARAGON,60140,Liancourt,22-018603-1,2022-02-25T01:00:00+01:00,Restauration collective,Très satisfaisant,60360002.0,Restauration collective,49.330849,2.457046
1309,LA TABLE GOURMANDE,11 RUE DU GENERAL LECLERC,60200,Compiègne,22-000780-1,2022-01-07T01:00:00+01:00,Restaurant,Très satisfaisant,,Restaurant,49.418696,2.823813
1326,MAIRIE COMMUNE DE BALAGNY SUR THERAIN,4 rue Marcel Oudin,60250,Balagny-sur-Thérain,21-072212-1,2021-09-09T02:00:00+02:00,Restauration collective,Très satisfaisant,,Restauration collective,49.298103,2.334506
1360,COLLEGE DE MARLY,74 AVENUE MONTESQUIEU,60170,Ribécourt-Dreslincourt,22-016166-1,2022-03-04T01:00:00+01:00,Restauration collective,Très satisfaisant,,Restauration collective,49.507956,2.922857
1464,SOCIETE BEAUVAISIENNE DE RESTAURATION,HAMEAU DE CAMPDEVILLE,60112,Milly-sur-Thérain,21-101467-1,2021-12-07T01:00:00+01:00,Restauration collective,Satisfaisant,60403001.0,Restauration collective,49.487433,2.026799
1471,INTERLOTS,RUE JEAN MONNET,60180,Nogent-sur-Oise,22-008550-1,2022-01-25T01:00:00+01:00,Libre service|Alimentation générale,Satisfaisant,,Libre service|Alimentation générale,49.286666,2.460999
1514,RESIDENCE LES MARAIS,RUE DES ECOLES,60280,Margny-lès-Compiègne,21-076588-1,2021-09-23T02:00:00+02:00,Restauration collective,Satisfaisant,,Restauration collective,49.421967,2.811859
