,APP_Libelle_etablissement,Adresse_2_UA,Code_postal,Libelle_commune,Numero_inspection,Date_inspection,APP_Libelle_activite_etablissement,Synthese_eval_sanit,Agrement,filtre,lat,lon
31693,COMPTOIR DES ABBAYES,23 RUE DES PETITS CHAMPS,75001,Paris 1er Arrondissement,21-030409-1,2021-04-16T02:00:00+02:00,Libre service|Alimentation générale,Très satisfaisant,,Libre service|Alimentation générale,48.866542,2.337543
31694,VILLA JULES JANIN CH MEUBLEE99,12 AVENUE JULES JANIN,75016,Paris 16e  Arrondissement,21-023766-1,2021-03-19T01:00:00+01:00,Restauration collective,Satisfaisant,,Restauration collective,48.860194,2.275735
31706,LES SAISONNIERS POISSONNIERE,10 RUE POISSONNIERE,75002,Paris 2e  Arrondissement,21-095105-1,2021-10-12T02:00:00+02:00,Libre service|Alimentation générale,Très satisfaisant,,Libre service|Alimentation générale,48.86891,2.34782
31707,LES BERTHOM,35 BOULEVARD VOLTAIRE,75011,Paris 11e  Arrondissement,21-096137-1,2021-11-24T01:00:00+01:00,Restaurant,Très satisfaisant,,Restaurant,48.864575,2.369074
31713,TADERMET OMAR,RUE ORDENR N° 54,75018,Paris 18e  Arrondissement,20-094854-1,2020-12-29T01:00:00+01:00,Alimentation générale,Très satisfaisant,,Alimentation générale,48.892169,2.346047
31714,PIZZA PINO,"27, BOULEVARD DES ITALIENS",75002,Paris 2e  Arrondissement,21-055095-1,2021-07-08T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.871012,2.335426
31717,PIA DEV,31 RUE D'ANJOU,75008,Paris 8e  Arrondissement,21-030446-1,2021-04-16T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.871632,2.32174
31721,LA TAVERNE BASQUE,45 Rue du Cherche Midi,75006,Paris 6e  Arrondissement,21-060350-1,2021-07-28T02:00:00+02:00,Restaurant,Très satisfaisant,,Restaurant,48.849112,2.325809
31732,LE DOUIEB,11 B RUE GEOFFROY MARIE,75009,Paris 9e  Arrondissement,21-033051-1,2021-04-27T02:00:00+02:00,Restaurant,Très satisfaisant,,Restaurant,48.873761,2.344272
31733,PATISSERIE ORDENER,75 BIS RUE ORDENER,75018,Paris 18e  Arrondissement,20-093921-1,2020-12-15T01:00:00+01:00,Commerce alimentaire,Très satisfaisant,,,48.891547,2.349106
