,APP_Libelle_etablissement,Adresse_2_UA,Code_postal,Libelle_commune,Numero_inspection,Date_inspection,APP_Libelle_activite_etablissement,Synthese_eval_sanit,Agrement,filtre,lat,lon
24,INTERMARCHE (FREDEC),AV GENERAL LECLERC,91190,GIF SUR YVETTE,16051490,2021-06-22T02:00:00+02:00,Alimentation générale,Très satisfaisant,,Alimentation générale,48.702311,2.131769
47,L AUBERGE DE LA MONTAGNE (L AUBERGE DE LA MONTAGNE),2 AV DIVISION LECLERC,91290,ARPAJON,15834691,2020-12-21T01:00:00+01:00,_,Satisfaisant,,,48.596315,2.245565
48,CHEZ TRING,131 RUE DE PARIS,91120,PALAISEAU,16025737,2021-05-18T02:00:00+02:00,Boucherie-Charcuterie,Satisfaisant,,Boucherie-Charcuterie,48.712869,2.244052
52,MC DONALD'S (VIBO),23 AV SADI CARNOT,91160,SAULX LES CHARTREUX,16241280,2021-11-19T01:00:00+01:00,Restaurant,Très satisfaisant,,Restaurant,48.672988,2.278845
63,THERY CHRISTINE,26 R PASTEUR,91710,VERT LE PETIT,16015057,2021-05-26T02:00:00+02:00,_,Satisfaisant,,,48.546767,2.364934
71,BARRERO TRAITEUR,33 R DENIS PAPIN,91240,SAINT MICHEL SUR ORGE,16026765,2021-06-04T02:00:00+02:00,Traiteur,Satisfaisant,,Traiteur,48.626299,2.312609
81,NICOLLE CHRISTOPHE,2 R DU VIEUX LAVOIR,91620,NOZAY,15938284,2021-03-19T01:00:00+01:00,Boulangerie-Pâtisserie,Très satisfaisant,,Boulangerie-Pâtisserie,48.660013,2.24179
101,MC DO (PIMM),RTE DE LA NOUE,91190,GIF SUR YVETTE,16036495,2021-06-10T02:00:00+02:00,Restaurant,Très satisfaisant,,Restaurant,48.701663,2.100917
119,S.N.C. RESTO MONTLHERY - LEON DE BRUXELLES,113 ROUTE DE MONTLHERY,91310,MONTLHERY,16126813,2021-08-16T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.634962,2.287348
133,PIZZA PRESTO (GAYA),9 BD ABEL CORNATON,91290,ARPAJON,15960545,2021-04-06T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.587253,2.247824
207,BOULANGERIE MARIE BLACHERE (COTE BOULANGE),66 RTE DE MONTLHERY,91400,ORSAY,16073434,2021-07-06T02:00:00+02:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.686789,2.184771
251,AUX DELICES DE PORT SUD (AUGUSTO VAZ PHILIPPE),CENTRE COMMERCIAL PORT SUD,91650,BREUILLET,15955195,2021-04-01T02:00:00+02:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.572917,2.189796
255,LA FLAMME (LA FLAMME),136 AV DE LA DIVISION LECLERC,91310,LINAS,16121500,2021-08-09T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.626455,2.262572
271,AUX DELICES DU FOURNIL (AUX DELICES DU FOURNIL),29 RUE DU MARTROY,91610,BALLANCOURT SUR ESSONNE,16226027,2021-11-05T01:00:00+01:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.524649,2.381723
302,AU DUC D ORSAY (BOULANGERIE PATISSERIE MILLET),14 RUE BOURSIER,91400,ORSAY,16040042,2021-06-14T02:00:00+02:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.697991,2.187763
305,TAJ PALACE (BALA JI),114 RUE DE SAINTE GENEVIEVE,91240,SAINT MICHEL SUR ORGE,16028988,2021-06-07T02:00:00+02:00,Restaurant,Très satisfaisant,,Restaurant,48.63863,2.318984
315,PIZZA EXPRESS,3 RUE FRETAY,91140,VILLEJUST,15882511,2021-01-19T01:00:00+01:00,Restaurant,Satisfaisant,,Restaurant,48.682953,2.23629
323,LEROY SABOUH,29 GRANDE RUE,91580,ETRECHY,16030361,2021-05-11T02:00:00+02:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.492872,2.191428
340,KFC (CPE5VILLABE),PLAINE DES BRATEAUX,91100,VILLABE,15968546,2021-04-14T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.590254,2.441931
344,C D R,129 RUE PDT FRANCOIS MITTERRAND,91160,LONGJUMEAU,16072157,2021-07-06T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.693596,2.293326
353,LE CHANT DU PAIN,20 RUE DE L'ORME,91540,FONTENAY LE VICOMTE,15939407,2021-03-16T01:00:00+01:00,Boulangerie-Pâtisserie,Très satisfaisant,,Boulangerie-Pâtisserie,48.547972,2.40753
368,SARL FRANCK MARTIN,6 RUE DE CHARTRES,91410,DOURDAN,16111629,2021-07-29T02:00:00+02:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.529368,2.012457
