,APP_Libelle_etablissement,Adresse_2_UA,Code_postal,Libelle_commune,Numero_inspection,Date_inspection,APP_Libelle_activite_etablissement,Synthese_eval_sanit,Agrement,filtre,lat,lon
3,LA FROMAGEE JEAN YVES BORDIER,14 AV CHARLES DE GAULLE,94100,SAINT MAUR DES FOSSES,15843816,2020-12-04T01:00:00+01:00,Alimentation générale,Très satisfaisant,,Alimentation générale,48.803811,2.485354
7,INTERMARCHE (VIRODIS),38 AV LE FOLL,94290,VILLENEUVE LE ROI,15968279,2021-04-14T02:00:00+02:00,Alimentation générale,Satisfaisant,,Alimentation générale,48.730573,2.426559
18,CENTRE DISTRIBUTEUR E LECLERC (VITRY DISTRIBUTION),"2, RUE HENAFF",94405,VITRY SUR SEINE,15803412,2020-12-02T01:00:00+01:00,Rayon poissonnerie,Satisfaisant,,Rayon poissonnerie,,
26,CHEE LUC,5 rue paul Bert,94400,VITRY SUR SEINE,15801505,2020-12-01T01:00:00+01:00,_,Satisfaisant,,,48.786863,2.404375
42,L'Olympique,170 Rue Jean Jaurès,94700,MAISONS ALFORT,16132885,2021-08-20T02:00:00+02:00,_,Satisfaisant,,,48.797128,2.43321
45,LECLERC (KREMLIN DISTRIBUTION),"106, AVENUE DE FONTAINEBLEAU",94276,LE KREMLIN BICETRE,15897586,2021-02-08T01:00:00+01:00,Alimentation générale,Satisfaisant,,Alimentation générale,,
53,LIDL,AV JULIEN DURANTON,94460,VALENTON,16117444,2021-08-06T02:00:00+02:00,Alimentation générale,Satisfaisant,,Alimentation générale,48.764666,2.447723
54,FABRE ET LOUE BOULANGERIE PATISSERIE (FABRE MICHEL),168 R VAILLANT COUTURIER,94140,ALFORTVILLE,16197589,2021-10-12T02:00:00+02:00,Boulangerie-Pâtisserie,Très satisfaisant,,Boulangerie-Pâtisserie,48.805057,2.419202
84,LE PLESSIS GOURMAND (SARL LEGER),12 AV DU GENERAL DE GAULLE,94420,LE PLESSIS TREVISE,16152912,2021-09-08T02:00:00+02:00,Boucherie-Charcuterie,Satisfaisant,,Boucherie-Charcuterie,48.809557,2.574708
90,MC DONALD'S (L I L Y),73 R DE PARIS,94220,CHARENTON LE PONT,16148808,2021-09-06T02:00:00+02:00,Restaurant,Très satisfaisant,,Restaurant,48.821109,2.414259
