,APP_Libelle_etablissement,Adresse_2_UA,Code_postal,Libelle_commune,Numero_inspection,Date_inspection,APP_Libelle_activite_etablissement,Synthese_eval_sanit,Agrement,filtre,lat,lon
34,FRANPRIX (DISTRITOUL),LES TOULEUSES,95000,CERGY,15992116,2021-05-04T02:00:00+02:00,Alimentation générale,Satisfaisant,,Alimentation générale,49.029295,2.082633
38,STATION SERVICE BP (GESMIN),RD 9,95570,ATTAINVILLE,16009411,2021-05-20T02:00:00+02:00,_,Satisfaisant,,,49.052709,2.334519
66,E.LECLERC EXPRESS (FRANCONDIS),41 AV DES MARAIS,95130,FRANCONVILLE,15875981,2021-01-25T01:00:00+01:00,Alimentation générale,Très satisfaisant,,Alimentation générale,48.995595,2.220672
83,SOCIETE D'EXPLOITATION DES ETS MORELLE,4 R HENRY DUNANT,95300,PONTOISE,15894396,2021-02-05T01:00:00+01:00,Boulangerie-Pâtisserie,A améliorer,,Boulangerie-Pâtisserie,49.057133,2.088515
86,L'ATELIER GOURMET / LE COMPTOIR DES GOURMETS (ETS MORELLE),AVENUE DE LA PLAINE DES SPORT,95000,CERGY,15835080,2020-12-21T01:00:00+01:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,49.05373,2.049226
88,SAN PAOLO (SAN PAOLO),1B PL CARDINAL MERCIER,95880,ENGHIEN LES BAINS,15999137,2021-05-06T02:00:00+02:00,Restaurant,A améliorer,,Restaurant,48.969447,2.308298
102,AUCHAN (AUCHAN FRANCE),R SALVADOR ALLENDE,95150,TAVERNY,15811756,2020-12-07T01:00:00+01:00,Rayon poissonnerie,Très satisfaisant,,Rayon poissonnerie,,
127,CASINO (Distribution Casino France),7 boulevard des merveilles,95000,CERGY,15968762,2021-04-14T02:00:00+02:00,Alimentation générale,A améliorer,,Alimentation générale,49.049205,2.01
138,FRANPRIX (AMJ),6 PL LOUIS ARAGON,95480,PIERRELAYE,15948072,2021-03-18T01:00:00+01:00,Alimentation générale,Satisfaisant,,Alimentation générale,49.022764,2.153428
139,LAUBLET*LAURENT/,17 AV MARCEL PERRIN,95540,MERY SUR OISE,16121052,2021-08-10T02:00:00+02:00,Boulangerie-Pâtisserie,A améliorer,,Boulangerie-Pâtisserie,49.063591,2.186417
