,APP_Libelle_etablissement,Adresse_2_UA,Code_postal,Libelle_commune,Numero_inspection,Date_inspection,APP_Libelle_activite_etablissement,Synthese_eval_sanit,Agrement,filtre,lat,lon
908,PETIT BATEAU,198 AV DE LA DIVISION LECLERC,93430,VILLETANEUSE,16165428,2021-09-17T02:00:00+02:00,_,Satisfaisant,,,48.951416,2.342849
1123,MARCHE EGYPTE,32 AV JEAN JAURES,93500,Pantin,21-055392-1,2021-07-06T02:00:00+02:00,Libre service|Alimentation générale,Satisfaisant,,Libre service|Alimentation générale,48.901345,2.389855
1198,SOCIETE GUERRIDA,7 RUE HENRI MAILLARD,93220,Gagny,21-051739-1,2021-06-15T02:00:00+02:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.884827,2.534815
1277,BOUCHERIE DU TASSILI,97 RUE ROBESPIERRE,93170,Bagnolet,21-026061-1,2021-03-30T02:00:00+02:00,Boucherie-Charcuterie,Satisfaisant,,Boucherie-Charcuterie,48.862528,2.419361
1302,BOUCHERIE MADOUNI,57 AVENUE DE LA REPUBLIQUE,93140,Bondy,21-026327-1,2021-03-29T02:00:00+02:00,Métier de bouche,Très satisfaisant,,,48.900148,2.479499
1316,CLINIQUE DU BOIS D'AMOUR,"19, AVENUE DU BOIS D'AMOUR",93700,Drancy,21-038568-1,2021-05-17T02:00:00+02:00,Restauration collective,Satisfaisant,,Restauration collective,48.913431,2.459911
1319,CLINIQUE DU BOIS D'AMOUR,"19, AVENUE DU BOIS D'AMOUR",93700,Drancy,21-038574-1,2021-05-17T02:00:00+02:00,Restauration collective,Satisfaisant,,Restauration collective,48.913431,2.459911
1322,O'DELICES PANTIN,129 AVENUE JEAN LOLIVE,93500,Pantin,21-039922-1,2021-05-19T02:00:00+02:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.892936,2.4114
1437,I.E.M. APF,23 RUE DE L UNIVERSITE,93160,Noisy-le-Grand,21-039987-1,2021-05-25T02:00:00+02:00,Restauration collective,Satisfaisant,,Restauration collective,48.836975,2.554322
1548,CHICKEN FACTORY,81 BD MAXIME GORKI,93240,Stains,20-088238-1,2020-12-09T01:00:00+01:00,Restaurant,Satisfaisant,,Restaurant,48.950455,2.385838
1592,ALIMENTATION DE LA GARE,ALIMENTATION DE LA GARE,93380,Pierrefitte-sur-Seine,21-007770-1,2021-01-27T01:00:00+01:00,Libre service|Alimentation générale,Satisfaisant,,Libre service|Alimentation générale,48.968316,2.359784
1594,CRISPY CHICKEN - LE CHATEAU ROUGE,44 AV DES BEAUDOTTES,93270,Sevran,21-055903-1,2021-07-12T02:00:00+02:00,Restaurant,A améliorer,,Restaurant,48.945218,2.519355
1607,SI RESTAURATION COLLECTIVE BLANC MESNIL,"6, rue Gustave Roussy",93150,Le Blanc-Mesnil,21-020451-1,2021-03-11T01:00:00+01:00,Restauration collective,Très satisfaisant,93007005,Restauration collective,48.945378,2.474545
1675,MF DISTRIBUTION,61 RUE DANIELLE CASANOVA,93200,Saint-Denis,21-055920-3,2021-07-12T02:00:00+02:00,Restaurant,A améliorer,,Restaurant,48.926181,2.366761
1721,DARE WOK,46 AVENUE HENRI BARBUSSE,93700,Drancy,21-027003-1,2021-03-31T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.916711,2.44509
1760,MF DISTRIBUTION,61 RUE DANIELLE CASANOVA,93200,Saint-Denis,21-055920-2,2021-07-12T02:00:00+02:00,Boucherie-Charcuterie,A améliorer,,Boucherie-Charcuterie,48.926181,2.366761
1829,LPC - LIVRAISON,67 RUE ANDRE KARMAN,93300,Aubervilliers,21-040427-1,2021-05-21T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.906684,2.384339
1875,COLLEGE CLOS SAINT VINCENT,3 Mail du Clos Saint-Vincent,93160,Noisy-le-Grand,20-085333-1,2020-12-04T01:00:00+01:00,Restauration collective,Satisfaisant,,Restauration collective,48.845327,2.55486
1879,SEPT BR,10 RUE DE LA FRATERNITE,93230,Romainville,21-074690-1,2021-09-20T02:00:00+02:00,Restauration collective,Très satisfaisant,93063001,Restauration collective,48.877102,2.445614
1887,COEUR ET MAIN TENDUE,21 RUE DE LORRAINE,93200,Saint-Denis,21-036779-1,2021-05-05T02:00:00+02:00,Commerce alimentaire,Satisfaisant,,,48.925394,2.368521
1900,LE PAIN D'OR,10 CHE DE SAVIGNY,93270,Sevran,21-070456-1,2021-09-07T02:00:00+02:00,Boulangerie-Pâtisserie,A améliorer,,Boulangerie-Pâtisserie,48.940838,2.522316
2090,MONTREUIL VIANDE 1,1 RUE DIDIER DAURAT,93100,Montreuil,21-029399-1,2021-04-13T02:00:00+02:00,Boucherie-Charcuterie,Très satisfaisant,,Boucherie-Charcuterie,48.870897,2.452337
2173,P.N.F,217 AVENUE HENRI BARBUSSE,93700,Drancy,21-030704-1,2021-03-31T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.922463,2.456537
2175,ASIAFRO CHICKEN KING,145 RUE RATEAU,93120,La Courneuve,21-072121-1,2021-09-08T02:00:00+02:00,Entreposage non spécialisé de denrées alimentaires,Satisfaisant,,,48.924896,2.414678
2260,MIAM MIAM,2 PAS MARCEAU,93400,Saint-Ouen-sur-Seine,21-040880-1,2021-05-26T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.901526,2.342706
2585,CRISPY CHICKEN - LE CHATEAU ROUGE,44 AV DES BEAUDOTTES,93270,Sevran,21-057029-1,2021-07-12T02:00:00+02:00,Libre service|Alimentation générale,Satisfaisant,,Libre service|Alimentation générale,48.945218,2.519355
2600,ABIRA ALIMENTATION,79 RUE DE STRASBOURG,93200,Saint-Denis,21-057023-1,2021-07-12T02:00:00+02:00,Libre service|Alimentation générale,Satisfaisant,,Libre service|Alimentation générale,48.936413,2.370147
2672,DOUDOU FOOD-TRUCK,13 RUE RENE THUILLIER,93700,Drancy,21-086830-1,2021-10-22T02:00:00+02:00,Restaurant,Très satisfaisant,,Restaurant,48.927566,2.440555
2729,SALAISONS MAURIAC,17 RUE MAURICE PAILLARD,93430,Villetaneuse,21-029795-1,2021-04-13T02:00:00+02:00,Transformation de produits carnés,Satisfaisant,93079001,,48.954327,2.34626
2814,SALAISONS MAURIAC,17 RUE MAURICE PAILLARD,93430,Villetaneuse,21-029795-3,2021-04-13T02:00:00+02:00,Entreposage de viande de boucherie,Satisfaisant,93079001,,48.954327,2.34626
2870,SO FOODS,1 AV DE LA REPUBLIQUE,93800,Épinay-sur-Seine,21-041557-1,2021-05-12T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.952971,2.316091
2878,S.B POISSONNERIE,marché couvert de la courneuve,93120,La Courneuve,21-047588-1,2021-05-28T02:00:00+02:00,Poissonnerie,Satisfaisant,,Poissonnerie,,
2948,CIRAGAN,47 AV HENRI BARBUSSE,93700,Drancy,21-041589-1,2021-05-19T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.916582,2.444458
